track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,1,4,persist,151.252,53.739,-0.092,1.078,7109,0.0,-0.038,1.0908,1.0,1.1924,3.0518,446
A,1,4,clim,145.675,60.133,-0.013,0.459,7109,0.037,0.0,1.2206,1.119,1.4327,4.0992,446
A,1,4,RF,134.548,52.578,0.136,2.219,7109,0.11,0.076,1.0672,0.9784,1.2648,3.2497,446
A,1,4,XGB,135.911,54.565,0.119,2.681,7109,0.101,0.067,1.1076,1.0154,1.3101,3.3249,446
A,1,9,persist,138.12,53.948,-0.021,0.32,5848,0.0,0.005,0.9984,1.0,1.1681,2.8099,325
A,1,9,clim,138.811,65.52,-0.031,1.924,5848,-0.005,0.0,1.2126,1.2145,1.4104,4.2192,325
A,1,9,RF,125.383,54.233,0.159,1.379,5848,0.092,0.097,1.0037,1.0053,1.2479,3.1486,325
A,1,9,XGB,127.337,57.367,0.132,3.928,5848,0.078,0.083,1.0617,1.0634,1.2821,3.5296,325
A,1,2,persist,108.479,31.993,-0.102,1.247,2880,0.0,0.025,0.8813,1.0,0.9955,3.294,178
A,1,2,clim,111.302,44.388,-0.16,4.344,2880,-0.026,0.0,1.2228,1.3875,1.2363,4.0108,178
A,1,2,RF,99.263,34.511,0.077,-8.417,2880,0.085,0.108,0.9507,1.0787,1.1586,2.0323,178
A,1,2,XGB,110.606,45.664,-0.146,1.862,2880,-0.02,0.006,1.258,1.4273,1.2956,3.4357,178
A,6,4,persist,179.163,67.776,-0.532,3.487,7109,0.0,-0.23,1.3757,1.0,1.3871,4.5262,446
A,6,4,clim,145.675,60.133,-0.013,0.459,7109,0.187,0.0,1.2206,0.8872,1.4327,4.0992,446
A,6,4,RF,141.533,59.442,0.044,8.737,7109,0.21,0.028,1.2066,0.877,1.3373,4.0304,446
A,6,4,XGB,141.253,59.397,0.048,7.505,7109,0.212,0.03,1.2056,0.8764,1.3677,3.8333,446
A,6,9,persist,170.668,72.234,-0.559,1.846,5848,0.0,-0.229,1.3369,1.0,1.3838,4.4411,325
A,6,9,clim,138.811,65.52,-0.031,1.924,5848,0.187,0.0,1.2126,0.9071,1.4104,4.2192,325
A,6,9,RF,130.803,59.886,0.084,7.168,5848,0.234,0.058,1.1083,0.8291,1.3046,3.6153,325
A,6,9,XGB,133.773,62.41,0.042,7.822,5848,0.216,0.036,1.155,0.864,1.3349,3.935,325
