track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,1,4,TFT,128.702,55.209,0.119,1.377,1160,0.093,0.078,1.1612,1.068,1.4177,3.3738,81
A,6,4,TFT,132.973,57.365,-0.285,5.966,1166,0.115,-0.116,1.2002,0.8739,1.3466,3.6023,68
A,12,4,TFT,130.333,56.591,-0.233,5.332,1165,-0.019,-0.093,1.1842,0.9029,1.3392,3.5212,68
A,24,4,TFT,129.146,56.542,-0.211,5.602,1165,0.109,-0.083,1.1832,0.8728,1.3397,3.6204,68
A,48,4,TFT,129.003,57.391,-0.207,6.839,1163,0.117,-0.081,1.2001,0.8433,1.3406,3.8126,68
A,1,9,TFT,153.114,67.524,-0.028,11.25,984,-0.017,-0.024,1.2054,1.203,1.3136,4.4395,54
A,6,9,TFT,139.141,64.941,-0.011,3.124,980,0.19,-0.018,1.1429,0.8861,1.3462,4.4666,55
A,12,9,TFT,137.2,63.554,0.017,3.715,980,0.216,-0.003,1.1184,0.794,1.3455,4.4365,55
A,24,9,TFT,140.668,64.994,-0.034,6.246,980,0.176,-0.029,1.1438,0.9025,1.3446,4.6412,55
A,48,9,TFT,142.288,66.127,-0.058,8.004,980,0.155,-0.041,1.1637,0.8956,1.3403,4.7542,55
A,1,2,TFT,91.608,44.17,-0.19,-33.318,485,0.393,-0.141,1.1882,1.259,1.5534,2.7104,31
A,6,2,TFT,169.89,43.124,-0.03,-29.518,498,0.064,-0.016,1.0438,0.8251,1.4596,2.0538,28
A,12,2,TFT,169.733,43.094,-0.03,-29.513,499,0.149,-0.016,1.0451,0.7432,1.47,2.0584,29
A,24,2,TFT,169.804,43.282,-0.03,-29.376,499,0.237,-0.015,1.0498,0.7789,1.4682,2.0705,30
A,48,2,TFT,170.172,43.798,-0.033,-29.74,498,0.27,-0.016,1.0622,0.788,1.4719,2.1459,30
B,1,4,TFT,88.558,53.423,-0.658,21.609,566,-0.751,-0.258,1.3987,1.7731,1.2552,4.541,29
B,3,4,TFT,83.474,50.616,-0.468,18.268,564,-0.365,-0.184,1.3215,1.4001,1.2575,4.1307,29
B,7,4,TFT,81.114,48.801,-0.379,16.284,560,-0.128,-0.147,1.2678,1.1603,1.233,3.8792,29
B,14,4,TFT,80.601,48.066,-0.348,14.893,554,0.02,-0.134,1.2414,1.0147,1.2182,3.8132,29
B,1,9,TFT,97.712,54.201,-1.214,21.118,457,-0.818,-0.554,1.3214,1.7379,1.249,4.064,25
B,3,9,TFT,95.256,52.475,-1.104,19.311,457,-0.579,-0.515,1.2794,1.4439,1.2541,3.8669,25
B,7,9,TFT,94.331,52.227,-1.049,18.154,453,-0.397,-0.495,1.2681,1.2931,1.2478,3.7995,25
B,14,9,TFT,94.484,52.533,-1.036,16.672,447,-0.537,-0.488,1.2618,1.3109,1.2598,3.7396,25
B,1,2,TFT,70.72,44.756,-1.368,-4.504,246,-0.562,-0.461,1.5299,1.8418,1.4815,4.0425,15
B,3,2,TFT,70.664,45.188,-1.347,-3.523,244,-0.441,-0.457,1.5368,1.7412,1.4548,4.112,15
B,7,2,TFT,67.957,44.624,-1.576,-0.88,240,-0.516,-0.494,1.5857,1.7172,1.4474,4.3325,15
B,14,2,TFT,67.727,43.995,-1.598,1.641,233,-0.524,-0.48,1.6266,1.638,1.447,4.4464,15
