track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded,precision,recall,f1,rmse_spike,rmse_nonspike,n_spike_test
A,1,4,Hurdle-RF,134.116,57.258,0.142,13.705,7109,0.113,0.079,1.1622,1.0655,1.2698,4.1063,446,0.53,0.178,0.267,363.006,69.9,734.0
A,1,4,Hurdle-XGB,134.285,55.101,0.14,4.698,7109,0.112,0.078,1.1185,1.0253,1.3015,3.5805,446,0.395,0.302,0.343,361.565,71.112,734.0
A,1,4,persist,151.252,53.739,-0.092,1.078,7109,0.0,-0.038,1.0908,1.0,1.1924,3.0518,446,,,,,,
A,1,4,clim,145.675,60.133,-0.013,0.459,7109,0.037,0.0,1.2206,1.119,1.4327,4.0992,446,,,,,,
A,1,4,RF,134.548,52.578,0.136,2.219,7109,0.11,0.076,1.0672,0.9784,1.2648,3.2497,446,,,,,,
A,1,4,XGB,135.911,54.565,0.119,2.681,7109,0.101,0.067,1.1076,1.0154,1.3101,3.3249,446,,,,,,
A,1,9,Hurdle-RF,127.063,62.233,0.136,19.488,5848,0.08,0.085,1.1518,1.1536,1.2682,4.4436,325,0.444,0.263,0.33,343.62,73.727,556.0
A,1,9,Hurdle-XGB,134.191,64.356,0.036,17.044,5848,0.028,0.033,1.1911,1.1929,1.2857,4.3235,325,0.361,0.401,0.38,348.04,84.691,556.0
A,1,9,persist,138.12,53.948,-0.021,0.32,5848,0.0,0.005,0.9984,1.0,1.1681,2.8099,325,,,,,,
A,1,9,clim,138.811,65.52,-0.031,1.924,5848,-0.005,0.0,1.2126,1.2145,1.4104,4.2192,325,,,,,,
A,1,9,RF,125.383,54.233,0.159,1.379,5848,0.092,0.097,1.0037,1.0053,1.2479,3.1486,325,,,,,,
A,1,9,XGB,127.337,57.367,0.132,3.928,5848,0.078,0.083,1.0617,1.0634,1.2821,3.5296,325,,,,,,
A,1,2,persist,108.479,31.993,-0.102,1.247,2880,0.0,0.025,0.8813,1.0,0.9955,3.294,178,,,,,,
A,1,2,clim,111.302,44.388,-0.16,4.344,2880,-0.026,0.0,1.2228,1.3875,1.2363,4.0108,178,,,,,,
A,1,2,RF,99.263,34.511,0.077,-8.417,2880,0.085,0.108,0.9507,1.0787,1.1586,2.0323,178,,,,,,
A,1,2,XGB,110.606,45.664,-0.146,1.862,2880,-0.02,0.006,1.258,1.4273,1.2956,3.4357,178,,,,,,
A,1,2,Hurdle-RF,99.126,37.735,0.08,5.221,2880,0.086,0.109,1.0395,1.1795,1.16,3.3533,178,,,,,,
