track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded,precision,recall,f1,rmse_spike,rmse_nonspike,n_spike_test,algo,threshold
A,1,4,Hurdle-RF-Recency,131.869,56.591,0.17,14.817,7109.0,0.128,0.095,1.1487,1.0531,1.2587,4.0419,446.0,0.495,0.248,0.33,351.773,71.721,734.0,,
A,1,4,Hurdle-XGB-Recency,134.375,55.527,0.138,5.051,7109.0,0.112,0.078,1.1271,1.0333,1.3191,3.6754,446.0,0.389,0.313,0.347,358.892,72.839,734.0,,
A,1,4,RF-Recency,132.525,51.949,0.162,2.769,7109.0,0.124,0.09,1.0545,0.9667,1.2581,3.1355,446.0,,,,,,,,
A,1,4,XGB-Recency,133.25,53.787,0.153,3.457,7109.0,0.119,0.085,1.0918,1.0009,1.2907,3.2341,446.0,,,,,,,,
A,1,9,Hurdle-RF-Recency,125.451,60.652,0.158,19.375,5848.0,0.092,0.096,1.1225,1.1243,1.2576,4.287,325.0,0.543,0.385,0.451,338.126,73.345,556.0,,
A,1,9,Hurdle-XGB-Recency,133.324,64.222,0.049,18.794,5848.0,0.035,0.04,1.1886,1.1904,1.277,4.2545,325.0,0.392,0.466,0.426,344.194,84.828,556.0,,
A,1,9,RF-Recency,126.44,54.508,0.145,2.239,5848.0,0.085,0.089,1.0088,1.0104,1.2446,3.144,325.0,,,,,,,,
A,1,9,XGB-Recency,128.519,57.38,0.116,4.94,5848.0,0.07,0.074,1.0619,1.0636,1.2772,3.4025,325.0,,,,,,,,
A,1,2,RF-Recency,100.641,36.752,0.052,-3.819,2880.0,0.072,0.096,1.0124,1.1488,1.1657,3.0765,178.0,,,,,,,,
A,1,2,XGB-Recency,113.691,47.836,-0.21,5.419,2880.0,-0.048,-0.021,1.3178,1.4952,1.2816,4.3046,178.0,,,,,,,,
A,1,2,Hurdle-RF-Recency,98.619,36.588,0.089,3.005,2880.0,0.091,0.114,1.0079,1.1436,1.1486,3.2726,178.0,,,,,,,,
A,1,2,Hurdle-XGB-Recency,104.352,33.632,-0.02,-17.753,2880.0,0.038,0.062,0.9265,1.0512,1.2217,1.4977,178.0,,,,,,,,
A,6,4,Hurdle-RF-Recency,137.923,61.092,0.092,16.481,7109.0,0.23,0.053,1.2401,0.9014,1.3354,4.6532,446.0,0.396,0.06,0.104,376.473,69.958,734.0,,
A,6,4,Hurdle-XGB-Recency,140.518,58.559,0.058,3.038,7109.0,0.216,0.035,1.1887,0.864,1.3687,3.7767,446.0,0.329,0.21,0.256,388.445,68.16,734.0,,
A,6,4,RF-Recency,141.03,59.046,0.051,8.684,7109.0,0.213,0.032,1.1985,0.8712,1.3375,3.9889,446.0,,,,,,,,
A,6,4,XGB-Recency,141.184,58.843,0.049,7.291,7109.0,0.212,0.031,1.1944,0.8682,1.3627,3.891,446.0,,,,,,,,
A,6,9,Hurdle-RF-Recency,131.667,68.546,0.072,24.65,5848.0,0.229,0.051,1.2686,0.9489,1.334,5.2883,325.0,0.433,0.151,0.224,351.914,78.398,556.0,,
A,6,9,Hurdle-XGB-Recency,137.339,69.77,-0.009,22.721,5848.0,0.195,0.011,1.2913,0.9659,1.3472,4.9128,325.0,0.343,0.432,0.382,351.113,88.834,556.0,,
A,6,9,RF-Recency,130.913,59.909,0.083,6.951,5848.0,0.233,0.057,1.1088,0.8294,1.3034,3.6583,325.0,,,,,,,,
A,6,9,XGB-Recency,134.843,63.334,0.027,8.11,5848.0,0.21,0.029,1.1721,0.8768,1.3403,3.9836,325.0,,,,,,,,
