bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,RF,2018
8-30,7,-0.86,11.25,0.7416,RF,2018
31-90,33,0.045,13.789,0.8395,RF,2018
91-180,83,-0.79,19.423,1.0658,RF,2018
181-270,72,0.149,55.814,0.9135,RF,2018
271-365,67,-0.048,37.022,1.2161,RF,2018
1-7,1,,,,XGB,2018
8-30,7,-0.089,7.835,0.5165,XGB,2018
31-90,33,0.03,12.084,0.7357,XGB,2018
91-180,83,-0.349,15.765,0.8651,XGB,2018
181-270,72,0.071,57.067,0.934,XGB,2018
271-365,67,0.066,30.811,1.0121,XGB,2018
1-7,1,,,,LightGBM,2018
8-30,7,-0.453,9.643,0.6357,LightGBM,2018
31-90,33,0.088,11.496,0.6999,LightGBM,2018
91-180,83,-0.508,16.737,0.9184,LightGBM,2018
181-270,72,0.129,55.103,0.9019,LightGBM,2018
271-365,67,0.059,30.408,0.9989,LightGBM,2018
1-7,1,,,,SARIMAX,2018
8-30,7,-1.889,13.499,0.8898,SARIMAX,2018
31-90,33,-0.163,15.255,0.9288,SARIMAX,2018
91-180,83,-0.927,22.118,1.2137,SARIMAX,2018
181-270,72,0.033,64.116,1.0494,SARIMAX,2018
271-365,67,-0.17,43.107,1.416,SARIMAX,2018
1-7,1,,,,DLinear,2018
8-30,7,-6.415,20.491,1.3507,DLinear,2018
31-90,33,-3.816,28.018,1.7058,DLinear,2018
91-180,83,-3.573,33.574,1.8423,DLinear,2018
181-270,72,-0.465,74.867,1.2254,DLinear,2018
271-365,67,-2.184,88.274,2.8998,DLinear,2018
1-7,1,,,,LSTM,2018
8-30,7,-0.966,9.729,0.6413,LSTM,2018
31-90,33,-0.852,14.695,0.8947,LSTM,2018
91-180,83,-1.342,21.598,1.1851,LSTM,2018
181-270,72,-0.347,62.873,1.0291,LSTM,2018
271-365,67,-0.097,28.309,0.9299,LSTM,2018
1-7,1,,,,Persistence,2018
8-30,7,-2.527,15.17,1.0,Persistence,2018
31-90,33,-0.319,16.425,1.0,Persistence,2018
91-180,83,-0.475,18.224,1.0,Persistence,2018
181-270,72,-0.271,61.097,1.0,Persistence,2018
271-365,67,-0.009,30.442,1.0,Persistence,2018
1-7,1,,,,Climatology,2018
8-30,7,-3.213,16.409,1.0816,Climatology,2018
31-90,33,-0.758,16.085,0.9793,Climatology,2018
91-180,83,-4.215,33.213,1.8225,Climatology,2018
181-270,72,-0.241,60.066,0.9831,Climatology,2018
271-365,67,-0.11,30.123,0.9895,Climatology,2018
1-7,0,,,,RF,2019
8-30,8,-3.897,62.346,1.6303,RF,2019
31-90,32,-0.686,23.133,1.0571,RF,2019
91-180,62,0.177,50.212,0.6603,RF,2019
181-270,61,0.52,18.775,0.6665,RF,2019
271-365,66,0.183,20.438,0.7729,RF,2019
1-7,0,,,,XGB,2019
8-30,8,-3.177,55.475,1.4507,XGB,2019
31-90,32,-0.278,18.308,0.8366,XGB,2019
91-180,62,0.186,48.36,0.636,XGB,2019
181-270,61,0.524,17.936,0.6368,XGB,2019
271-365,66,0.122,21.613,0.8173,XGB,2019
1-7,0,,,,LightGBM,2019
8-30,8,-2.896,54.476,1.4245,LightGBM,2019
31-90,32,-0.251,18.159,0.8298,LightGBM,2019
91-180,62,0.184,47.721,0.6276,LightGBM,2019
181-270,61,0.57,16.798,0.5963,LightGBM,2019
271-365,66,0.12,20.234,0.7651,LightGBM,2019
1-7,0,,,,SARIMAX,2019
8-30,8,-1.688,42.891,1.1216,SARIMAX,2019
31-90,32,-0.242,19.951,0.9117,SARIMAX,2019
91-180,62,0.224,51.098,0.672,SARIMAX,2019
181-270,61,0.451,21.259,0.7547,SARIMAX,2019
271-365,66,0.091,26.295,0.9943,SARIMAX,2019
1-7,0,,,,DLinear,2019
8-30,8,-1.871,46.969,1.2282,DLinear,2019
31-90,32,-4.609,42.823,1.9569,DLinear,2019
91-180,62,0.261,47.796,0.6286,DLinear,2019
181-270,61,-1.821,48.576,1.7245,DLinear,2019
271-365,66,-0.34,39.932,1.51,DLinear,2019
1-7,0,,,,LSTM,2019
8-30,8,-1.7,42.995,1.1243,LSTM,2019
31-90,32,-0.019,17.699,0.8088,LSTM,2019
91-180,62,-0.191,59.924,0.7881,LSTM,2019
181-270,61,0.087,21.342,0.7577,LSTM,2019
271-365,66,-0.098,25.198,0.9529,LSTM,2019
1-7,0,,,,Persistence,2019
8-30,8,-1.192,38.241,1.0,Persistence,2019
31-90,32,-0.408,21.883,1.0,Persistence,2019
91-180,62,-0.721,76.038,1.0,Persistence,2019
181-270,61,-0.409,28.168,1.0,Persistence,2019
271-365,66,-0.2,26.444,1.0,Persistence,2019
1-7,0,,,,Climatology,2019
8-30,8,-1.508,41.493,1.085,Climatology,2019
31-90,32,-0.048,18.523,0.8464,Climatology,2019
91-180,62,-0.354,61.615,0.8103,Climatology,2019
181-270,61,-0.486,39.414,1.3993,Climatology,2019
271-365,66,-0.079,23.718,0.8969,Climatology,2019
1-7,4,-5.172,17.226,1.5305,RF,2020
