bin,n,R2,MAE,MASE,model
1-7,3,-3.127,3.965,1.5974,RF
8-30,19,-0.732,18.178,1.4303,RF
31-90,50,-0.182,17.646,1.3589,RF
91-180,90,0.209,52.998,0.8167,RF
181-270,88,0.222,68.949,1.0168,RF
271-365,91,-0.594,33.074,1.5877,RF
1-7,3,-1.803,3.57,1.4383,XGB
8-30,19,-0.17,15.013,1.1813,XGB
31-90,50,-0.098,15.677,1.2073,XGB
91-180,90,0.137,58.427,0.9004,XGB
181-270,88,0.322,65.564,0.9669,XGB
271-365,91,-0.514,31.416,1.508,XGB
1-7,3,-0.606,2.728,1.0991,LightGBM
8-30,19,-0.214,14.677,1.1549,LightGBM
31-90,50,-0.056,14.612,1.1253,LightGBM
91-180,90,0.193,55.597,0.8568,LightGBM
181-270,88,0.335,65.155,0.9608,LightGBM
271-365,91,-0.582,32.368,1.5538,LightGBM
1-7,3,-5.577,5.171,2.0832,SARIMAX
8-30,19,0.013,12.58,0.9898,SARIMAX
31-90,50,0.016,13.56,1.0442,SARIMAX
91-180,90,0.111,56.891,0.8767,SARIMAX
181-270,88,0.207,64.547,0.9519,SARIMAX
271-365,91,-0.271,28.541,1.37,SARIMAX
1-7,3,-31.181,11.934,4.8078,DLinear
8-30,19,-5.555,36.362,2.8611,DLinear
31-90,50,-2.628,30.357,2.3378,DLinear
91-180,90,0.26,60.782,0.9367,DLinear
181-270,88,0.417,59.144,0.8722,DLinear
271-365,91,-1.017,36.175,1.7365,DLinear
1-7,3,-15.351,8.849,3.565,LSTM
8-30,19,-0.658,19.267,1.5159,LSTM
31-90,50,-0.141,14.215,1.0947,LSTM
91-180,90,-0.123,62.529,0.9636,LSTM
181-270,88,0.181,59.63,0.8793,LSTM
271-365,91,-0.642,29.484,1.4153,LSTM
1-7,3,-0.313,2.482,1.0,Persistence
8-30,19,-0.0,12.709,1.0,Persistence
31-90,50,-0.077,12.985,1.0,Persistence
91-180,90,-0.383,64.892,1.0,Persistence
181-270,88,-0.254,67.812,1.0,Persistence
271-365,91,-0.009,20.832,1.0,Persistence
1-7,3,0.02,2.25,0.9065,Climatology
8-30,19,-0.331,14.458,1.1376,Climatology
31-90,50,-0.223,16.697,1.2859,Climatology
91-180,90,-0.141,52.721,0.8124,Climatology
181-270,88,-0.192,78.447,1.1568,Climatology
271-365,91,-0.274,24.985,1.1994,Climatology
