bin,n,R2,MAE,MASE,model,alpha,anchor_year
1-7,1,,,,RF,1.0,2018
8-30,7,-0.86,11.25,0.7416,RF,1.0,2018
31-90,33,0.045,13.789,0.8395,RF,1.0,2018
91-180,83,-0.79,19.423,1.0658,RF,1.0,2018
181-270,72,0.149,55.814,0.9135,RF,1.0,2018
271-365,67,-0.048,37.022,1.2161,RF,1.0,2018
1-7,1,,,,RF,0.5,2018
8-30,7,-1.441,12.697,0.8369,RF,0.5,2018
31-90,33,0.169,11.018,0.6708,RF,0.5,2018
91-180,83,-0.815,20.973,1.1509,RF,0.5,2018
181-270,72,0.04,58.11,0.9511,RF,0.5,2018
271-365,67,-0.024,32.888,1.0804,RF,0.5,2018
1-7,1,,,,RF,0.0,2018
8-30,7,-1.493,12.719,0.8384,RF,0.0,2018
31-90,33,0.131,10.953,0.6668,RF,0.0,2018
91-180,83,-1.014,22.326,1.2251,RF,0.0,2018
181-270,72,0.056,56.606,0.9265,RF,0.0,2018
271-365,67,-0.024,31.533,1.0358,RF,0.0,2018
1-7,1,,,,XGB,1.0,2018
8-30,7,-0.089,7.835,0.5165,XGB,1.0,2018
31-90,33,0.03,12.084,0.7357,XGB,1.0,2018
91-180,83,-0.349,15.765,0.8651,XGB,1.0,2018
181-270,72,0.071,57.067,0.934,XGB,1.0,2018
271-365,67,0.066,30.811,1.0121,XGB,1.0,2018
1-7,1,,,,XGB,0.5,2018
8-30,7,-0.588,10.091,0.6652,XGB,0.5,2018
31-90,33,0.002,12.106,0.737,XGB,0.5,2018
91-180,83,-0.567,18.795,1.0313,XGB,0.5,2018
181-270,72,0.024,56.679,0.9277,XGB,0.5,2018
271-365,67,0.034,30.049,0.9871,XGB,0.5,2018
1-7,1,,,,XGB,0.0,2018
8-30,7,-0.64,10.277,0.6775,XGB,0.0,2018
31-90,33,0.024,11.952,0.7277,XGB,0.0,2018
91-180,83,-0.971,21.627,1.1867,XGB,0.0,2018
181-270,72,0.04,54.808,0.8971,XGB,0.0,2018
271-365,67,0.019,29.55,0.9707,XGB,0.0,2018
1-7,1,,,,LightGBM,1.0,2018
8-30,7,-0.453,9.643,0.6357,LightGBM,1.0,2018
31-90,33,0.088,11.496,0.6999,LightGBM,1.0,2018
91-180,83,-0.508,16.737,0.9184,LightGBM,1.0,2018
181-270,72,0.129,55.103,0.9019,LightGBM,1.0,2018
271-365,67,0.059,30.408,0.9989,LightGBM,1.0,2018
1-7,1,,,,LightGBM,0.5,2018
8-30,7,-1.07,11.493,0.7576,LightGBM,0.5,2018
31-90,33,0.041,11.391,0.6935,LightGBM,0.5,2018
91-180,83,-0.72,19.819,1.0875,LightGBM,0.5,2018
181-270,72,0.007,55.69,0.9115,LightGBM,0.5,2018
271-365,67,0.029,29.68,0.975,LightGBM,0.5,2018
1-7,1,,,,LightGBM,0.0,2018
8-30,7,-1.07,11.493,0.7576,LightGBM,0.0,2018
31-90,33,0.075,11.074,0.6742,LightGBM,0.0,2018
91-180,83,-0.996,21.615,1.1861,LightGBM,0.0,2018
181-270,72,0.031,54.035,0.8844,LightGBM,0.0,2018
271-365,67,0.032,29.33,0.9635,LightGBM,0.0,2018
1-7,0,,,,RF,1.0,2019
8-30,8,-3.897,62.346,1.6303,RF,1.0,2019
31-90,32,-0.686,23.133,1.0571,RF,1.0,2019
91-180,62,0.177,50.212,0.6603,RF,1.0,2019
181-270,61,0.52,18.775,0.6665,RF,1.0,2019
271-365,66,0.183,20.438,0.7729,RF,1.0,2019
1-7,0,,,,RF,0.5,2019
8-30,8,-3.023,55.548,1.4526,RF,0.5,2019
31-90,32,-0.078,17.087,0.7808,RF,0.5,2019
91-180,62,0.134,47.44,0.6239,RF,0.5,2019
181-270,61,0.478,20.261,0.7193,RF,0.5,2019
271-365,66,0.165,20.398,0.7714,RF,0.5,2019
1-7,0,,,,RF,0.0,2019
8-30,8,-2.381,50.136,1.311,RF,0.0,2019
31-90,32,0.005,16.708,0.7635,RF,0.0,2019
91-180,62,0.145,48.382,0.6363,RF,0.0,2019
181-270,61,0.379,22.771,0.8084,RF,0.0,2019
271-365,66,0.198,20.117,0.7607,RF,0.0,2019
1-7,0,,,,XGB,1.0,2019
8-30,8,-3.177,55.475,1.4507,XGB,1.0,2019
31-90,32,-0.278,18.308,0.8366,XGB,1.0,2019
91-180,62,0.186,48.36,0.636,XGB,1.0,2019
181-270,61,0.524,17.936,0.6368,XGB,1.0,2019
271-365,66,0.122,21.613,0.8173,XGB,1.0,2019
1-7,0,,,,XGB,0.5,2019
8-30,8,-2.643,51.305,1.3416,XGB,0.5,2019
31-90,32,-0.074,17.049,0.7791,XGB,0.5,2019
91-180,62,0.129,46.654,0.6136,XGB,0.5,2019
181-270,61,0.441,21.115,0.7496,XGB,0.5,2019
271-365,66,0.114,20.797,0.7864,XGB,0.5,2019
1-7,0,,,,XGB,0.0,2019
8-30,8,-2.385,49.383,1.2913,XGB,0.0,2019
31-90,32,-0.011,16.88,0.7714,XGB,0.0,2019
91-180,62,0.096,46.715,0.6144,XGB,0.0,2019
181-270,61,0.337,23.924,0.8493,XGB,0.0,2019
271-365,66,0.097,20.852,0.7885,XGB,0.0,2019
1-7,0,,,,LightGBM,1.0,2019
8-30,8,-2.896,54.476,1.4245,LightGBM,1.0,2019
31-90,32,-0.251,18.159,0.8298,LightGBM,1.0,2019
91-180,62,0.184,47.721,0.6276,LightGBM,1.0,2019
181-270,61,0.57,16.798,0.5963,LightGBM,1.0,2019
271-365,66,0.12,20.234,0.7651,LightGBM,1.0,2019
1-7,0,,,,LightGBM,0.5,2019
8-30,8,-2.457,50.504,1.3207,LightGBM,0.5,2019
31-90,32,0.004,15.956,0.7291,LightGBM,0.5,2019
91-180,62,0.084,47.31,0.6222,LightGBM,0.5,2019
181-270,61,0.466,20.416,0.7248,LightGBM,0.5,2019
271-365,66,0.109,20.378,0.7706,LightGBM,0.5,2019
1-7,0,,,,LightGBM,0.0,2019
8-30,8,-2.215,48.403,1.2657,LightGBM,0.0,2019
31-90,32,0.033,16.569,0.7571,LightGBM,0.0,2019
91-180,62,0.092,47.685,0.6271,LightGBM,0.0,2019
181-270,61,0.341,24.164,0.8579,LightGBM,0.0,2019
271-365,66,0.125,20.301,0.7677,LightGBM,0.0,2019
1-7,4,-5.172,17.226,1.5305,RF,1.0,2020
8-30,21,-1.103,18.281,1.4464,RF,1.0,2020
31-90,37,-0.096,31.407,1.1887,RF,1.0,2020
91-180,42,0.039,16.492,0.9756,RF,1.0,2020
181-270,79,0.112,49.943,0.9796,RF,1.0,2020
271-365,80,0.232,35.142,0.8962,RF,1.0,2020
1-7,4,-4.321,15.885,1.4114,RF,0.5,2020
