bin,n,R2,MAE,MASE,model,alpha
1-7,3,-3.127,3.965,1.5974,RF,1.0
8-30,19,-0.732,18.178,1.4303,RF,1.0
31-90,50,-0.182,17.646,1.3589,RF,1.0
91-180,90,0.209,52.998,0.8167,RF,1.0
181-270,88,0.222,68.949,1.0168,RF,1.0
271-365,91,-0.594,33.074,1.5877,RF,1.0
1-7,3,-4.827,5.119,2.0623,RF,0.5
8-30,19,-0.148,14.244,1.1208,RF,0.5
31-90,50,-0.185,16.853,1.2979,RF,0.5
91-180,90,0.145,52.613,0.8108,RF,0.5
181-270,88,0.155,71.337,1.052,RF,0.5
271-365,91,-0.246,27.253,1.3082,RF,0.5
1-7,3,-5.343,5.433,2.1889,RF,0.0
8-30,19,-0.069,12.982,1.0214,RF,0.0
31-90,50,-0.204,16.808,1.2944,RF,0.0
91-180,90,0.09,52.597,0.8105,RF,0.0
181-270,88,0.127,71.946,1.061,RF,0.0
271-365,91,-0.181,25.543,1.2261,RF,0.0
1-7,3,-1.803,3.57,1.4383,XGB,1.0
8-30,19,-0.17,15.013,1.1813,XGB,1.0
31-90,50,-0.098,15.677,1.2073,XGB,1.0
91-180,90,0.137,58.427,0.9004,XGB,1.0
181-270,88,0.322,65.564,0.9669,XGB,1.0
271-365,91,-0.514,31.416,1.508,XGB,1.0
1-7,3,-2.028,3.63,1.4625,XGB,0.5
8-30,19,0.088,12.78,1.0055,XGB,0.5
31-90,50,-0.166,16.391,1.2622,XGB,0.5
91-180,90,0.1,54.689,0.8428,XGB,0.5
181-270,88,0.211,67.625,0.9972,XGB,0.5
271-365,91,-0.163,26.608,1.2773,XGB,0.5
1-7,3,-4.858,5.118,2.0618,XGB,0.0
8-30,19,0.095,12.187,0.9589,XGB,0.0
31-90,50,-0.194,16.518,1.272,XGB,0.0
91-180,90,0.045,53.079,0.818,XGB,0.0
181-270,88,0.109,71.043,1.0476,XGB,0.0
271-365,91,-0.146,25.567,1.2273,XGB,0.0
1-7,3,-0.606,2.728,1.0991,LightGBM,1.0
8-30,19,-0.214,14.677,1.1549,LightGBM,1.0
31-90,50,-0.056,14.612,1.1253,LightGBM,1.0
91-180,90,0.193,55.597,0.8568,LightGBM,1.0
181-270,88,0.335,65.155,0.9608,LightGBM,1.0
271-365,91,-0.582,32.368,1.5538,LightGBM,1.0
1-7,3,-0.71,3.002,1.2096,LightGBM,0.5
8-30,19,0.104,12.511,0.9844,LightGBM,0.5
31-90,50,-0.125,15.561,1.1984,LightGBM,0.5
91-180,90,0.117,53.808,0.8292,LightGBM,0.5
181-270,88,0.215,68.002,1.0028,LightGBM,0.5
271-365,91,-0.211,27.229,1.3071,LightGBM,0.5
1-7,3,-3.872,4.864,1.9594,LightGBM,0.0
8-30,19,0.096,12.529,0.9858,LightGBM,0.0
31-90,50,-0.158,15.839,1.2198,LightGBM,0.0
91-180,90,0.054,52.301,0.806,LightGBM,0.0
181-270,88,0.11,71.423,1.0533,LightGBM,0.0
271-365,91,-0.156,25.515,1.2248,LightGBM,0.0
