model,RMSE,MAE,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf,WAPE,Correlation,R2
RF,52.232,34.836,0.968,0.837,0.869,1.05,0.375,-0.241
XGB,51.571,33.807,0.922,0.797,0.824,0.991,0.368,-0.184
LightGBM,52.083,34.323,0.941,0.804,0.837,1.012,0.368,-0.206
SARIMAX,53.791,36.059,0.976,0.882,0.901,1.105,0.343,-0.36
Ensemble_unweighted,51.574,33.746,0.918,0.796,0.828,0.998,0.375,-0.165
Ensemble_MASEweighted,51.567,33.743,0.918,0.795,0.827,0.998,0.375,-0.165
TFT,56.589,35.624,0.972,0.841,0.878,1.045,0.292,-0.363
TabPFN,56.124,33.14,0.855,0.733,0.773,0.899,0.358,-0.122
DLinear,64.534,47.515,1.46,1.265,1.308,1.638,0.237,-2.068
LSTM,63.224,41.061,1.151,0.956,1.018,1.268,0.212,-1.357
TabICLv2,58.046,34.951,0.93,0.782,0.82,0.988,0.255,-0.33
