model,RMSE,MAE,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf,WAPE,Correlation,R2
RF,58.407,38.303,0.944,0.767,0.774,1.001,0.389,-0.348
XGB,57.562,37.592,0.92,0.746,0.752,0.971,0.392,-0.358
LightGBM,58.618,38.707,0.954,0.777,0.78,1.005,0.378,-0.389
SARIMAX,60.121,38.396,0.92,0.813,0.777,0.993,0.35,-0.406
Ensemble_unweighted,57.485,36.554,0.884,0.717,0.728,0.922,0.385,-0.253
Ensemble_MASEweighted,57.485,36.582,0.885,0.718,0.728,0.924,0.385,-0.255
TFT,64.87,41.662,0.974,0.761,0.809,0.978,0.304,-0.209
TabPFN,65.98,40.842,0.926,0.709,0.789,0.931,0.349,-0.265
DLinear,66.59,48.336,1.251,0.995,1.024,1.345,0.287,-1.073
LSTM,74.019,49.576,1.289,1.003,1.027,1.358,0.179,-2.229
TabICLv2,67.151,41.593,0.953,0.72,0.806,0.957,0.242,-0.312
