bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
1-7,6,-2.723,18.935,18.706,2.283,1.0294,0.978,RF,2018,2
8-30,21,-0.259,11.758,11.241,0.9448,1.2072,0.065,RF,2018,2
31-90,32,-1.185,19.007,15.847,1.1421,1.3646,-0.196,RF,2018,2
91-180,43,-0.721,29.965,22.916,0.52,1.4462,0.184,RF,2018,2
181-270,0,,,,,,,RF,2018,2
271-365,0,,,,,,,RF,2018,2
1-7,6,-2.532,18.444,17.909,2.1857,0.9855,0.92,XGB,2018,2
8-30,21,0.08,10.05,9.227,0.7755,0.9908,0.532,XGB,2018,2
31-90,32,-0.612,16.328,12.656,0.9121,1.0899,-0.126,XGB,2018,2
91-180,43,-0.697,29.751,22.603,0.5129,1.4265,0.214,XGB,2018,2
181-270,0,,,,,,,XGB,2018,2
271-365,0,,,,,,,XGB,2018,2
1-7,6,-2.183,17.508,16.925,2.0656,0.9314,0.89,LightGBM,2018,2
8-30,21,-0.009,10.526,9.791,0.8229,1.0515,0.419,LightGBM,2018,2
31-90,32,-0.652,16.528,12.852,0.9262,1.1067,-0.227,LightGBM,2018,2
91-180,43,-0.628,29.14,22.006,0.4994,1.3888,0.272,LightGBM,2018,2
181-270,0,,,,,,,LightGBM,2018,2
271-365,0,,,,,,,LightGBM,2018,2
1-7,6,-1.087,14.179,12.876,1.5715,0.7086,0.803,SARIMAX,2018,2
8-30,21,-2.926,20.764,18.304,1.5384,1.9656,0.067,SARIMAX,2018,2
31-90,32,-3.52,27.34,25.471,1.8356,2.1934,0.17,SARIMAX,2018,2
91-180,43,-3.496,48.425,43.273,0.982,2.7309,-0.138,SARIMAX,2018,2
181-270,0,,,,,,,SARIMAX,2018,2
271-365,0,,,,,,,SARIMAX,2018,2
1-7,6,-1.94,16.826,16.604,2.0264,0.9137,0.961,Ensemble_unweighted,2018,2
8-30,21,-0.427,12.517,11.64,0.9783,1.25,0.476,Ensemble_unweighted,2018,2
31-90,32,-1.099,18.629,15.965,1.1505,1.3748,-0.132,Ensemble_unweighted,2018,2
91-180,43,-1.189,33.792,27.136,0.6158,1.7125,0.149,Ensemble_unweighted,2018,2
181-270,0,,,,,,,Ensemble_unweighted,2018,2
271-365,0,,,,,,,Ensemble_unweighted,2018,2
1-7,6,-1.953,16.865,16.638,2.0306,0.9156,0.96,Ensemble_MASEweighted,2018,2
8-30,21,-0.406,12.427,11.569,0.9724,1.2424,0.477,Ensemble_MASEweighted,2018,2
31-90,32,-1.077,18.531,15.844,1.1418,1.3644,-0.134,Ensemble_MASEweighted,2018,2
91-180,43,-1.168,33.631,26.954,0.6117,1.701,0.154,Ensemble_MASEweighted,2018,2
181-270,0,,,,,,,Ensemble_MASEweighted,2018,2
271-365,0,,,,,,,Ensemble_MASEweighted,2018,2
1-7,6,-3.906,21.738,20.302,2.4778,1.1172,0.676,TFT,2018,2
8-30,21,-0.473,12.719,10.578,0.8891,1.136,0.562,TFT,2018,2
31-90,32,-3.399,26.97,20.368,1.4678,1.7539,0.394,TFT,2018,2
91-180,43,-2.179,40.723,26.275,0.5963,1.6582,-0.399,TFT,2018,2
181-270,0,,,,,,,TFT,2018,2
271-365,0,,,,,,,TFT,2018,2
1-7,6,0.129,9.156,7.43,0.9068,0.4089,0.839,TabPFN,2018,2
8-30,21,-0.429,12.529,9.007,0.7571,0.9673,0.596,TabPFN,2018,2
31-90,32,-0.176,13.945,10.126,0.7297,0.872,0.042,TabPFN,2018,2
91-180,43,-0.248,25.518,17.762,0.4031,1.1209,-0.208,TabPFN,2018,2
181-270,0,,,,,,,TabPFN,2018,2
271-365,0,,,,,,,TabPFN,2018,2
1-7,6,-5.889,25.758,22.651,2.7644,1.2465,0.119,DLinear,2018,2
8-30,21,-12.833,38.975,34.026,2.8599,3.654,0.344,DLinear,2018,2
31-90,32,-4.75,30.834,25.484,1.8365,2.1945,0.129,DLinear,2018,2
91-180,43,-2.235,41.076,32.897,0.7465,2.0761,-0.26,DLinear,2018,2
181-270,0,,,,,,,DLinear,2018,2
271-365,0,,,,,,,DLinear,2018,2
1-7,6,-3.225,20.172,16.829,2.0539,0.9261,0.792,LSTM,2018,2
