tower,model,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,RF,0.346,0.672,0.906
2,XGB,0.312,0.58,0.791
2,LightGBM,0.31,0.58,0.792
2,SARIMAX,0.574,1.055,1.399
2,Ensemble_unweighted,0.374,0.698,0.941
2,Ensemble_MASEweighted,0.372,0.693,0.936
2,TFT,0.4,0.801,1.041
2,TabPFN,0.243,0.444,0.608
2,DLinear,0.588,1.125,1.642
2,LSTM,0.508,0.952,1.362
2,TabICLv2,0.24,0.419,0.566
4,RF,1.026,0.885,0.913
4,XGB,0.97,0.844,0.865
4,LightGBM,0.98,0.846,0.87
4,SARIMAX,1.04,0.903,0.925
4,Ensemble_unweighted,0.977,0.845,0.868
4,Ensemble_MASEweighted,0.977,0.845,0.868
4,TFT,1.014,0.874,0.897
4,TabPFN,0.864,0.76,0.778
4,DLinear,1.626,1.364,1.418
4,LSTM,1.106,0.947,0.969
4,TabICLv2,0.963,0.829,0.844
9,RF,0.944,0.767,0.774
9,XGB,0.92,0.746,0.752
9,LightGBM,0.954,0.777,0.78
9,SARIMAX,0.92,0.813,0.777
9,Ensemble_unweighted,0.884,0.717,0.728
9,Ensemble_MASEweighted,0.885,0.718,0.728
9,TFT,0.974,0.761,0.809
9,TabPFN,0.926,0.709,0.789
9,DLinear,1.251,0.995,1.024
9,LSTM,1.289,1.003,1.027
9,TabICLv2,0.953,0.72,0.806
