tower,model,MASE_persistence,MASE_climatology
2,RF,0.346,0.672
2,XGB,0.312,0.58
2,LightGBM,0.31,0.58
2,SARIMAX,0.574,1.055
2,Ensemble_unweighted,0.374,0.698
2,Ensemble_MASEweighted,0.372,0.693
2,TFT,0.4,0.801
2,TabPFN,0.243,0.444
2,DLinear,0.588,1.125
2,LSTM,0.508,0.952
2,TabICLv2,0.24,0.419
4,RF,1.026,0.885
4,XGB,0.97,0.844
4,LightGBM,0.98,0.846
4,SARIMAX,1.04,0.903
4,Ensemble_unweighted,0.977,0.845
4,Ensemble_MASEweighted,0.977,0.845
4,TFT,1.014,0.874
4,TabPFN,0.864,0.76
4,DLinear,1.626,1.364
4,LSTM,1.106,0.947
4,TabICLv2,0.963,0.829
9,RF,0.944,0.767
9,XGB,0.92,0.746
9,LightGBM,0.954,0.777
9,SARIMAX,0.92,0.813
9,Ensemble_unweighted,0.884,0.717
9,Ensemble_MASEweighted,0.885,0.718
9,TFT,0.974,0.761
9,TabPFN,0.926,0.709
9,DLinear,1.251,0.995
9,LSTM,1.289,1.003
9,TabICLv2,0.953,0.72
