bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
1-7,6,-5.889,25.758,22.651,0.6164,1.2465,0.119,DLinear,2018,2
8-30,21,-12.833,38.975,34.026,0.7305,3.654,0.344,DLinear,2018,2
31-90,32,-4.75,30.834,25.484,0.5603,2.1945,0.129,DLinear,2018,2
91-180,43,-2.235,41.076,32.897,0.5351,2.0761,-0.26,DLinear,2018,2
181-270,0,,,,,,,DLinear,2018,2
271-365,0,,,,,,,DLinear,2018,2
1-7,6,-3.225,20.172,16.829,0.458,0.9261,0.792,LSTM,2018,2
8-30,21,-7.551,30.643,25.914,0.5563,2.7829,0.638,LSTM,2018,2
31-90,32,-3.828,28.256,21.658,0.4762,1.865,0.545,LSTM,2018,2
91-180,43,-2.005,39.593,31.646,0.5148,1.9972,-0.07,LSTM,2018,2
181-270,0,,,,,,,LSTM,2018,2
271-365,0,,,,,,,LSTM,2018,2
1-7,1,,,,,,,DLinear,2018,4
8-30,7,-16.532,35.774,30.765,2.028,4.3992,-0.391,DLinear,2018,4
31-90,33,-6.309,43.346,36.518,2.2233,2.9933,-0.497,DLinear,2018,4
91-180,83,-12.949,71.638,56.989,3.1271,4.6125,-0.075,DLinear,2018,4
181-270,72,-0.505,97.793,76.008,1.2441,1.0879,0.057,DLinear,2018,4
271-365,67,-0.806,83.292,54.741,1.7982,1.7811,0.02,DLinear,2018,4
1-7,1,,,,,,,LSTM,2018,4
8-30,7,-0.966,11.979,9.729,0.6413,1.3912,-0.61,LSTM,2018,4
31-90,33,-0.852,21.819,14.695,0.8947,1.2045,-0.285,LSTM,2018,4
91-180,83,-1.342,29.351,21.598,1.1851,1.748,0.204,LSTM,2018,4
181-270,72,-0.347,92.51,62.873,1.0291,0.8999,0.108,LSTM,2018,4
271-365,67,-0.097,64.917,28.309,0.9299,0.9211,0.143,LSTM,2018,4
1-7,0,,,,,,,DLinear,2018,9
8-30,0,,,,,,,DLinear,2018,9
31-90,0,,,,,,,DLinear,2018,9
91-180,0,,,,,,,DLinear,2018,9
181-270,0,,,,,,,DLinear,2018,9
271-365,0,,,,,,,DLinear,2018,9
1-7,0,,,,,,,LSTM,2018,9
8-30,0,,,,,,,LSTM,2018,9
31-90,0,,,,,,,LSTM,2018,9
91-180,0,,,,,,,LSTM,2018,9
181-270,0,,,,,,,LSTM,2018,9
271-365,0,,,,,,,LSTM,2018,9
1-7,0,,,,,,,DLinear,2019,2
8-30,0,,,,,,,DLinear,2019,2
31-90,0,,,,,,,DLinear,2019,2
91-180,0,,,,,,,DLinear,2019,2
181-270,0,,,,,,,DLinear,2019,2
271-365,0,,,,,,,DLinear,2019,2
1-7,0,,,,,,,LSTM,2019,2
8-30,0,,,,,,,LSTM,2019,2
31-90,0,,,,,,,LSTM,2019,2
91-180,0,,,,,,,LSTM,2019,2
181-270,0,,,,,,,LSTM,2019,2
271-365,0,,,,,,,LSTM,2019,2
1-7,0,,,,,,,DLinear,2019,4
8-30,8,-1.871,56.145,46.969,1.2282,1.2271,-0.815,DLinear,2019,4
31-90,32,-4.609,53.078,42.823,1.9569,1.9606,-0.049,DLinear,2019,4
91-180,62,0.261,75.277,47.796,0.6286,0.6291,0.537,DLinear,2019,4
181-270,61,-1.821,60.854,48.576,1.7245,1.7268,0.547,DLinear,2019,4
271-365,66,-0.34,61.083,39.932,1.51,1.5131,0.376,DLinear,2019,4
1-7,0,,,,,,,LSTM,2019,4
8-30,8,-1.7,54.442,42.995,1.1243,1.1232,-0.242,LSTM,2019,4
31-90,32,-0.019,22.621,17.699,0.8088,0.8103,0.074,LSTM,2019,4
91-180,62,-0.191,95.592,59.924,0.7881,0.7888,0.394,LSTM,2019,4
