bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,real_frac
1-7,7,-0.991,35.986,31.972,1.0476,0.96,-0.775,DLinear,2018,2,0.8571428571428571
8-30,23,-22.103,37.636,33.459,0.7222,3.7943,0.454,DLinear,2018,2,0.9130434782608695
31-90,60,-5.086,54.505,42.599,1.225,1.6885,-0.396,DLinear,2018,2,0.5333333333333333
91-180,90,-10.672,30.634,25.527,0.5136,3.2409,-0.379,DLinear,2018,2,0.4777777777777778
181-270,90,-37.1,29.728,24.688,0.4766,5.0736,0.074,DLinear,2018,2,0.0
271-365,95,-15.137,42.123,36.251,0.8021,3.5474,-0.058,DLinear,2018,2,0.0
1-7,7,-2.145,45.221,32.99,1.0809,0.9906,-0.135,LSTM,2018,2,0.8571428571428571
8-30,23,-14.893,31.216,26.58,0.5737,3.0142,0.667,LSTM,2018,2,0.9130434782608695
31-90,60,-3.146,44.987,36.939,1.0622,1.4642,-0.281,LSTM,2018,2,0.5333333333333333
91-180,90,-10.075,29.84,25.55,0.5141,3.2438,-0.106,LSTM,2018,2,0.4777777777777778
181-270,90,-34.541,28.713,27.419,0.5293,5.6347,0.035,LSTM,2018,2,0.0
271-365,95,-3.343,21.853,16.901,0.374,1.6539,-0.527,LSTM,2018,2,0.0
1-7,7,-2.026,37.064,33.856,2.3246,1.0416,-0.691,DLinear,2018,4,0.14285714285714285
8-30,23,-13.469,44.893,41.8,3.6309,2.5768,0.699,DLinear,2018,4,0.30434782608695654
31-90,60,-5.059,46.109,37.229,2.5531,1.734,-0.545,DLinear,2018,4,0.55
91-180,90,-23.105,69.632,54.522,3.6256,4.4396,-0.185,DLinear,2018,4,0.9222222222222223
181-270,90,-1.361,84.97,67.998,1.2801,1.0165,0.007,DLinear,2018,4,0.8
271-365,95,-1.944,67.307,54.657,2.0347,1.6367,0.152,DLinear,2018,4,0.7052631578947368
1-7,7,-3.332,44.347,34.48,2.3674,1.0608,-0.57,LSTM,2018,4,0.14285714285714285
8-30,23,-0.782,15.753,12.82,1.1136,0.7903,0.235,LSTM,2018,4,0.30434782608695654
31-90,60,-1.601,30.211,22.008,1.5093,1.0251,-0.31,LSTM,2018,4,0.55
91-180,90,-2.461,26.384,20.1,1.3366,1.6367,0.126,LSTM,2018,4,0.9222222222222223
181-270,90,-0.901,76.245,55.974,1.0537,0.8367,0.05,LSTM,2018,4,0.8
271-365,95,-0.175,42.52,27.636,1.0288,0.8276,0.535,LSTM,2018,4,0.7052631578947368
1-7,7,-0.101,60.556,42.561,1.4958,0.9362,0.536,DLinear,2018,9,0.0
8-30,23,-0.385,54.252,32.859,1.7337,1.0766,0.144,DLinear,2018,9,0.0
31-90,60,-2.081,76.397,58.128,2.3679,1.5705,-0.105,DLinear,2018,9,0.0
91-180,90,-24.433,56.203,47.534,6.3247,3.1146,0.159,DLinear,2018,9,0.0
181-270,90,-2.544,106.569,91.99,1.152,0.9625,0.363,DLinear,2018,9,0.0
271-365,95,-2.881,54.017,42.088,2.1949,1.42,0.03,DLinear,2018,9,0.0
1-7,7,-0.651,74.168,56.831,1.9972,1.2501,0.77,LSTM,2018,9,0.0
8-30,23,-0.585,58.038,41.357,2.1821,1.3551,0.495,LSTM,2018,9,0.0
31-90,60,-1.517,69.051,47.964,1.9539,1.2959,-0.298,LSTM,2018,9,0.0
91-180,90,-0.696,14.514,11.542,1.5358,0.7563,0.368,LSTM,2018,9,0.0
181-270,90,-2.238,101.863,82.912,1.0384,0.8676,-0.323,LSTM,2018,9,0.0
271-365,95,-0.817,36.958,28.053,1.463,0.9465,0.149,LSTM,2018,9,0.0
1-7,7,-1.669,53.66,41.685,1.4646,0.9243,0.018,DLinear,2019,2,0.0
8-30,23,-3.179,39.027,31.693,2.2259,1.382,0.351,DLinear,2019,2,0.0
