tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,2018,DLinear,1-7,6,-5.889,25.758,22.651,1.2465,0.119,0.6164,1.5993,2.7644
2,2018,DLinear,181-270,0,,,,,,,,
2,2018,DLinear,271-365,0,,,,,,,,
2,2018,DLinear,31-90,32,-4.75,30.834,25.484,2.1945,0.129,0.5603,1.8563,1.8365
2,2018,DLinear,8-30,21,-12.833,38.975,34.026,3.654,0.344,0.7305,1.0681,2.8599
2,2018,DLinear,91-180,43,-2.235,41.076,32.897,2.0761,-0.26,0.5351,0.5424,0.7465
2,2018,Ensemble_MASEweighted,1-7,6,-1.953,16.865,16.638,0.9156,0.96,0.4528,1.1747,2.0306
2,2018,Ensemble_MASEweighted,181-270,0,,,,,,,,
2,2018,Ensemble_MASEweighted,271-365,0,,,,,,,,
2,2018,Ensemble_MASEweighted,31-90,32,-1.077,18.531,15.844,1.3644,-0.134,0.3483,1.1541,1.1418
2,2018,Ensemble_MASEweighted,8-30,21,-0.406,12.427,11.569,1.2424,0.477,0.2484,0.3632,0.9724
2,2018,Ensemble_MASEweighted,91-180,43,-1.168,33.631,26.954,1.701,0.154,0.4384,0.4445,0.6117
2,2018,Ensemble_unweighted,1-7,6,-1.94,16.826,16.604,0.9137,0.961,0.4519,1.1723,2.0264
2,2018,Ensemble_unweighted,181-270,0,,,,,,,,
2,2018,Ensemble_unweighted,271-365,0,,,,,,,,
2,2018,Ensemble_unweighted,31-90,32,-1.099,18.629,15.965,1.3748,-0.132,0.351,1.1629,1.1505
2,2018,Ensemble_unweighted,8-30,21,-0.427,12.517,11.64,1.25,0.476,0.2499,0.3654,0.9783
2,2018,Ensemble_unweighted,91-180,43,-1.189,33.792,27.136,1.7125,0.149,0.4414,0.4475,0.6158
2,2018,LSTM,1-7,6,-3.225,20.172,16.829,0.9261,0.792,0.458,1.1882,2.0539
2,2018,LSTM,181-270,0,,,,,,,,
2,2018,LSTM,271-365,0,,,,,,,,
2,2018,LSTM,31-90,32,-3.828,28.256,21.658,1.865,0.545,0.4762,1.5776,1.5608
2,2018,LSTM,8-30,21,-7.551,30.643,25.914,2.7829,0.638,0.5563,0.8135,2.1781
2,2018,LSTM,91-180,43,-2.005,39.593,31.646,1.9972,-0.07,0.5148,0.5218,0.7181
2,2018,LightGBM,1-7,6,-2.183,17.508,16.925,0.9314,0.89,0.4606,1.195,2.0656
2,2018,LightGBM,181-270,0,,,,,,,,
2,2018,LightGBM,271-365,0,,,,,,,,
