bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
1-7,6,-2.723,18.935,18.706,0.5091,1.0294,0.978,RF,2018,2
8-30,21,-0.259,11.758,11.241,0.2413,1.2072,0.065,RF,2018,2
31-90,32,-1.185,19.007,15.847,0.3484,1.3646,-0.196,RF,2018,2
91-180,43,-0.721,29.965,22.916,0.3727,1.4462,0.184,RF,2018,2
181-270,0,,,,,,,RF,2018,2
271-365,0,,,,,,,RF,2018,2
1-7,6,-2.532,18.444,17.909,0.4874,0.9855,0.92,XGB,2018,2
8-30,21,0.08,10.05,9.227,0.1981,0.9908,0.532,XGB,2018,2
31-90,32,-0.612,16.328,12.656,0.2783,1.0899,-0.126,XGB,2018,2
91-180,43,-0.697,29.751,22.603,0.3677,1.4265,0.214,XGB,2018,2
181-270,0,,,,,,,XGB,2018,2
271-365,0,,,,,,,XGB,2018,2
1-7,6,-2.183,17.508,16.925,0.4606,0.9314,0.89,LightGBM,2018,2
8-30,21,-0.009,10.526,9.791,0.2102,1.0515,0.419,LightGBM,2018,2
31-90,32,-0.652,16.528,12.852,0.2826,1.1067,-0.227,LightGBM,2018,2
91-180,43,-0.628,29.14,22.006,0.3579,1.3888,0.272,LightGBM,2018,2
181-270,0,,,,,,,LightGBM,2018,2
271-365,0,,,,,,,LightGBM,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,SARIMAX,2018,2
8-30,21,-2.926,20.764,18.304,0.393,1.9656,0.067,SARIMAX,2018,2
31-90,32,-3.52,27.34,25.471,0.56,2.1934,0.17,SARIMAX,2018,2
91-180,43,-3.496,48.425,43.273,0.7039,2.7309,-0.138,SARIMAX,2018,2
181-270,0,,,,,,,SARIMAX,2018,2
271-365,0,,,,,,,SARIMAX,2018,2
1-7,6,-1.94,16.826,16.604,0.4519,0.9137,0.961,Ensemble_unweighted,2018,2
8-30,21,-0.427,12.517,11.64,0.2499,1.25,0.476,Ensemble_unweighted,2018,2
31-90,32,-1.099,18.629,15.965,0.351,1.3748,-0.132,Ensemble_unweighted,2018,2
91-180,43,-1.189,33.792,27.136,0.4414,1.7125,0.149,Ensemble_unweighted,2018,2
181-270,0,,,,,,,Ensemble_unweighted,2018,2
271-365,0,,,,,,,Ensemble_unweighted,2018,2
1-7,6,-1.953,16.865,16.638,0.4528,0.9156,0.96,Ensemble_MASEweighted,2018,2
8-30,21,-0.406,12.427,11.569,0.2484,1.2424,0.477,Ensemble_MASEweighted,2018,2
31-90,32,-1.077,18.531,15.844,0.3483,1.3644,-0.134,Ensemble_MASEweighted,2018,2
91-180,43,-1.168,33.631,26.954,0.4384,1.701,0.154,Ensemble_MASEweighted,2018,2
181-270,0,,,,,,,Ensemble_MASEweighted,2018,2
271-365,0,,,,,,,Ensemble_MASEweighted,2018,2
1-7,6,-1.058,14.078,11.862,0.3228,0.6528,0.743,TFT,2018,2
8-30,21,-0.321,12.044,8.113,0.1742,0.8712,0.126,TFT,2018,2
31-90,32,-0.176,13.948,9.573,0.2105,0.8243,-0.072,TFT,2018,2
91-180,43,-0.336,26.395,18.846,0.3065,1.1893,-0.004,TFT,2018,2
181-270,0,,,,,,,TFT,2018,2
271-365,0,,,,,,,TFT,2018,2
1-7,6,0.129,9.156,7.43,0.2022,0.4089,0.839,TabPFN,2018,2
8-30,21,-0.429,12.529,9.007,0.1934,0.9673,0.596,TabPFN,2018,2
