bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,real_frac
1-7,7,-0.02,25.748,22.844,0.7485,0.6859,0.207,RF,2018,2,0.8571428571428571
8-30,23,-0.488,9.551,8.768,0.1892,0.9943,0.093,RF,2018,2,0.9130434782608695
31-90,60,0.381,17.376,11.774,0.3386,0.4667,0.752,RF,2018,2,0.5333333333333333
91-180,90,-0.579,11.267,9.136,0.1838,1.1599,0.33,RF,2018,2,0.4777777777777778
181-270,90,-0.257,5.399,3.985,0.0769,0.819,-0.016,RF,2018,2,0.0
271-365,95,0.406,8.083,5.107,0.113,0.4997,0.697,RF,2018,2,0.0
1-7,7,-0.277,28.816,25.123,0.8232,0.7544,-0.088,XGB,2018,2,0.8571428571428571
8-30,23,0.054,7.618,6.727,0.1452,0.7629,0.525,XGB,2018,2,0.9130434782608695
31-90,60,0.287,18.66,12.154,0.3495,0.4818,0.729,XGB,2018,2,0.5333333333333333
91-180,90,-0.651,11.521,9.333,0.1878,1.1848,0.34,XGB,2018,2,0.4777777777777778
181-270,90,-1.413,7.482,5.73,0.1106,1.1775,-0.245,XGB,2018,2,0.0
271-365,95,0.277,8.914,4.764,0.1054,0.4662,0.533,XGB,2018,2,0.0
1-7,7,-0.216,28.122,24.431,0.8005,0.7336,-0.145,LightGBM,2018,2,0.8571428571428571
8-30,23,-0.137,8.35,7.514,0.1622,0.8521,0.363,LightGBM,2018,2,0.9130434782608695
31-90,60,0.235,19.32,12.505,0.3596,0.4957,0.729,LightGBM,2018,2,0.5333333333333333
91-180,90,-0.509,11.015,8.86,0.1783,1.1248,0.345,LightGBM,2018,2,0.4777777777777778
181-270,90,-1.18,7.111,5.275,0.1018,1.0841,-0.158,LightGBM,2018,2,0.0
271-365,95,0.437,7.867,4.182,0.0925,0.4093,0.701,LightGBM,2018,2,0.0
1-7,7,-0.024,25.81,19.459,0.6376,0.5843,0.164,SARIMAX,2018,2,0.8571428571428571
8-30,23,-5.057,19.27,17.988,0.3883,2.0399,0.095,SARIMAX,2018,2,0.9130434782608695
31-90,60,-0.027,22.385,19.257,0.5538,0.7633,0.574,SARIMAX,2018,2,0.5333333333333333
91-180,90,-10.847,30.864,29.229,0.5881,3.7108,-0.052,SARIMAX,2018,2,0.4777777777777778
181-270,90,-10.489,16.325,14.603,0.2819,3.0009,0.116,SARIMAX,2018,2,0.0
271-365,95,-0.468,12.705,8.355,0.1849,0.8176,-0.124,SARIMAX,2018,2,0.0
1-7,7,-0.108,26.84,22.965,0.7524,0.6895,0.039,Ensemble_unweighted,2018,2,0.8571428571428571
8-30,23,-0.801,10.507,9.813,0.2118,1.1128,0.413,Ensemble_unweighted,2018,2,0.9130434782608695
31-90,60,0.358,17.704,12.003,0.3452,0.4758,0.788,Ensemble_unweighted,2018,2,0.5333333333333333
91-180,90,-1.968,15.447,13.427,0.2702,1.7047,0.294,Ensemble_unweighted,2018,2,0.4777777777777778
181-270,90,-1.694,7.905,6.436,0.1243,1.3226,-0.078,Ensemble_unweighted,2018,2,0.0
271-365,95,0.334,8.56,4.997,0.1106,0.489,0.663,Ensemble_unweighted,2018,2,0.0
1-7,7,-0.112,26.886,23.023,0.7544,0.6913,0.034,Ensemble_MASEweighted,2018,2,0.8571428571428571
8-30,23,-0.766,10.406,9.719,0.2098,1.1021,0.415,Ensemble_MASEweighted,2018,2,0.9130434782608695
31-90,60,0.357,17.712,11.967,0.3441,0.4743,0.787,Ensemble_MASEweighted,2018,2,0.5333333333333333
91-180,90,-1.905,15.282,13.252,0.2666,1.6824,0.297,Ensemble_MASEweighted,2018,2,0.4777777777777778
181-270,90,-1.659,7.854,6.383,0.1232,1.3117,-0.088,Ensemble_MASEweighted,2018,2,0.0
271-365,95,0.337,8.541,4.966,0.1099,0.486,0.664,Ensemble_MASEweighted,2018,2,0.0
1-7,7,-2.102,44.909,35.809,1.1733,1.0752,-0.015,TFT,2018,2,0.8571428571428571
8-30,23,-1.182,11.566,9.588,0.2069,1.0873,0.611,TFT,2018,2,0.9130434782608695
31-90,60,-2.109,38.956,30.149,0.867,1.195,-0.361,TFT,2018,2,0.5333333333333333
91-180,90,-4.818,21.629,13.855,0.2788,1.759,-0.294,TFT,2018,2,0.4777777777777778
181-270,90,-33.834,28.426,21.21,0.4095,4.3587,-0.285,TFT,2018,2,0.0
271-365,95,-7.838,31.174,21.175,0.4685,2.0721,-0.273,TFT,2018,2,0.0
1-7,7,-1.018,36.221,24.314,0.7967,0.7301,0.026,TabPFN,2018,2,0.8571428571428571
8-30,23,-0.937,10.898,8.372,0.1807,0.9494,0.571,TabPFN,2018,2,0.9130434782608695
31-90,60,-1.11,32.093,22.156,0.6371,0.8782,-0.458,TabPFN,2018,2,0.5333333333333333
91-180,90,-0.193,9.793,7.369,0.1483,0.9355,-0.306,TabPFN,2018,2,0.4777777777777778
181-270,90,-0.012,4.846,3.615,0.0698,0.7429,-0.006,TabPFN,2018,2,0.0
271-365,95,-0.805,14.089,8.868,0.1962,0.8678,-0.431,TabPFN,2018,2,0.0
1-7,7,0.174,19.366,18.105,1.2431,0.557,0.58,RF,2018,4,0.14285714285714285
8-30,23,0.306,9.83,8.759,0.7608,0.5399,0.858,RF,2018,4,0.30434782608695654
31-90,60,0.225,16.491,11.908,0.8166,0.5546,0.569,RF,2018,4,0.55
91-180,90,-0.837,19.222,14.994,0.9971,1.2209,0.469,RF,2018,4,0.9222222222222223
181-270,90,0.254,47.772,33.106,0.6232,0.4949,0.521,RF,2018,4,0.8
271-365,95,0.042,38.394,28.774,1.0711,0.8616,0.29,RF,2018,4,0.7052631578947368
1-7,7,-0.033,21.659,20.492,1.407,0.6305,0.399,XGB,2018,4,0.14285714285714285
8-30,23,0.497,8.372,6.853,0.5953,0.4224,0.831,XGB,2018,4,0.30434782608695654
31-90,60,-0.085,19.513,13.296,0.9118,0.6193,0.288,XGB,2018,4,0.55
91-180,90,-0.169,15.338,11.4,0.758,0.9282,0.488,XGB,2018,4,0.9222222222222223
181-270,90,0.19,49.759,34.369,0.647,0.5138,0.466,XGB,2018,4,0.8
271-365,95,0.191,35.279,24.291,0.9043,0.7274,0.447,XGB,2018,4,0.7052631578947368
1-7,7,0.252,18.431,17.097,1.1739,0.526,0.713,LightGBM,2018,4,0.14285714285714285
8-30,23,0.395,9.183,8.111,0.7046,0.5,0.842,LightGBM,2018,4,0.30434782608695654
31-90,60,-0.071,19.385,12.965,0.8891,0.6039,0.356,LightGBM,2018,4,0.55
91-180,90,-0.384,16.682,12.431,0.8266,1.0122,0.427,LightGBM,2018,4,0.9222222222222223
181-270,90,0.266,47.392,32.377,0.6095,0.484,0.549,LightGBM,2018,4,0.8
271-365,95,0.188,35.336,24.112,0.8976,0.722,0.449,LightGBM,2018,4,0.7052631578947368
1-7,7,-0.17,23.048,21.523,1.4778,0.6622,0.623,SARIMAX,2018,4,0.14285714285714285
8-30,23,-0.972,16.574,14.127,1.2271,0.8709,0.701,SARIMAX,2018,4,0.30434782608695654
31-90,60,0.104,17.732,13.834,0.9487,0.6443,0.41,SARIMAX,2018,4,0.55
91-180,90,-1.119,20.647,18.04,1.1996,1.4689,0.433,SARIMAX,2018,4,0.9222222222222223
181-270,90,0.144,51.17,40.961,0.7711,0.6123,0.494,SARIMAX,2018,4,0.8
271-365,95,0.131,36.562,29.817,1.11,0.8929,0.58,SARIMAX,2018,4,0.7052631578947368
1-7,7,0.127,19.904,19.304,1.3254,0.5939,0.621,Ensemble_unweighted,2018,4,0.14285714285714285
8-30,23,0.172,10.74,9.44,0.82,0.582,0.814,Ensemble_unweighted,2018,4,0.30434782608695654
31-90,60,0.085,17.915,12.446,0.8535,0.5797,0.452,Ensemble_unweighted,2018,4,0.55
91-180,90,-0.517,17.467,13.863,0.9218,1.1288,0.478,Ensemble_unweighted,2018,4,0.9222222222222223
181-270,90,0.27,47.249,33.907,0.6383,0.5069,0.521,Ensemble_unweighted,2018,4,0.8
271-365,95,0.212,34.82,25.424,0.9465,0.7613,0.498,Ensemble_unweighted,2018,4,0.7052631578947368
1-7,7,0.128,19.891,19.288,1.3244,0.5934,0.62,Ensemble_MASEweighted,2018,4,0.14285714285714285
