tower,model,R2_gf,R2_obs,RMSE_gf,RMSE_obs,MASE_gf,MASE_obs,Corr_gf,Corr_obs
2,RF,-0.108,-0.889,14.503,22.13,0.689,0.346,0.459,0.087
2,XGB,-0.153,-0.618,14.767,20.819,0.638,0.312,0.372,0.214
2,LightGBM,-0.147,-0.6,14.643,20.667,0.653,0.31,0.42,0.182
2,SARIMAX,-1.432,-3.244,17.687,34.101,0.799,0.574,0.293,0.056
2,Ensemble_unweighted,-0.185,-1.048,14.609,23.657,0.646,0.374,0.433,0.176
2,Ensemble_MASEweighted,-0.179,-1.029,14.596,23.542,0.645,0.372,0.433,0.178
2,TFT,-4.661,-2.312,27.277,29.526,1.28,0.4,0.095,0.111
2,TabPFN,-1.115,-0.24,21.551,18.251,0.958,0.243,-0.151,0.098
2,DLinear,-8.597,-5.421,37.396,36.529,1.911,0.588,-0.023,0.009
2,LSTM,-4.624,-3.791,27.207,33.051,1.275,0.508,0.017,0.319
4,RF,-1.49,-0.067,32.612,51.616,0.916,1.026,0.528,0.403
4,XGB,-1.201,0.003,32.473,51.301,0.862,0.97,0.5,0.373
4,LightGBM,-1.171,-0.014,32.513,51.439,0.865,0.98,0.506,0.385
4,SARIMAX,-0.59,-0.039,33.935,52.462,0.89,1.04,0.524,0.38
4,Ensemble_unweighted,-0.465,0.012,31.827,51.035,0.827,0.977,0.535,0.397
4,Ensemble_MASEweighted,-0.484,0.011,31.831,51.034,0.827,0.977,0.534,0.397
4,TFT,-1.972,-0.228,37.779,54.48,1.052,1.014,0.398,0.315
4,TabPFN,-0.334,-0.006,38.434,54.261,0.842,0.864,0.498,0.391
4,DLinear,-10.332,-2.105,51.831,65.712,1.891,1.626,0.256,0.237
4,LSTM,-1.311,-0.439,44.948,59.825,1.14,1.106,0.3,0.228
9,RF,-0.18,-0.348,30.44,58.407,0.793,0.944,0.601,0.389
9,XGB,-0.152,-0.358,29.91,57.562,0.782,0.92,0.576,0.392
9,LightGBM,-0.12,-0.389,31.161,58.618,0.804,0.954,0.564,0.378
9,SARIMAX,-0.991,-0.406,36.017,60.121,1.141,0.92,0.572,0.35
9,Ensemble_unweighted,0.081,-0.253,29.736,57.485,0.781,0.884,0.601,0.385
9,Ensemble_MASEweighted,0.079,-0.255,29.721,57.485,0.779,0.885,0.6,0.385
9,TFT,-1.819,-0.209,46.956,64.87,1.23,0.974,0.255,0.304
9,TabPFN,-0.617,-0.265,45.596,65.98,1.047,0.926,0.415,0.349
9,DLinear,-4.753,-1.073,52.312,66.59,1.753,1.251,0.215,0.287
9,LSTM,-5.372,-2.229,53.365,74.019,1.577,1.289,0.188,0.179
