bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
1-7,6,0.72,5.191,4.8,0.1306,0.2642,0.952,TabICLv2,2018,2
8-30,21,-0.205,11.503,7.771,0.1668,0.8345,0.62,TabICLv2,2018,2
31-90,32,-0.139,13.725,9.341,0.2054,0.8044,0.235,TabICLv2,2018,2
91-180,43,-0.416,27.175,19.439,0.3162,1.2268,-0.181,TabICLv2,2018,2
181-270,0,,,,,,,TabICLv2,2018,2
271-365,0,,,,,,,TabICLv2,2018,2
1-7,1,,,,,,,TabICLv2,2018,4
8-30,7,-0.236,9.5,5.717,0.3769,0.8175,-0.163,TabICLv2,2018,4
31-90,33,-0.285,18.175,11.402,0.6942,0.9346,0.046,TabICLv2,2018,4
91-180,83,-3.073,38.711,30.979,1.6999,2.5073,-0.018,TabICLv2,2018,4
181-270,72,-0.198,87.255,58.359,0.9552,0.8353,0.043,TabICLv2,2018,4
271-365,67,-0.085,64.566,27.957,0.9184,0.9096,-0.111,TabICLv2,2018,4
1-7,0,,,,,,,TabICLv2,2018,9
8-30,0,,,,,,,TabICLv2,2018,9
31-90,0,,,,,,,TabICLv2,2018,9
91-180,0,,,,,,,TabICLv2,2018,9
181-270,0,,,,,,,TabICLv2,2018,9
271-365,0,,,,,,,TabICLv2,2018,9
1-7,0,,,,,,,TabICLv2,2019,2
8-30,0,,,,,,,TabICLv2,2019,2
31-90,0,,,,,,,TabICLv2,2019,2
91-180,0,,,,,,,TabICLv2,2019,2
181-270,0,,,,,,,TabICLv2,2019,2
271-365,0,,,,,,,TabICLv2,2019,2
1-7,0,,,,,,,TabICLv2,2019,4
8-30,8,-1.542,52.826,41.391,1.0824,1.0813,0.523,TabICLv2,2019,4
31-90,32,-0.17,24.246,19.19,0.8769,0.8786,0.047,TabICLv2,2019,4
91-180,62,-0.461,105.861,65.629,0.8631,0.8639,0.299,TabICLv2,2019,4
181-270,61,0.239,31.603,21.812,0.7744,0.7754,0.748,TabICLv2,2019,4
271-365,66,-0.065,54.46,22.46,0.8493,0.851,0.417,TabICLv2,2019,4
1-7,0,,,,,,,TabICLv2,2019,9
8-30,0,,,,,,,TabICLv2,2019,9
31-90,16,-1.012,28.484,22.743,1.3755,1.0,0.239,TabICLv2,2019,9
91-180,81,-0.64,91.466,61.791,1.0891,1.0,0.336,TabICLv2,2019,9
181-270,49,-0.036,68.515,39.304,1.0178,1.0,-0.225,TabICLv2,2019,9
271-365,49,-0.406,135.523,75.116,1.06,1.0,0.214,TabICLv2,2019,9
1-7,0,,,,,,,TabICLv2,2020,2
8-30,0,,,,,,,TabICLv2,2020,2
