bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,real_frac
1-7,7,-0.743,33.669,21.02,0.6887,0.6312,-0.022,TabICLv2,2018,2,0.8571428571428571
8-30,23,-0.508,9.615,6.791,0.1466,0.7701,0.562,TabICLv2,2018,2,0.9130434782608695
31-90,60,-0.993,31.192,21.443,0.6166,0.85,-0.228,TabICLv2,2018,2,0.5333333333333333
91-180,90,-0.342,10.386,7.912,0.1592,1.0045,-0.215,TabICLv2,2018,2,0.4777777777777778
181-270,90,-1.374,7.421,6.38,0.1232,1.311,0.476,TabICLv2,2018,2,0.0
271-365,95,-0.554,13.073,7.624,0.1687,0.746,-0.345,TabICLv2,2018,2,0.0
1-7,7,-1.248,31.946,23.005,1.5796,0.7078,-0.402,TabICLv2,2018,4,0.14285714285714285
8-30,23,-0.735,15.546,11.841,1.0286,0.73,0.739,TabICLv2,2018,4,0.30434782608695654
31-90,60,-0.937,26.074,18.066,1.2389,0.8415,-0.144,TabICLv2,2018,4,0.55
91-180,90,-4.961,34.626,26.912,1.7895,2.1913,-0.088,TabICLv2,2018,4,0.9222222222222223
181-270,90,-0.465,66.941,46.957,0.884,0.7019,0.234,TabICLv2,2018,4,0.8
271-365,95,-0.031,39.821,25.441,0.9471,0.7618,0.564,TabICLv2,2018,4,0.7052631578947368
1-7,7,-0.62,73.477,45.461,1.5977,1.0,0.148,TabICLv2,2018,9,0.0
8-30,23,-0.438,55.288,30.52,1.6103,1.0,-0.338,TabICLv2,2018,9,0.0
31-90,60,-0.723,57.134,37.012,1.5078,1.0,-0.18,TabICLv2,2018,9,0.0
91-180,90,-1.875,18.897,15.261,2.0306,1.0,-0.07,TabICLv2,2018,9,0.0
181-270,90,-2.849,111.056,95.57,1.1969,1.0,0.363,TabICLv2,2018,9,0.0
271-365,95,-1.168,40.377,29.638,1.5457,1.0,-0.03,TabICLv2,2018,9,0.0
1-7,7,-1.607,53.033,42.465,1.492,0.9416,0.736,TabICLv2,2019,2,0.0
8-30,23,-0.935,26.556,20.623,1.4485,0.8993,0.176,TabICLv2,2019,2,0.0
31-90,60,-0.837,42.076,28.399,1.6311,0.9088,0.023,TabICLv2,2019,2,0.0
91-180,90,-2.321,14.096,11.47,1.2375,0.9783,-0.273,TabICLv2,2019,2,0.0
181-270,90,-0.683,29.185,19.047,1.1396,0.9649,0.103,TabICLv2,2019,2,0.0
271-365,95,-0.95,34.985,25.947,1.2755,0.9846,-0.317,TabICLv2,2019,2,0.0
1-7,7,-14.784,7.862,7.582,3.7987,3.74,-0.025,TabICLv2,2019,4,0.0
8-30,23,-0.41,34.533,20.061,1.1089,1.1083,-0.262,TabICLv2,2019,4,0.34782608695652173
31-90,60,-0.838,32.449,24.719,0.8551,0.8569,0.089,TabICLv2,2019,4,0.5333333333333333
91-180,90,-1.231,72.595,57.189,0.8209,0.8217,0.406,TabICLv2,2019,4,0.6888888888888889
181-270,90,-0.001,37.614,24.253,0.6988,0.7001,0.806,TabICLv2,2019,4,0.6777777777777778
271-365,95,-0.45,28.825,19.231,0.7449,0.7467,0.441,TabICLv2,2019,4,0.6947368421052632
1-7,7,-2.072,20.708,17.007,2.2016,1.0,0.189,TabICLv2,2019,9,0.0
8-30,23,-4.217,22.414,20.152,1.869,1.0,-0.049,TabICLv2,2019,9,0.0
31-90,60,-0.997,39.937,28.217,1.4672,1.0,-0.02,TabICLv2,2019,9,0.26666666666666666
91-180,90,-1.055,76.177,56.709,1.1272,1.0,0.446,TabICLv2,2019,9,0.9
181-270,90,-0.354,71.665,44.948,1.0541,1.0,-0.563,TabICLv2,2019,9,0.5444444444444444
271-365,95,-0.707,81.688,53.091,1.1444,1.0,0.325,TabICLv2,2019,9,0.5157894736842106
1-7,7,-0.651,31.437,20.139,1.2246,0.9144,0.753,TabICLv2,2020,2,0.0
8-30,23,-3.357,29.267,25.429,2.3063,0.917,-0.331,TabICLv2,2020,2,0.0
31-90,60,-1.693,25.437,20.118,1.7527,0.8347,0.033,TabICLv2,2020,2,0.0
91-180,90,-0.738,24.017,15.401,1.2841,0.9619,-0.056,TabICLv2,2020,2,0.0
181-270,90,-1.139,20.571,15.377,1.1098,0.9467,0.044,TabICLv2,2020,2,0.0
