bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,Ensemble_unweighted,2018
8-30,7,-0.689,10.557,0.6959,Ensemble_unweighted,2018
31-90,33,0.052,12.953,0.7886,Ensemble_unweighted,2018
91-180,83,-0.582,18.24,1.0009,Ensemble_unweighted,2018
181-270,72,0.122,57.457,0.9404,Ensemble_unweighted,2018
271-365,67,0.009,34.206,1.1236,Ensemble_unweighted,2018
1-7,1,,,,Ensemble_MASEweighted,2018
8-30,7,-0.672,10.498,0.692,Ensemble_MASEweighted,2018
31-90,33,0.053,12.911,0.7861,Ensemble_MASEweighted,2018
91-180,83,-0.576,18.17,0.997,Ensemble_MASEweighted,2018
181-270,72,0.122,57.394,0.9394,Ensemble_MASEweighted,2018
271-365,67,0.011,34.085,1.1197,Ensemble_MASEweighted,2018
1-7,1,,,,SARIMAX,2018
8-30,7,-1.889,13.499,0.8898,SARIMAX,2018
31-90,33,-0.163,15.255,0.9288,SARIMAX,2018
91-180,83,-0.927,22.118,1.2137,SARIMAX,2018
181-270,72,0.033,64.116,1.0494,SARIMAX,2018
271-365,67,-0.17,43.107,1.416,SARIMAX,2018
1-7,1,,,,RF,2018
8-30,7,-0.86,11.25,0.7416,RF,2018
31-90,33,0.045,13.789,0.8395,RF,2018
91-180,83,-0.79,19.423,1.0658,RF,2018
181-270,72,0.149,55.814,0.9135,RF,2018
271-365,67,-0.048,37.022,1.2161,RF,2018
1-7,1,,,,XGB,2018
8-30,7,-0.089,7.835,0.5165,XGB,2018
31-90,33,0.03,12.084,0.7357,XGB,2018
91-180,83,-0.349,15.765,0.8651,XGB,2018
181-270,72,0.071,57.067,0.934,XGB,2018
271-365,67,0.066,30.811,1.0121,XGB,2018
1-7,1,,,,LightGBM,2018
8-30,7,-0.453,9.643,0.6357,LightGBM,2018
31-90,33,0.088,11.496,0.6999,LightGBM,2018
91-180,83,-0.508,16.737,0.9184,LightGBM,2018
181-270,72,0.129,55.103,0.9019,LightGBM,2018
271-365,67,0.059,30.408,0.9989,LightGBM,2018
1-7,0,,,,Ensemble_unweighted,2019
8-30,8,-2.857,53.515,1.3994,Ensemble_unweighted,2019
31-90,32,-0.123,17.236,0.7876,Ensemble_unweighted,2019
91-180,62,0.203,48.61,0.6393,Ensemble_unweighted,2019
181-270,61,0.573,16.725,0.5938,Ensemble_unweighted,2019
271-365,66,0.156,20.146,0.7618,Ensemble_unweighted,2019
1-7,0,,,,Ensemble_MASEweighted,2019
8-30,8,-2.866,53.592,1.4014,Ensemble_MASEweighted,2019
31-90,32,-0.127,17.256,0.7886,Ensemble_MASEweighted,2019
91-180,62,0.202,48.596,0.6391,Ensemble_MASEweighted,2019
181-270,61,0.572,16.739,0.5943,Ensemble_MASEweighted,2019
271-365,66,0.155,20.145,0.7618,Ensemble_MASEweighted,2019
1-7,0,,,,SARIMAX,2019
8-30,8,-1.688,42.891,1.1216,SARIMAX,2019
31-90,32,-0.242,19.951,0.9117,SARIMAX,2019
91-180,62,0.224,51.098,0.672,SARIMAX,2019
181-270,61,0.451,21.259,0.7547,SARIMAX,2019
271-365,66,0.091,26.295,0.9943,SARIMAX,2019
1-7,0,,,,RF,2019
8-30,8,-3.897,62.346,1.6303,RF,2019
31-90,32,-0.686,23.133,1.0571,RF,2019
91-180,62,0.177,50.212,0.6603,RF,2019
181-270,61,0.52,18.775,0.6665,RF,2019
271-365,66,0.183,20.438,0.7729,RF,2019
1-7,0,,,,XGB,2019
8-30,8,-3.177,55.475,1.4507,XGB,2019
31-90,32,-0.278,18.308,0.8366,XGB,2019
91-180,62,0.186,48.36,0.636,XGB,2019
181-270,61,0.524,17.936,0.6368,XGB,2019
271-365,66,0.122,21.613,0.8173,XGB,2019
1-7,0,,,,LightGBM,2019
8-30,8,-2.896,54.476,1.4245,LightGBM,2019
31-90,32,-0.251,18.159,0.8298,LightGBM,2019
91-180,62,0.184,47.721,0.6276,LightGBM,2019
181-270,61,0.57,16.798,0.5963,LightGBM,2019
271-365,66,0.12,20.234,0.7651,LightGBM,2019
1-7,4,-4.187,15.519,1.3789,Ensemble_unweighted,2020
8-30,21,-0.279,12.264,0.9703,Ensemble_unweighted,2020
31-90,37,-0.08,29.787,1.1274,Ensemble_unweighted,2020
91-180,42,0.087,16.136,0.9546,Ensemble_unweighted,2020
181-270,79,0.109,48.961,0.9603,Ensemble_unweighted,2020
271-365,80,0.167,37.661,0.9604,Ensemble_unweighted,2020
1-7,4,-4.238,15.609,1.3869,Ensemble_MASEweighted,2020
8-30,21,-0.287,12.31,0.974,Ensemble_MASEweighted,2020
31-90,37,-0.081,29.837,1.1292,Ensemble_MASEweighted,2020
91-180,42,0.086,16.119,0.9536,Ensemble_MASEweighted,2020
181-270,79,0.109,48.944,0.96,Ensemble_MASEweighted,2020
271-365,80,0.166,37.693,0.9612,Ensemble_MASEweighted,2020
1-7,4,-1.438,9.319,0.828,SARIMAX,2020
8-30,21,0.189,10.237,0.8099,SARIMAX,2020
31-90,37,-0.057,26.698,1.0104,SARIMAX,2020
91-180,42,0.056,17.31,1.024,SARIMAX,2020
181-270,79,0.094,50.953,0.9994,SARIMAX,2020
271-365,80,0.124,40.837,1.0414,SARIMAX,2020
1-7,4,-5.172,17.226,1.5305,RF,2020
8-30,21,-1.103,18.281,1.4464,RF,2020
31-90,37,-0.096,31.407,1.1887,RF,2020
91-180,42,0.039,16.492,0.9756,RF,2020
181-270,79,0.112,49.943,0.9796,RF,2020
271-365,80,0.232,35.142,0.8962,RF,2020
1-7,4,-6.158,18.534,1.6468,XGB,2020
8-30,21,-0.431,13.287,1.0513,XGB,2020
31-90,37,-0.121,30.907,1.1697,XGB,2020
91-180,42,-0.005,16.443,0.9728,XGB,2020
181-270,79,0.097,48.07,0.9428,XGB,2020
271-365,80,0.143,39.833,1.0158,XGB,2020
1-7,4,-5.556,17.701,1.5727,LightGBM,2020
8-30,21,-0.603,14.546,1.1509,LightGBM,2020
31-90,37,-0.116,31.577,1.1951,LightGBM,2020
91-180,42,0.032,16.448,0.973,LightGBM,2020
181-270,79,0.105,48.826,0.9577,LightGBM,2020
271-365,80,0.145,39.23,1.0004,LightGBM,2020
1-7,3,-2.396,3.804,1.5325,Ensemble_unweighted,2021
8-30,19,-0.2,14.696,1.1564,Ensemble_unweighted,2021
31-90,50,-0.035,15.05,1.159,Ensemble_unweighted,2021
91-180,90,0.168,55.75,0.8591,Ensemble_unweighted,2021
181-270,88,0.293,65.574,0.967,Ensemble_unweighted,2021
271-365,91,-0.436,31.053,1.4907,Ensemble_unweighted,2021
1-7,3,-2.352,3.785,1.5247,Ensemble_MASEweighted,2021
8-30,19,-0.201,14.708,1.1573,Ensemble_MASEweighted,2021
31-90,50,-0.036,15.061,1.1598,Ensemble_MASEweighted,2021
91-180,90,0.168,55.777,0.8595,Ensemble_MASEweighted,2021
181-270,88,0.294,65.575,0.967,Ensemble_MASEweighted,2021
271-365,91,-0.439,31.078,1.4918,Ensemble_MASEweighted,2021
1-7,3,-5.577,5.171,2.0832,SARIMAX,2021
8-30,19,0.013,12.58,0.9898,SARIMAX,2021
31-90,50,0.016,13.56,1.0442,SARIMAX,2021
91-180,90,0.111,56.891,0.8767,SARIMAX,2021
