bin,n,R2,MAE,MASE,model
1-7,3,-2.396,3.804,1.5325,Ensemble_unweighted
8-30,19,-0.2,14.696,1.1564,Ensemble_unweighted
31-90,50,-0.035,15.05,1.159,Ensemble_unweighted
91-180,90,0.168,55.75,0.8591,Ensemble_unweighted
181-270,88,0.293,65.574,0.967,Ensemble_unweighted
271-365,91,-0.436,31.053,1.4907,Ensemble_unweighted
1-7,3,-2.352,3.785,1.5247,Ensemble_MASEweighted
8-30,19,-0.201,14.708,1.1573,Ensemble_MASEweighted
31-90,50,-0.036,15.061,1.1598,Ensemble_MASEweighted
91-180,90,0.168,55.777,0.8595,Ensemble_MASEweighted
181-270,88,0.294,65.575,0.967,Ensemble_MASEweighted
271-365,91,-0.439,31.078,1.4918,Ensemble_MASEweighted
1-7,3,-5.577,5.171,2.0832,SARIMAX
8-30,19,0.013,12.58,0.9898,SARIMAX
31-90,50,0.016,13.56,1.0442,SARIMAX
91-180,90,0.111,56.891,0.8767,SARIMAX
181-270,88,0.207,64.547,0.9519,SARIMAX
271-365,91,-0.271,28.541,1.37,SARIMAX
1-7,3,-3.127,3.965,1.5974,RF
8-30,19,-0.732,18.178,1.4303,RF
31-90,50,-0.182,17.646,1.3589,RF
91-180,90,0.209,52.998,0.8167,RF
181-270,88,0.222,68.949,1.0168,RF
271-365,91,-0.594,33.074,1.5877,RF
1-7,3,-1.803,3.57,1.4383,XGB
8-30,19,-0.17,15.013,1.1813,XGB
31-90,50,-0.098,15.677,1.2073,XGB
91-180,90,0.137,58.427,0.9004,XGB
181-270,88,0.322,65.564,0.9669,XGB
271-365,91,-0.514,31.416,1.508,XGB
1-7,3,-0.606,2.728,1.0991,LightGBM
8-30,19,-0.214,14.677,1.1549,LightGBM
31-90,50,-0.056,14.612,1.1253,LightGBM
91-180,90,0.193,55.597,0.8568,LightGBM
181-270,88,0.335,65.155,0.9608,LightGBM
271-365,91,-0.582,32.368,1.5538,LightGBM
