bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,DLinear,2018
8-30,7,-22.94,38.228,2.5199,DLinear,2018
31-90,33,-9.447,48.336,2.9428,DLinear,2018
91-180,83,-13.296,60.201,3.3034,DLinear,2018
181-270,72,-2.542,122.504,2.0051,DLinear,2018
271-365,67,-1.697,80.511,2.6447,DLinear,2018
1-7,1,,,,LSTM,2018
8-30,7,-0.722,7.689,0.5068,LSTM,2018
31-90,33,-0.68,13.788,0.8394,LSTM,2018
91-180,83,-0.908,21.947,1.2043,LSTM,2018
181-270,72,-0.243,62.485,1.0227,LSTM,2018
271-365,67,-0.07,27.53,0.9044,LSTM,2018
1-7,0,,,,DLinear,2019
8-30,8,-0.193,25.538,0.6678,DLinear,2019
31-90,32,-3.142,38.899,1.7776,DLinear,2019
91-180,62,0.191,47.311,0.6222,DLinear,2019
181-270,61,0.152,26.771,0.9504,DLinear,2019
271-365,66,-0.421,43.347,1.6392,DLinear,2019
1-7,0,,,,LSTM,2019
8-30,8,-1.282,39.146,1.0236,LSTM,2019
31-90,32,-0.134,19.07,0.8714,LSTM,2019
91-180,62,0.088,52.493,0.6903,LSTM,2019
181-270,61,-0.023,24.047,0.8537,LSTM,2019
271-365,66,-0.008,27.065,1.0235,LSTM,2019
1-7,4,-3.906,15.482,1.3756,DLinear,2020
8-30,21,-1.104,15.62,1.2359,DLinear,2020
31-90,37,0.082,26.595,1.0066,DLinear,2020
91-180,42,-0.722,20.852,1.2336,DLinear,2020
181-270,79,-0.059,61.545,1.2071,DLinear,2020
271-365,80,0.176,50.519,1.2883,DLinear,2020
1-7,4,-4.254,16.42,1.459,LSTM,2020
8-30,21,-0.907,15.649,1.2382,LSTM,2020
31-90,37,-0.214,28.355,1.0732,LSTM,2020
91-180,42,-0.632,22.277,1.3179,LSTM,2020
181-270,79,0.061,49.234,0.9657,LSTM,2020
271-365,80,-0.27,54.407,1.3875,LSTM,2020
1-7,3,-5.727,4.233,1.7054,DLinear,2021
8-30,19,-2.741,28.667,2.2556,DLinear,2021
31-90,50,-1.29,26.085,2.0088,DLinear,2021
91-180,90,0.184,51.098,0.7874,DLinear,2021
181-270,88,0.417,58.134,0.8573,DLinear,2021
271-365,91,-1.007,36.875,1.7701,DLinear,2021
1-7,3,-87.012,22.436,9.0387,LSTM,2021
8-30,19,-0.43,17.707,1.3932,LSTM,2021
31-90,50,-0.008,14.509,1.1174,LSTM,2021
91-180,90,0.075,56.23,0.8665,LSTM,2021
181-270,88,0.041,62.179,0.9169,LSTM,2021
271-365,91,-0.26,27.889,1.3388,LSTM,2021
1-7,0,,,,DLinear,2022
8-30,0,,,,DLinear,2022
31-90,1,,,,DLinear,2022
91-180,75,-0.405,28.286,1.3044,DLinear,2022
181-270,74,0.127,39.855,1.1201,DLinear,2022
271-365,74,-0.713,33.175,1.467,DLinear,2022
1-7,0,,,,LSTM,2022
8-30,0,,,,LSTM,2022
31-90,1,,,,LSTM,2022
91-180,75,-0.176,24.554,1.1323,LSTM,2022
181-270,74,-0.031,44.326,1.2457,LSTM,2022
271-365,74,-0.203,24.619,1.0887,LSTM,2022
