bin,n,R2,MAE,MASE,model,h1_retrain
1-7,3,-15.918,8.116,3.2696,DLinear,True
8-30,19,-0.795,18.924,1.489,DLinear,True
31-90,50,-0.424,18.6,1.4324,DLinear,True
91-180,90,0.216,52.432,0.808,DLinear,True
181-270,88,0.43,57.544,0.8486,DLinear,True
271-365,91,-1.302,39.175,1.8805,DLinear,True
1-7,3,-87.012,22.436,9.0387,LSTM,True
8-30,19,-0.43,17.707,1.3932,LSTM,True
31-90,50,-0.008,14.509,1.1174,LSTM,True
91-180,90,0.075,56.23,0.8665,LSTM,True
181-270,88,0.041,62.179,0.9169,LSTM,True
271-365,91,-0.26,27.889,1.3388,LSTM,True
