bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,RF,2018
8-30,7,-0.602,10.413,0.6864,RF,2018
31-90,33,0.069,13.37,0.814,RF,2018
91-180,83,-1.228,23.793,1.3056,RF,2018
181-270,72,0.114,56.118,0.9185,RF,2018
271-365,67,-0.054,34.4,1.13,RF,2018
1-7,1,,,,XGB,2018
8-30,7,0.089,6.94,0.4575,XGB,2018
31-90,33,0.103,12.042,0.7331,XGB,2018
91-180,83,-0.296,15.541,0.8528,XGB,2018
181-270,72,0.072,57.358,0.9388,XGB,2018
271-365,67,0.038,28.21,0.9267,XGB,2018
1-7,1,,,,LightGBM,2018
8-30,7,0.126,6.543,0.4313,LightGBM,2018
31-90,33,0.116,11.575,0.7047,LightGBM,2018
91-180,83,-0.859,19.137,1.0501,LightGBM,2018
181-270,72,0.128,56.013,0.9168,LightGBM,2018
271-365,67,0.044,28.147,0.9246,LightGBM,2018
1-7,1,,,,SARIMAX,2018
8-30,7,-0.203,6.51,0.4291,SARIMAX,2018
31-90,33,-0.666,14.407,0.8771,SARIMAX,2018
91-180,83,-3.273,36.103,1.981,SARIMAX,2018
181-270,72,-0.004,67.344,1.1022,SARIMAX,2018
271-365,67,-0.143,40.901,1.3436,SARIMAX,2018
1-7,0,,,,RF,2019
8-30,8,-3.606,59.729,1.5619,RF,2019
31-90,32,-0.27,19.425,0.8877,RF,2019
91-180,62,0.118,48.525,0.6382,RF,2019
181-270,61,0.316,25.285,0.8977,RF,2019
271-365,66,0.131,22.675,0.8574,RF,2019
1-7,0,,,,XGB,2019
8-30,8,-4.056,63.588,1.6628,XGB,2019
31-90,32,-0.374,18.834,0.8607,XGB,2019
91-180,62,0.186,47.162,0.6202,XGB,2019
181-270,61,0.331,23.974,0.8511,XGB,2019
271-365,66,0.048,24.071,0.9103,XGB,2019
1-7,0,,,,LightGBM,2019
8-30,8,-3.34,58.773,1.5369,LightGBM,2019
31-90,32,-0.209,17.776,0.8123,LightGBM,2019
91-180,62,0.202,46.246,0.6082,LightGBM,2019
181-270,61,0.301,24.65,0.8751,LightGBM,2019
271-365,66,0.097,22.692,0.8581,LightGBM,2019
1-7,0,,,,SARIMAX,2019
8-30,8,-1.475,40.711,1.0646,SARIMAX,2019
31-90,32,-0.347,20.363,0.9305,SARIMAX,2019
91-180,62,0.181,48.665,0.64,SARIMAX,2019
181-270,61,0.547,17.082,0.6064,SARIMAX,2019
271-365,66,0.118,25.776,0.9747,SARIMAX,2019
1-7,4,-1.635,10.314,0.9164,RF,2020
8-30,21,-0.265,11.512,0.9108,RF,2020
31-90,37,-0.098,28.503,1.0788,RF,2020
91-180,42,-0.089,18.276,1.0812,RF,2020
181-270,79,0.116,49.476,0.9704,RF,2020
271-365,80,0.182,40.034,1.0209,RF,2020
1-7,4,-4.29,15.407,1.369,XGB,2020
8-30,21,-0.23,11.54,0.913,XGB,2020
31-90,37,-0.12,30.248,1.1448,XGB,2020
91-180,42,-0.196,18.519,1.0956,XGB,2020
181-270,79,0.119,48.945,0.96,XGB,2020
271-365,80,0.154,42.407,1.0814,XGB,2020
1-7,4,-2.339,11.424,1.0151,LightGBM,2020
8-30,21,-0.171,10.942,0.8657,LightGBM,2020
31-90,37,-0.127,29.475,1.1155,LightGBM,2020
91-180,42,-0.119,18.227,1.0783,LightGBM,2020
181-270,79,0.118,49.83,0.9773,LightGBM,2020
271-365,80,0.149,43.62,1.1124,LightGBM,2020
1-7,4,-3.978,14.782,1.3134,SARIMAX,2020
8-30,21,-0.318,11.995,0.9491,SARIMAX,2020
31-90,37,-0.04,27.526,1.0418,SARIMAX,2020
91-180,42,-0.694,23.4,1.3843,SARIMAX,2020
181-270,79,0.064,52.449,1.0287,SARIMAX,2020
271-365,80,0.095,42.34,1.0797,SARIMAX,2020
1-7,3,-4.047,4.323,1.7416,RF,2021
8-30,19,-0.251,14.112,1.1104,RF,2021
31-90,50,-0.104,15.178,1.1688,RF,2021
91-180,90,0.095,53.234,0.8203,RF,2021
181-270,88,0.253,61.306,0.9041,RF,2021
271-365,91,0.019,24.099,1.1568,RF,2021
1-7,3,-0.581,2.819,1.1357,XGB,2021
8-30,19,-0.007,13.782,1.0844,XGB,2021
31-90,50,-0.199,17.106,1.3174,XGB,2021
91-180,90,0.062,56.107,0.8646,XGB,2021
181-270,88,0.364,57.333,0.8455,XGB,2021
271-365,91,0.044,23.599,1.1328,XGB,2021
1-7,3,-0.753,2.73,1.1,LightGBM,2021
8-30,19,-0.015,13.419,1.0559,LightGBM,2021
31-90,50,-0.307,18.032,1.3886,LightGBM,2021
91-180,90,0.092,57.082,0.8797,LightGBM,2021
181-270,88,0.368,57.33,0.8454,LightGBM,2021
271-365,91,0.046,23.181,1.1127,LightGBM,2021
1-7,3,-3.728,4.559,1.8366,SARIMAX,2021
8-30,19,0.043,12.049,0.948,SARIMAX,2021
31-90,50,-0.308,16.148,1.2435,SARIMAX,2021
91-180,90,0.104,58.51,0.9017,SARIMAX,2021
181-270,88,0.167,65.513,0.9661,SARIMAX,2021
271-365,91,-0.102,25.286,1.2138,SARIMAX,2021
1-7,0,,,,RF,2022
8-30,0,,,,RF,2022
31-90,1,,,,RF,2022
91-180,75,0.066,25.875,1.1932,RF,2022
181-270,74,0.002,42.773,1.2021,RF,2022
271-365,74,-0.004,26.647,1.1784,RF,2022
1-7,0,,,,XGB,2022
8-30,0,,,,XGB,2022
31-90,1,,,,XGB,2022
91-180,75,0.178,22.991,1.0602,XGB,2022
181-270,74,-0.049,43.721,1.2288,XGB,2022
271-365,74,0.026,25.899,1.1453,XGB,2022
1-7,0,,,,LightGBM,2022
8-30,0,,,,LightGBM,2022
31-90,1,,,,LightGBM,2022
91-180,75,0.147,22.851,1.0538,LightGBM,2022
181-270,74,-0.021,43.032,1.2094,LightGBM,2022
271-365,74,-0.021,27.077,1.1974,LightGBM,2022
1-7,0,,,,SARIMAX,2022
8-30,0,,,,SARIMAX,2022
31-90,1,,,,SARIMAX,2022
91-180,75,0.128,24.415,1.1259,SARIMAX,2022
181-270,74,0.01,43.029,1.2093,SARIMAX,2022
271-365,74,-0.152,27.925,1.2349,SARIMAX,2022
