bin,n,R2,MAE,MASE,model
1-7,3,-4.047,4.323,1.7416,RF
8-30,19,-0.251,14.112,1.1104,RF
31-90,50,-0.104,15.178,1.1688,RF
91-180,90,0.095,53.234,0.8203,RF
181-270,88,0.253,61.306,0.9041,RF
271-365,91,0.019,24.099,1.1568,RF
1-7,3,-0.581,2.819,1.1357,XGB
8-30,19,-0.007,13.782,1.0844,XGB
31-90,50,-0.199,17.106,1.3174,XGB
91-180,90,0.062,56.107,0.8646,XGB
181-270,88,0.364,57.333,0.8455,XGB
271-365,91,0.044,23.599,1.1328,XGB
1-7,3,-0.753,2.73,1.1,LightGBM
8-30,19,-0.015,13.419,1.0559,LightGBM
31-90,50,-0.307,18.032,1.3886,LightGBM
91-180,90,0.092,57.082,0.8797,LightGBM
181-270,88,0.368,57.33,0.8454,LightGBM
271-365,91,0.046,23.181,1.1127,LightGBM
1-7,3,-3.728,4.559,1.8366,SARIMAX
8-30,19,0.043,12.049,0.948,SARIMAX
31-90,50,-0.308,16.148,1.2435,SARIMAX
91-180,90,0.104,58.51,0.9017,SARIMAX
181-270,88,0.167,65.513,0.9661,SARIMAX
271-365,91,-0.102,25.286,1.2138,SARIMAX
