model,n,R2,MAE,MASE,anchor_year
RF,13,0.62,13.384,0.7898,2018
XGB,13,0.804,9.927,0.5857,2018
LightGBM,13,0.728,10.8,0.6373,2018
SARIMAX,13,-0.099,21.133,1.2469,2018
RF,13,0.61,15.637,0.6638,2019
XGB,13,0.679,14.188,0.6022,2019
LightGBM,13,0.743,13.275,0.5635,2019
SARIMAX,13,0.846,10.095,0.4285,2019
RF,13,0.707,12.672,0.6269,2020
XGB,13,0.727,11.669,0.5773,2020
LightGBM,13,0.713,12.708,0.6287,2020
SARIMAX,13,0.549,15.679,0.7757,2020
RF,13,0.553,21.705,0.7427,2021
XGB,13,0.602,21.126,0.7229,2021
LightGBM,13,0.619,20.553,0.7033,2021
SARIMAX,13,0.531,22.539,0.7712,2021
RF,11,-2.241,18.757,1.2429,2022
XGB,11,-2.077,16.893,1.1194,2022
LightGBM,11,-2.021,16.402,1.0869,2022
SARIMAX,11,-2.427,18.34,1.2152,2022
