bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,B12_monthly_ensemble_downscaled,2018
8-30,7,0.187,6.121,0.4035,B12_monthly_ensemble_downscaled,2018
31-90,33,0.243,11.85,0.7215,B12_monthly_ensemble_downscaled,2018
91-180,83,-1.03,22.963,1.26,B12_monthly_ensemble_downscaled,2018
181-270,72,0.111,58.065,0.9504,B12_monthly_ensemble_downscaled,2018
271-365,67,0.016,31.614,1.0385,B12_monthly_ensemble_downscaled,2018
1-7,1,,,,B10_daily_ensemble_original,2018
8-30,7,-0.689,10.557,0.6959,B10_daily_ensemble_original,2018
31-90,33,0.052,12.953,0.7886,B10_daily_ensemble_original,2018
91-180,83,-0.582,18.24,1.0009,B10_daily_ensemble_original,2018
181-270,72,0.122,57.457,0.9404,B10_daily_ensemble_original,2018
271-365,67,0.009,34.206,1.1236,B10_daily_ensemble_original,2018
1-7,0,,,,B12_monthly_ensemble_downscaled,2019
8-30,8,-3.028,55.236,1.4444,B12_monthly_ensemble_downscaled,2019
31-90,32,-0.128,17.539,0.8015,B12_monthly_ensemble_downscaled,2019
91-180,62,0.182,46.716,0.6144,B12_monthly_ensemble_downscaled,2019
181-270,61,0.421,22.158,0.7866,B12_monthly_ensemble_downscaled,2019
271-365,66,0.125,21.832,0.8256,B12_monthly_ensemble_downscaled,2019
1-7,0,,,,B10_daily_ensemble_original,2019
8-30,8,-2.857,53.515,1.3994,B10_daily_ensemble_original,2019
31-90,32,-0.123,17.236,0.7876,B10_daily_ensemble_original,2019
91-180,62,0.203,48.61,0.6393,B10_daily_ensemble_original,2019
181-270,61,0.573,16.725,0.5938,B10_daily_ensemble_original,2019
271-365,66,0.156,20.146,0.7618,B10_daily_ensemble_original,2019
1-7,4,-2.855,12.85,1.1417,B12_monthly_ensemble_downscaled,2020
8-30,21,-0.109,10.597,0.8385,B12_monthly_ensemble_downscaled,2020
31-90,37,-0.085,28.344,1.0728,B12_monthly_ensemble_downscaled,2020
91-180,42,-0.171,19.114,1.1308,B12_monthly_ensemble_downscaled,2020
181-270,79,0.113,49.744,0.9757,B12_monthly_ensemble_downscaled,2020
271-365,80,0.158,39.799,1.015,B12_monthly_ensemble_downscaled,2020
1-7,4,-4.187,15.519,1.3789,B10_daily_ensemble_original,2020
8-30,21,-0.279,12.264,0.9703,B10_daily_ensemble_original,2020
31-90,37,-0.08,29.787,1.1274,B10_daily_ensemble_original,2020
91-180,42,0.087,16.136,0.9546,B10_daily_ensemble_original,2020
181-270,79,0.109,48.961,0.9603,B10_daily_ensemble_original,2020
271-365,80,0.167,37.661,0.9604,B10_daily_ensemble_original,2020
1-7,3,-1.118,3.306,1.332,B12_monthly_ensemble_downscaled,2021
8-30,19,-0.011,13.143,1.0341,B12_monthly_ensemble_downscaled,2021
31-90,50,-0.184,16.18,1.246,B12_monthly_ensemble_downscaled,2021
91-180,90,0.096,55.856,0.8607,B12_monthly_ensemble_downscaled,2021
181-270,88,0.299,59.821,0.8822,B12_monthly_ensemble_downscaled,2021
271-365,91,0.062,23.119,1.1098,B12_monthly_ensemble_downscaled,2021
1-7,3,-2.396,3.804,1.5325,B10_daily_ensemble_original,2021
8-30,19,-0.2,14.696,1.1564,B10_daily_ensemble_original,2021
31-90,50,-0.035,15.05,1.159,B10_daily_ensemble_original,2021
91-180,90,0.168,55.75,0.8591,B10_daily_ensemble_original,2021
181-270,88,0.293,65.574,0.967,B10_daily_ensemble_original,2021
271-365,91,-0.436,31.053,1.4907,B10_daily_ensemble_original,2021
1-7,0,,,,B12_monthly_ensemble_downscaled,2022
8-30,0,,,,B12_monthly_ensemble_downscaled,2022
31-90,1,,,,B12_monthly_ensemble_downscaled,2022
91-180,75,0.162,23.58,1.0874,B12_monthly_ensemble_downscaled,2022
181-270,74,0.007,42.602,1.1973,B12_monthly_ensemble_downscaled,2022
271-365,74,-0.001,26.428,1.1687,B12_monthly_ensemble_downscaled,2022
1-7,0,,,,B10_daily_ensemble_original,2022
8-30,0,,,,B10_daily_ensemble_original,2022
31-90,1,,,,B10_daily_ensemble_original,2022
91-180,75,0.129,23.916,1.1029,B10_daily_ensemble_original,2022
181-270,74,0.062,40.952,1.1509,B10_daily_ensemble_original,2022
271-365,74,0.157,22.443,0.9925,B10_daily_ensemble_original,2022
