bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,TFT,2018
8-30,7,-0.528,7.358,0.485,TFT,2018
31-90,33,-0.159,11.438,0.6964,TFT,2018
91-180,83,-1.288,22.762,1.249,TFT,2018
181-270,72,-0.172,59.551,0.9747,TFT,2018
271-365,67,-0.131,31.243,1.0263,TFT,2018
1-7,0,,,,TFT,2019
8-30,8,-2.818,55.342,1.4472,TFT,2019
31-90,32,-0.252,20.335,0.9293,TFT,2019
91-180,62,0.09,50.424,0.6631,TFT,2019
181-270,61,0.212,23.707,0.8416,TFT,2019
271-365,66,-0.091,24.528,0.9275,TFT,2019
1-7,4,0.176,5.664,0.5032,TFT,2020
8-30,21,-0.319,10.547,0.8345,TFT,2020
31-90,37,-0.036,25.664,0.9713,TFT,2020
91-180,42,-0.572,19.858,1.1748,TFT,2020
181-270,79,0.104,50.797,0.9963,TFT,2020
271-365,80,0.126,38.532,0.9826,TFT,2020
1-7,3,-1.078,3.398,1.3688,TFT,2021
8-30,19,-1.155,17.548,1.3807,TFT,2021
31-90,50,-0.269,14.969,1.1528,TFT,2021
91-180,90,0.325,49.352,0.7605,TFT,2021
181-270,88,0.228,61.262,0.9034,TFT,2021
271-365,91,-2.668,49.992,2.3998,TFT,2021
1-7,0,,,,TFT,2022
8-30,0,,,,TFT,2022
31-90,1,,,,TFT,2022
91-180,75,0.312,21.801,1.0054,TFT,2022
181-270,74,0.128,39.048,1.0974,TFT,2022
271-365,74,-0.004,25.62,1.1329,TFT,2022
