bin,n,R2,MAE,MASE,model,tower,anchor_year
1-7,6,0.129,7.43,0.2022,TabPFN,2,2018
8-30,21,-0.429,9.007,0.1934,TabPFN,2,2018
31-90,32,-0.176,10.126,0.2226,TabPFN,2,2018
91-180,43,-0.248,17.762,0.2889,TabPFN,2,2018
181-270,0,,,,TabPFN,2,2018
271-365,0,,,,TabPFN,2,2018
1-7,1,,,,TabPFN,4,2018
8-30,7,-0.295,6.004,0.3958,TabPFN,4,2018
31-90,33,-0.351,11.651,0.7093,TabPFN,4,2018
91-180,83,-0.226,14.759,0.8098,TabPFN,4,2018
181-270,72,-0.199,57.593,0.9426,TabPFN,4,2018
271-365,67,-0.091,27.548,0.9049,TabPFN,4,2018
1-7,0,,,,TabPFN,9,2018
8-30,0,,,,TabPFN,9,2018
31-90,0,,,,TabPFN,9,2018
91-180,0,,,,TabPFN,9,2018
181-270,0,,,,TabPFN,9,2018
271-365,0,,,,TabPFN,9,2018
1-7,0,,,,TabPFN,2,2019
8-30,0,,,,TabPFN,2,2019
31-90,0,,,,TabPFN,2,2019
91-180,0,,,,TabPFN,2,2019
181-270,0,,,,TabPFN,2,2019
271-365,0,,,,TabPFN,2,2019
1-7,0,,,,TabPFN,4,2019
8-30,8,-1.538,41.345,1.0812,TabPFN,4,2019
31-90,32,-0.159,19.148,0.875,TabPFN,4,2019
91-180,62,-0.296,59.246,0.7792,TabPFN,4,2019
181-270,61,0.302,20.575,0.7304,TabPFN,4,2019
271-365,66,-0.051,22.377,0.8462,TabPFN,4,2019
1-7,0,,,,TabPFN,9,2019
8-30,0,,,,TabPFN,9,2019
31-90,16,-1.012,22.743,1.3755,TabPFN,9,2019
91-180,81,-0.64,61.791,1.0891,TabPFN,9,2019
181-270,49,-0.036,39.304,1.0178,TabPFN,9,2019
271-365,49,-0.406,75.116,1.06,TabPFN,9,2019
1-7,0,,,,TabPFN,2,2020
8-30,0,,,,TabPFN,2,2020
31-90,0,,,,TabPFN,2,2020
91-180,0,,,,TabPFN,2,2020
181-270,0,,,,TabPFN,2,2020
271-365,0,,,,TabPFN,2,2020
1-7,4,-0.225,6.304,0.5601,TabPFN,4,2020
8-30,21,-0.004,8.978,0.7103,TabPFN,4,2020
31-90,37,-0.076,26.227,0.9926,TabPFN,4,2020
91-180,42,0.1,14.863,0.8792,TabPFN,4,2020
181-270,79,0.033,45.003,0.8827,TabPFN,4,2020
271-365,80,0.073,35.512,0.9056,TabPFN,4,2020
1-7,4,-24.669,15.592,0.6385,TabPFN,9,2020
8-30,19,-0.02,58.932,0.9564,TabPFN,9,2020
31-90,24,-0.19,13.412,0.6435,TabPFN,9,2020
91-180,57,-0.272,17.049,0.9219,TabPFN,9,2020
181-270,64,-0.103,59.342,0.9682,TabPFN,9,2020
271-365,86,-0.045,32.06,0.9252,TabPFN,9,2020
1-7,0,,,,TabPFN,2,2021
8-30,0,,,,TabPFN,2,2021
31-90,0,,,,TabPFN,2,2021
91-180,0,,,,TabPFN,2,2021
181-270,0,,,,TabPFN,2,2021
271-365,0,,,,TabPFN,2,2021
1-7,3,-0.733,3.027,1.2194,TabPFN,4,2021
8-30,19,0.105,11.531,0.9073,TabPFN,4,2021
31-90,50,0.006,12.437,0.9578,TabPFN,4,2021
91-180,90,-0.007,49.504,0.7629,TabPFN,4,2021
181-270,88,0.061,61.872,0.9124,TabPFN,4,2021
271-365,91,0.164,19.7,0.9457,TabPFN,4,2021
1-7,1,,,,TabPFN,9,2021
8-30,12,0.007,13.067,0.5216,TabPFN,9,2021
31-90,35,-0.028,9.196,0.3824,TabPFN,9,2021
91-180,85,-0.088,62.632,0.81,TabPFN,9,2021
181-270,47,-0.331,50.727,1.0893,TabPFN,9,2021
271-365,0,,,,TabPFN,9,2021
1-7,0,,,,TabPFN,2,2022
8-30,0,,,,TabPFN,2,2022
31-90,0,,,,TabPFN,2,2022
91-180,0,,,,TabPFN,2,2022
181-270,0,,,,TabPFN,2,2022
271-365,0,,,,TabPFN,2,2022
1-7,0,,,,TabPFN,4,2022
8-30,0,,,,TabPFN,4,2022
31-90,1,,,,TabPFN,4,2022
91-180,75,0.182,20.051,0.9246,TabPFN,4,2022
181-270,74,0.188,29.39,0.826,TabPFN,4,2022
271-365,74,0.144,20.397,0.902,TabPFN,4,2022
1-7,0,,,,TabPFN,9,2022
8-30,0,,,,TabPFN,9,2022
31-90,14,0.023,11.837,0.9247,TabPFN,9,2022
91-180,84,0.037,13.332,0.8678,TabPFN,9,2022
181-270,84,-0.044,39.634,1.0494,TabPFN,9,2022
271-365,89,0.142,26.69,0.8818,TabPFN,9,2022
