bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,TabPFN,2018
8-30,7,-0.295,6.004,0.3958,TabPFN,2018
31-90,33,-0.351,11.651,0.7093,TabPFN,2018
91-180,83,-0.226,14.759,0.8098,TabPFN,2018
181-270,72,-0.199,57.593,0.9426,TabPFN,2018
271-365,67,-0.091,27.548,0.9049,TabPFN,2018
1-7,0,,,,TabPFN,2019
8-30,8,-1.538,41.345,1.0812,TabPFN,2019
31-90,32,-0.159,19.148,0.875,TabPFN,2019
91-180,62,-0.296,59.246,0.7792,TabPFN,2019
181-270,61,0.302,20.575,0.7304,TabPFN,2019
271-365,66,-0.051,22.377,0.8462,TabPFN,2019
1-7,4,-0.225,6.304,0.5601,TabPFN,2020
8-30,21,-0.004,8.978,0.7103,TabPFN,2020
31-90,37,-0.076,26.227,0.9926,TabPFN,2020
91-180,42,0.1,14.863,0.8792,TabPFN,2020
181-270,79,0.033,45.003,0.8827,TabPFN,2020
271-365,80,0.073,35.512,0.9056,TabPFN,2020
1-7,3,-0.733,3.027,1.2194,TabPFN,2021
8-30,19,0.105,11.531,0.9073,TabPFN,2021
31-90,50,0.006,12.437,0.9578,TabPFN,2021
91-180,90,-0.007,49.504,0.7629,TabPFN,2021
181-270,88,0.061,61.872,0.9124,TabPFN,2021
271-365,91,0.164,19.7,0.9457,TabPFN,2021
1-7,0,,,,TabPFN,2022
8-30,0,,,,TabPFN,2022
31-90,1,,,,TabPFN,2022
91-180,75,0.182,20.051,0.9246,TabPFN,2022
181-270,74,0.188,29.39,0.826,TabPFN,2022
271-365,74,0.144,20.397,0.902,TabPFN,2022
