model,max_features,min_samples_leaf,val_r2,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
RF,0.3,5.0,0.5133822353787089,,,,,
RF,0.3,10.0,0.5113140106838316,,,,,
RF,0.3,20.0,0.5137867140667522,,,,,
RF,0.3,50.0,0.5058777129112599,,,,,
RF,0.5,5.0,0.5121428504576933,,,,,
RF,0.5,10.0,0.5165053339658605,,,,,
RF,0.5,20.0,0.5208736292231206,,,,,
RF,0.5,50.0,0.5173342889947752,,,,,
RF,0.7,5.0,0.5117541934078298,,,,,
RF,0.7,10.0,0.5130708947470013,,,,,
RF,0.7,20.0,0.5197731796790399,,,,,
RF,0.7,50.0,0.5180301903495579,,,,,
RF,1.0,5.0,0.49363078015042305,,,,,
RF,1.0,10.0,0.49664177874577453,,,,,
RF,1.0,20.0,0.5081565751050638,,,,,
RF,1.0,50.0,0.5042715057911495,,,,,
XGB,,,0.5076603451740851,2.0,0.01,1.0,,
XGB,,,0.5073149022646923,2.0,0.01,5.0,,
XGB,,,0.5070671131573894,2.0,0.01,10.0,,
XGB,,,0.5278636214651431,2.0,0.02,1.0,,
XGB,,,0.5281699668424513,2.0,0.02,5.0,,
XGB,,,0.5259824580361971,2.0,0.02,10.0,,
XGB,,,0.5185558980142884,2.0,0.05,1.0,,
XGB,,,0.5201232951155033,2.0,0.05,5.0,,
XGB,,,0.5226851099516874,2.0,0.05,10.0,,
XGB,,,0.503499225863764,3.0,0.01,1.0,,
XGB,,,0.5037905057057652,3.0,0.01,5.0,,
XGB,,,0.5023504323536684,3.0,0.01,10.0,,
XGB,,,0.5147440270817984,3.0,0.02,1.0,,
XGB,,,0.5143570751216351,3.0,0.02,5.0,,
XGB,,,0.5119353020338426,3.0,0.02,10.0,,
XGB,,,0.5144456930853211,3.0,0.05,1.0,,
XGB,,,0.514430863016688,3.0,0.05,5.0,,
XGB,,,0.5142344860935018,3.0,0.05,10.0,,
XGB,,,0.5042138076769849,4.0,0.01,1.0,,
XGB,,,0.5067056481675025,4.0,0.01,5.0,,
XGB,,,0.5030747969730591,4.0,0.01,10.0,,
XGB,,,0.5108297518742738,4.0,0.02,1.0,,
XGB,,,0.5125144210916917,4.0,0.02,5.0,,
XGB,,,0.5054608973772448,4.0,0.02,10.0,,
XGB,,,0.4939008093975845,4.0,0.05,1.0,,
XGB,,,0.5084237739037383,4.0,0.05,5.0,,
XGB,,,0.4962733828738908,4.0,0.05,10.0,,
XGB,,,0.4995304378782731,6.0,0.01,1.0,,
XGB,,,0.5004343314714018,6.0,0.01,5.0,,
XGB,,,0.49560790954994915,6.0,0.01,10.0,,
XGB,,,0.5040423410910833,6.0,0.02,1.0,,
XGB,,,0.5083730934057,6.0,0.02,5.0,,
XGB,,,0.49536962676961227,6.0,0.02,10.0,,
XGB,,,0.49475167881868387,6.0,0.05,1.0,,
XGB,,,0.49926547942398714,6.0,0.05,5.0,,
XGB,,,0.49655576886955133,6.0,0.05,10.0,,
LGB,,,0.49400548580744874,,0.01,,7.0,10.0
LGB,,,0.5044824777340328,,0.02,,7.0,10.0
LGB,,,0.4992178082745373,,0.05,,7.0,10.0
LGB,,,0.49450905465055184,,0.01,,7.0,20.0
LGB,,,0.5075934433184566,,0.02,,7.0,20.0
LGB,,,0.4923264092659493,,0.05,,7.0,20.0
LGB,,,0.5052826357277693,,0.01,,7.0,50.0
LGB,,,0.5143327729350121,,0.02,,7.0,50.0
LGB,,,0.5020406836695114,,0.05,,7.0,50.0
LGB,,,0.4886211192965184,,0.01,,15.0,10.0
LGB,,,0.49689180620675055,,0.02,,15.0,10.0
LGB,,,0.4821270259831154,,0.05,,15.0,10.0
LGB,,,0.49399473840678265,,0.01,,15.0,20.0
LGB,,,0.5012608968784944,,0.02,,15.0,20.0
LGB,,,0.4867636830161558,,0.05,,15.0,20.0
LGB,,,0.502315841013848,,0.01,,15.0,50.0
LGB,,,0.5096189474687938,,0.02,,15.0,50.0
LGB,,,0.49724119011550905,,0.05,,15.0,50.0
LGB,,,0.48425569881042063,,0.01,,31.0,10.0
LGB,,,0.48868366045373135,,0.02,,31.0,10.0
LGB,,,0.4706179415682171,,0.05,,31.0,10.0
LGB,,,0.4839479715656049,,0.01,,31.0,20.0
LGB,,,0.4827797217233708,,0.02,,31.0,20.0
LGB,,,0.48103345894077154,,0.05,,31.0,20.0
LGB,,,0.49808443043969486,,0.01,,31.0,50.0
LGB,,,0.49578732864446695,,0.02,,31.0,50.0
LGB,,,0.4831319525638109,,0.05,,31.0,50.0
LGB,,,0.47888099607232704,,0.01,,63.0,10.0
LGB,,,0.47452798977058763,,0.02,,63.0,10.0
LGB,,,0.468235035149124,,0.05,,63.0,10.0
LGB,,,0.48191745070573555,,0.01,,63.0,20.0
LGB,,,0.471929552406926,,0.02,,63.0,20.0
LGB,,,0.46789242600221814,,0.05,,63.0,20.0
LGB,,,0.49267514336752805,,0.01,,63.0,50.0
LGB,,,0.48651023263030835,,0.02,,63.0,50.0
LGB,,,0.472721225299642,,0.05,,63.0,50.0
