bin,n,R2,MAE,MASE,model,anchor_year,eval_tower
1-7,6,-2.166,17.183,0.4676,RF_tuned,2018,2
8-30,21,-0.359,11.604,0.2491,RF_tuned,2018,2
31-90,32,-1.166,16.406,0.3607,RF_tuned,2018,2
91-180,43,-0.801,23.668,0.385,RF_tuned,2018,2
181-270,0,,,,RF_tuned,2018,2
271-365,0,,,,RF_tuned,2018,2
1-7,6,-2.747,18.665,0.508,XGB_tuned,2018,2
8-30,21,-0.121,10.372,0.2227,XGB_tuned,2018,2
31-90,32,-0.727,13.5,0.2968,XGB_tuned,2018,2
91-180,43,-0.686,22.66,0.3686,XGB_tuned,2018,2
181-270,0,,,,XGB_tuned,2018,2
271-365,0,,,,XGB_tuned,2018,2
1-7,6,-1.017,12.993,0.3536,LightGBM_tuned,2018,2
8-30,21,-0.137,10.309,0.2213,LightGBM_tuned,2018,2
31-90,32,-0.628,12.58,0.2766,LightGBM_tuned,2018,2
91-180,43,-0.453,20.355,0.3311,LightGBM_tuned,2018,2
181-270,0,,,,LightGBM_tuned,2018,2
271-365,0,,,,LightGBM_tuned,2018,2
1-7,6,-1.329,13.799,0.3755,SARIMAX,2018,2
8-30,21,-3.173,18.998,0.4079,SARIMAX,2018,2
31-90,32,-3.702,26.018,0.572,SARIMAX,2018,2
91-180,43,-3.565,43.68,0.7105,SARIMAX,2018,2
181-270,0,,,,SARIMAX,2018,2
271-365,0,,,,SARIMAX,2018,2
1-7,6,-1.631,15.66,0.4262,Ensemble_4model_tuned,2018,2
8-30,21,-0.639,12.288,0.2638,Ensemble_4model_tuned,2018,2
31-90,32,-1.132,16.311,0.3586,Ensemble_4model_tuned,2018,2
91-180,43,-1.163,26.983,0.4389,Ensemble_4model_tuned,2018,2
181-270,0,,,,Ensemble_4model_tuned,2018,2
271-365,0,,,,Ensemble_4model_tuned,2018,2
1-7,1,,,,RF_tuned,2018,4
8-30,7,-0.945,11.348,0.7481,RF_tuned,2018,4
31-90,33,0.01,14.074,0.8569,RF_tuned,2018,4
91-180,83,-0.839,20.925,1.1482,RF_tuned,2018,4
181-270,72,0.122,56.544,0.9255,RF_tuned,2018,4
271-365,67,-0.061,37.742,1.2398,RF_tuned,2018,4
1-7,1,,,,XGB_tuned,2018,4
8-30,7,-0.858,10.975,0.7235,XGB_tuned,2018,4
31-90,33,0.036,13.087,0.7968,XGB_tuned,2018,4
91-180,83,-0.43,16.671,0.9148,XGB_tuned,2018,4
181-270,72,0.117,57.202,0.9362,XGB_tuned,2018,4
271-365,67,0.018,34.195,1.1233,XGB_tuned,2018,4
1-7,1,,,,LightGBM_tuned,2018,4
8-30,7,-1.098,11.498,0.7579,LightGBM_tuned,2018,4
31-90,33,-0.118,11.863,0.7223,LightGBM_tuned,2018,4
91-180,83,-0.355,15.431,0.8468,LightGBM_tuned,2018,4
181-270,72,0.113,54.919,0.8989,LightGBM_tuned,2018,4
271-365,67,0.041,30.372,0.9977,LightGBM_tuned,2018,4
1-7,1,,,,SARIMAX,2018,4
8-30,7,-2.002,13.715,0.9041,SARIMAX,2018,4
