bin,n,R2,MAE,MASE,model,max_features,min_samples_leaf,anchor_year,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
1-7,3,-3.179,3.994,1.6089,RF,0.3,10.0,2021,,,,,
8-30,19,-0.624,17.392,1.3684,RF,0.3,10.0,2021,,,,,
31-90,50,-0.14,17.292,1.3316,RF,0.3,10.0,2021,,,,,
91-180,90,0.202,53.2,0.8198,RF,0.3,10.0,2021,,,,,
181-270,88,0.248,67.29,0.9923,RF,0.3,10.0,2021,,,,,
271-365,91,-0.6,33.049,1.5865,RF,0.3,10.0,2021,,,,,
1-7,3,-3.367,4.025,1.6215,RF,0.3,20.0,2021,,,,,
8-30,19,-0.554,16.868,1.3272,RF,0.3,20.0,2021,,,,,
31-90,50,-0.179,17.76,1.3677,RF,0.3,20.0,2021,,,,,
91-180,90,0.189,53.296,0.8213,RF,0.3,20.0,2021,,,,,
181-270,88,0.254,66.912,0.9867,RF,0.3,20.0,2021,,,,,
271-365,91,-0.532,32.514,1.5608,RF,0.3,20.0,2021,,,,,
1-7,3,-4.261,4.607,1.8561,RF,0.3,50.0,2021,,,,,
8-30,19,-0.57,17.233,1.356,RF,0.3,50.0,2021,,,,,
31-90,50,-0.16,17.368,1.3375,RF,0.3,50.0,2021,,,,,
91-180,90,0.144,54.382,0.838,RF,0.3,50.0,2021,,,,,
181-270,88,0.27,65.911,0.972,RF,0.3,50.0,2021,,,,,
271-365,91,-0.575,32.93,1.5808,RF,0.3,50.0,2021,,,,,
1-7,3,-3.127,3.965,1.5974,RF,0.5,10.0,2021,,,,,
8-30,19,-0.732,18.178,1.4303,RF,0.5,10.0,2021,,,,,
31-90,50,-0.182,17.646,1.3589,RF,0.5,10.0,2021,,,,,
91-180,90,0.209,52.998,0.8167,RF,0.5,10.0,2021,,,,,
181-270,88,0.222,68.949,1.0168,RF,0.5,10.0,2021,,,,,
271-365,91,-0.594,33.074,1.5877,RF,0.5,10.0,2021,,,,,
1-7,3,-3.293,3.978,1.6027,RF,0.5,20.0,2021,,,,,
8-30,19,-0.639,17.393,1.3686,RF,0.5,20.0,2021,,,,,
31-90,50,-0.23,18.081,1.3924,RF,0.5,20.0,2021,,,,,
91-180,90,0.205,52.959,0.8161,RF,0.5,20.0,2021,,,,,
181-270,88,0.252,67.645,0.9975,RF,0.5,20.0,2021,,,,,
271-365,91,-0.579,33.104,1.5891,RF,0.5,20.0,2021,,,,,
1-7,3,-3.815,4.337,1.7472,RF,0.5,50.0,2021,,,,,
8-30,19,-0.598,17.206,1.3538,RF,0.5,50.0,2021,,,,,
31-90,50,-0.24,18.469,1.4223,RF,0.5,50.0,2021,,,,,
91-180,90,0.157,54.324,0.8372,RF,0.5,50.0,2021,,,,,
181-270,88,0.282,66.331,0.9782,RF,0.5,50.0,2021,,,,,
271-365,91,-0.57,33.102,1.589,RF,0.5,50.0,2021,,,,,
1-7,3,-2.658,3.813,1.536,RF,0.7,10.0,2021,,,,,
8-30,19,-0.712,18.124,1.426,RF,0.7,10.0,2021,,,,,
31-90,50,-0.233,18.092,1.3933,RF,0.7,10.0,2021,,,,,
91-180,90,0.206,53.074,0.8179,RF,0.7,10.0,2021,,,,,
181-270,88,0.215,69.411,1.0236,RF,0.7,10.0,2021,,,,,
271-365,91,-0.449,31.437,1.5091,RF,0.7,10.0,2021,,,,,
1-7,3,-2.983,4.038,1.6269,RF,0.7,20.0,2021,,,,,
8-30,19,-0.65,17.366,1.3664,RF,0.7,20.0,2021,,,,,
31-90,50,-0.245,18.087,1.3929,RF,0.7,20.0,2021,,,,,
91-180,90,0.2,53.01,0.8169,RF,0.7,20.0,2021,,,,,
181-270,88,0.257,67.536,0.9959,RF,0.7,20.0,2021,,,,,
271-365,91,-0.575,33.358,1.6013,RF,0.7,20.0,2021,,,,,
1-7,3,-3.599,4.129,1.6633,RF,0.7,50.0,2021,,,,,
8-30,19,-0.597,16.935,1.3325,RF,0.7,50.0,2021,,,,,
31-90,50,-0.233,18.214,1.4026,RF,0.7,50.0,2021,,,,,
91-180,90,0.181,53.799,0.829,RF,0.7,50.0,2021,,,,,
181-270,88,0.303,64.704,0.9542,RF,0.7,50.0,2021,,,,,
271-365,91,-0.505,32.867,1.5777,RF,0.7,50.0,2021,,,,,
1-7,3,-2.236,3.563,1.4354,XGB,,,2021,2.0,0.01,5.0,,
8-30,19,-0.243,15.48,1.218,XGB,,,2021,2.0,0.01,5.0,,
31-90,50,-0.127,16.72,1.2876,XGB,,,2021,2.0,0.01,5.0,,
91-180,90,0.093,54.753,0.8438,XGB,,,2021,2.0,0.01,5.0,,
181-270,88,0.266,65.112,0.9602,XGB,,,2021,2.0,0.01,5.0,,
271-365,91,-0.395,29.637,1.4227,XGB,,,2021,2.0,0.01,5.0,,
1-7,3,-2.251,3.57,1.4384,XGB,,,2021,2.0,0.01,10.0,,
8-30,19,-0.223,15.286,1.2028,XGB,,,2021,2.0,0.01,10.0,,
31-90,50,-0.124,16.674,1.284,XGB,,,2021,2.0,0.01,10.0,,
91-180,90,0.093,54.753,0.8438,XGB,,,2021,2.0,0.01,10.0,,
181-270,88,0.286,65.116,0.9602,XGB,,,2021,2.0,0.01,10.0,,
271-365,91,-0.395,29.624,1.422,XGB,,,2021,2.0,0.01,10.0,,
1-7,3,-2.326,3.636,1.465,XGB,,,2021,2.0,0.01,20.0,,
8-30,19,-0.216,15.261,1.2007,XGB,,,2021,2.0,0.01,20.0,,
31-90,50,-0.108,16.461,1.2677,XGB,,,2021,2.0,0.01,20.0,,
91-180,90,0.09,54.849,0.8452,XGB,,,2021,2.0,0.01,20.0,,
181-270,88,0.269,65.054,0.9593,XGB,,,2021,2.0,0.01,20.0,,
271-365,91,-0.397,29.655,1.4235,XGB,,,2021,2.0,0.01,20.0,,
1-7,3,-1.933,3.707,1.4935,XGB,,,2021,2.0,0.02,5.0,,
8-30,19,-0.147,14.837,1.1674,XGB,,,2021,2.0,0.02,5.0,,
31-90,50,-0.108,15.816,1.218,XGB,,,2021,2.0,0.02,5.0,,
91-180,90,0.125,57.887,0.8921,XGB,,,2021,2.0,0.02,5.0,,
181-270,88,0.341,63.298,0.9334,XGB,,,2021,2.0,0.02,5.0,,
271-365,91,-0.523,31.609,1.5173,XGB,,,2021,2.0,0.02,5.0,,
1-7,3,-1.803,3.57,1.4383,XGB,,,2021,2.0,0.02,10.0,,
8-30,19,-0.17,15.013,1.1813,XGB,,,2021,2.0,0.02,10.0,,
31-90,50,-0.098,15.677,1.2073,XGB,,,2021,2.0,0.02,10.0,,
