bin,n,R2,MAE,MASE,model,max_features,min_samples_leaf,anchor_year,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
1-7,0,,,,RF,0.7,10.0,2019,,,,,
8-30,8,-4.077,63.709,1.666,RF,0.7,10.0,2019,,,,,
31-90,32,-0.751,23.854,1.0901,RF,0.7,10.0,2019,,,,,
91-180,62,0.176,50.278,0.6612,RF,0.7,10.0,2019,,,,,
181-270,61,0.518,18.976,0.6737,RF,0.7,10.0,2019,,,,,
271-365,66,0.177,20.521,0.776,RF,0.7,10.0,2019,,,,,
1-7,0,,,,RF,0.7,50.0,2019,,,,,
8-30,8,-3.766,62.561,1.636,RF,0.7,50.0,2019,,,,,
31-90,32,-0.451,20.819,0.9514,RF,0.7,50.0,2019,,,,,
91-180,62,0.171,48.973,0.6441,RF,0.7,50.0,2019,,,,,
181-270,61,0.464,20.853,0.7403,RF,0.7,50.0,2019,,,,,
271-365,66,0.161,23.079,0.8727,RF,0.7,50.0,2019,,,,,
1-7,0,,,,RF,0.3,20.0,2019,,,,,
8-30,8,-3.715,61.289,1.6027,RF,0.3,20.0,2019,,,,,
31-90,32,-0.475,21.381,0.977,RF,0.3,20.0,2019,,,,,
91-180,62,0.175,49.359,0.6491,RF,0.3,20.0,2019,,,,,
181-270,61,0.521,18.902,0.671,RF,0.3,20.0,2019,,,,,
271-365,66,0.151,21.162,0.8002,RF,0.3,20.0,2019,,,,,
1-7,0,,,,XGB,,,2019,3.0,0.01,20.0,,
8-30,8,-3.319,57.59,1.506,XGB,,,2019,3.0,0.01,20.0,,
31-90,32,-0.343,19.719,0.9011,XGB,,,2019,3.0,0.01,20.0,,
91-180,62,0.21,49.481,0.6507,XGB,,,2019,3.0,0.01,20.0,,
181-270,61,0.491,19.13,0.6791,XGB,,,2019,3.0,0.01,20.0,,
271-365,66,0.124,20.793,0.7863,XGB,,,2019,3.0,0.01,20.0,,
1-7,0,,,,XGB,,,2019,3.0,0.01,5.0,,
8-30,8,-3.497,58.73,1.5358,XGB,,,2019,3.0,0.01,5.0,,
31-90,32,-0.362,19.875,0.9083,XGB,,,2019,3.0,0.01,5.0,,
91-180,62,0.175,48.866,0.6426,XGB,,,2019,3.0,0.01,5.0,,
181-270,61,0.523,18.741,0.6653,XGB,,,2019,3.0,0.01,5.0,,
271-365,66,0.107,21.618,0.8175,XGB,,,2019,3.0,0.01,5.0,,
1-7,0,,,,XGB,,,2019,3.0,0.01,10.0,,
8-30,8,-3.442,58.333,1.5254,XGB,,,2019,3.0,0.01,10.0,,
31-90,32,-0.339,19.473,0.8899,XGB,,,2019,3.0,0.01,10.0,,
91-180,62,0.176,49.003,0.6444,XGB,,,2019,3.0,0.01,10.0,,
181-270,61,0.514,18.847,0.6691,XGB,,,2019,3.0,0.01,10.0,,
271-365,66,0.121,21.192,0.8014,XGB,,,2019,3.0,0.01,10.0,,
1-7,0,,,,LGB,,,2019,,0.02,,7.0,10.0
8-30,8,-2.896,54.476,1.4245,LGB,,,2019,,0.02,,7.0,10.0
31-90,32,-0.251,18.159,0.8298,LGB,,,2019,,0.02,,7.0,10.0
91-180,62,0.184,47.721,0.6276,LGB,,,2019,,0.02,,7.0,10.0
181-270,61,0.57,16.798,0.5963,LGB,,,2019,,0.02,,7.0,10.0
271-365,66,0.12,20.234,0.7651,LGB,,,2019,,0.02,,7.0,10.0
1-7,0,,,,LGB,,,2019,,0.02,,7.0,20.0
8-30,8,-2.876,52.753,1.3795,LGB,,,2019,,0.02,,7.0,20.0
31-90,32,-0.219,18.103,0.8272,LGB,,,2019,,0.02,,7.0,20.0
91-180,62,0.2,50.714,0.667,LGB,,,2019,,0.02,,7.0,20.0
181-270,61,0.569,17.155,0.609,LGB,,,2019,,0.02,,7.0,20.0
271-365,66,0.124,20.538,0.7767,LGB,,,2019,,0.02,,7.0,20.0
1-7,0,,,,LGB,,,2019,,0.05,,7.0,20.0
8-30,8,-2.126,46.698,1.2211,LGB,,,2019,,0.05,,7.0,20.0
31-90,32,-0.106,16.913,0.7729,LGB,,,2019,,0.05,,7.0,20.0
91-180,62,0.177,50.721,0.667,LGB,,,2019,,0.05,,7.0,20.0
181-270,61,0.592,16.413,0.5827,LGB,,,2019,,0.05,,7.0,20.0
271-365,66,0.193,20.315,0.7682,LGB,,,2019,,0.05,,7.0,20.0
