bin,n,R2,MAE,MASE,model,max_features,min_samples_leaf,anchor_year,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
1-7,1,,,,RF,0.3,10.0,2021,,,,,
8-30,12,-0.406,18.342,0.7322,RF,0.3,10.0,2021,,,,,
31-90,35,-0.416,15.642,0.6504,RF,0.3,10.0,2021,,,,,
91-180,85,0.216,52.796,0.6828,RF,0.3,10.0,2021,,,,,
181-270,47,0.081,44.51,0.9558,RF,0.3,10.0,2021,,,,,
271-365,0,,,,RF,0.3,10.0,2021,,,,,
1-7,1,,,,RF,0.3,20.0,2021,,,,,
8-30,12,-0.401,18.349,0.7324,RF,0.3,20.0,2021,,,,,
31-90,35,-0.55,16.52,0.6869,RF,0.3,20.0,2021,,,,,
91-180,85,0.213,53.14,0.6872,RF,0.3,20.0,2021,,,,,
181-270,47,0.078,44.688,0.9596,RF,0.3,20.0,2021,,,,,
271-365,0,,,,RF,0.3,20.0,2021,,,,,
1-7,1,,,,RF,0.3,50.0,2021,,,,,
8-30,12,-0.382,18.547,0.7403,RF,0.3,50.0,2021,,,,,
31-90,35,-0.575,16.776,0.6975,RF,0.3,50.0,2021,,,,,
91-180,85,0.164,55.554,0.7185,RF,0.3,50.0,2021,,,,,
181-270,47,0.057,45.875,0.9851,RF,0.3,50.0,2021,,,,,
271-365,0,,,,RF,0.3,50.0,2021,,,,,
1-7,1,,,,RF,0.5,10.0,2021,,,,,
8-30,12,-0.312,17.672,0.7054,RF,0.5,10.0,2021,,,,,
31-90,35,-0.415,15.653,0.6508,RF,0.5,10.0,2021,,,,,
91-180,85,0.208,52.531,0.6794,RF,0.5,10.0,2021,,,,,
181-270,47,0.043,45.398,0.9748,RF,0.5,10.0,2021,,,,,
271-365,0,,,,RF,0.5,10.0,2021,,,,,
1-7,1,,,,RF,0.5,20.0,2021,,,,,
8-30,12,-0.43,18.562,0.741,RF,0.5,20.0,2021,,,,,
31-90,35,-0.457,15.849,0.659,RF,0.5,20.0,2021,,,,,
91-180,85,0.194,53.567,0.6928,RF,0.5,20.0,2021,,,,,
181-270,47,0.059,44.969,0.9656,RF,0.5,20.0,2021,,,,,
271-365,0,,,,RF,0.5,20.0,2021,,,,,
1-7,1,,,,RF,0.5,50.0,2021,,,,,
8-30,12,-0.399,18.765,0.749,RF,0.5,50.0,2021,,,,,
31-90,35,-0.711,17.752,0.7381,RF,0.5,50.0,2021,,,,,
91-180,85,0.183,55.139,0.7131,RF,0.5,50.0,2021,,,,,
181-270,47,0.05,45.033,0.967,RF,0.5,50.0,2021,,,,,
271-365,0,,,,RF,0.5,50.0,2021,,,,,
1-7,1,,,,RF,0.7,10.0,2021,,,,,
8-30,12,-0.45,18.787,0.7499,RF,0.7,10.0,2021,,,,,
31-90,35,-0.546,16.495,0.6859,RF,0.7,10.0,2021,,,,,
91-180,85,0.206,53.023,0.6857,RF,0.7,10.0,2021,,,,,
181-270,47,0.043,45.425,0.9754,RF,0.7,10.0,2021,,,,,
271-365,0,,,,RF,0.7,10.0,2021,,,,,
1-7,1,,,,RF,0.7,20.0,2021,,,,,
8-30,12,-0.446,18.979,0.7576,RF,0.7,20.0,2021,,,,,
31-90,35,-0.59,16.927,0.7038,RF,0.7,20.0,2021,,,,,
91-180,85,0.206,52.513,0.6791,RF,0.7,20.0,2021,,,,,
181-270,47,0.097,44.173,0.9485,RF,0.7,20.0,2021,,,,,
271-365,0,,,,RF,0.7,20.0,2021,,,,,
1-7,1,,,,RF,0.7,50.0,2021,,,,,
8-30,12,-0.391,18.605,0.7427,RF,0.7,50.0,2021,,,,,
31-90,35,-0.659,17.438,0.7251,RF,0.7,50.0,2021,,,,,
91-180,85,0.195,54.913,0.7102,RF,0.7,50.0,2021,,,,,
181-270,47,0.062,45.12,0.9689,RF,0.7,50.0,2021,,,,,
271-365,0,,,,RF,0.7,50.0,2021,,,,,
1-7,1,,,,XGB,,,2021,2.0,0.01,5.0,,
8-30,12,-0.279,17.03,0.6798,XGB,,,2021,2.0,0.01,5.0,,
31-90,35,-0.409,15.748,0.6548,XGB,,,2021,2.0,0.01,5.0,,
91-180,85,0.124,56.223,0.7271,XGB,,,2021,2.0,0.01,5.0,,
181-270,47,-0.103,46.434,0.9971,XGB,,,2021,2.0,0.01,5.0,,
271-365,0,,,,XGB,,,2021,2.0,0.01,5.0,,
1-7,1,,,,XGB,,,2021,2.0,0.01,10.0,,
8-30,12,-0.277,17.004,0.6788,XGB,,,2021,2.0,0.01,10.0,,
31-90,35,-0.396,15.652,0.6508,XGB,,,2021,2.0,0.01,10.0,,
91-180,85,0.128,56.011,0.7244,XGB,,,2021,2.0,0.01,10.0,,
181-270,47,-0.102,46.449,0.9974,XGB,,,2021,2.0,0.01,10.0,,
271-365,0,,,,XGB,,,2021,2.0,0.01,10.0,,
1-7,1,,,,XGB,,,2021,2.0,0.01,20.0,,
8-30,12,-0.27,16.977,0.6777,XGB,,,2021,2.0,0.01,20.0,,
31-90,35,-0.401,15.702,0.6529,XGB,,,2021,2.0,0.01,20.0,,
91-180,85,0.128,56.133,0.7259,XGB,,,2021,2.0,0.01,20.0,,
181-270,47,-0.098,46.354,0.9954,XGB,,,2021,2.0,0.01,20.0,,
271-365,0,,,,XGB,,,2021,2.0,0.01,20.0,,
1-7,1,,,,XGB,,,2021,2.0,0.02,5.0,,
8-30,12,-0.047,14.314,0.5714,XGB,,,2021,2.0,0.02,5.0,,
31-90,35,-0.169,13.301,0.553,XGB,,,2021,2.0,0.02,5.0,,
91-180,85,0.241,53.813,0.6959,XGB,,,2021,2.0,0.02,5.0,,
181-270,47,-0.127,47.216,1.0139,XGB,,,2021,2.0,0.02,5.0,,
271-365,0,,,,XGB,,,2021,2.0,0.02,5.0,,
1-7,1,,,,XGB,,,2021,2.0,0.02,10.0,,
8-30,12,-0.045,14.267,0.5695,XGB,,,2021,2.0,0.02,10.0,,
31-90,35,-0.17,13.311,0.5535,XGB,,,2021,2.0,0.02,10.0,,
91-180,85,0.241,53.762,0.6953,XGB,,,2021,2.0,0.02,10.0,,
181-270,47,-0.133,47.41,1.018,XGB,,,2021,2.0,0.02,10.0,,
271-365,0,,,,XGB,,,2021,2.0,0.02,10.0,,
1-7,1,,,,XGB,,,2021,2.0,0.02,20.0,,
8-30,12,-0.051,14.095,0.5626,XGB,,,2021,2.0,0.02,20.0,,
31-90,35,-0.173,13.353,0.5552,XGB,,,2021,2.0,0.02,20.0,,
91-180,85,0.213,54.877,0.7097,XGB,,,2021,2.0,0.02,20.0,,
181-270,47,-0.123,47.341,1.0166,XGB,,,2021,2.0,0.02,20.0,,
271-365,0,,,,XGB,,,2021,2.0,0.02,20.0,,
1-7,1,,,,XGB,,,2021,3.0,0.01,5.0,,
8-30,12,-0.369,17.881,0.7137,XGB,,,2021,3.0,0.01,5.0,,
31-90,35,-0.469,16.0,0.6653,XGB,,,2021,3.0,0.01,5.0,,
91-180,85,0.238,54.594,0.706,XGB,,,2021,3.0,0.01,5.0,,
181-270,47,-0.094,46.71,1.003,XGB,,,2021,3.0,0.01,5.0,,
271-365,0,,,,XGB,,,2021,3.0,0.01,5.0,,
1-7,1,,,,XGB,,,2021,3.0,0.01,10.0,,
8-30,12,-0.395,18.174,0.7255,XGB,,,2021,3.0,0.01,10.0,,
31-90,35,-0.554,16.653,0.6924,XGB,,,2021,3.0,0.01,10.0,,
91-180,85,0.231,54.71,0.7075,XGB,,,2021,3.0,0.01,10.0,,
181-270,47,-0.09,46.583,1.0003,XGB,,,2021,3.0,0.01,10.0,,
271-365,0,,,,XGB,,,2021,3.0,0.01,10.0,,
1-7,1,,,,XGB,,,2021,3.0,0.01,20.0,,
8-30,12,-0.388,18.062,0.721,XGB,,,2021,3.0,0.01,20.0,,
31-90,35,-0.493,16.283,0.6771,XGB,,,2021,3.0,0.01,20.0,,
91-180,85,0.232,53.629,0.6936,XGB,,,2021,3.0,0.01,20.0,,
181-270,47,-0.082,46.333,0.9949,XGB,,,2021,3.0,0.01,20.0,,
271-365,0,,,,XGB,,,2021,3.0,0.01,20.0,,
1-7,1,,,,XGB,,,2021,3.0,0.02,5.0,,
8-30,12,-0.577,19.526,0.7794,XGB,,,2021,3.0,0.02,5.0,,
31-90,35,-0.68,17.228,0.7163,XGB,,,2021,3.0,0.02,5.0,,
91-180,85,0.212,53.008,0.6855,XGB,,,2021,3.0,0.02,5.0,,
181-270,47,-0.131,46.754,1.0039,XGB,,,2021,3.0,0.02,5.0,,
271-365,0,,,,XGB,,,2021,3.0,0.02,5.0,,
1-7,1,,,,XGB,,,2021,3.0,0.02,10.0,,
8-30,12,-0.494,19.017,0.7591,XGB,,,2021,3.0,0.02,10.0,,
31-90,35,-0.624,16.964,0.7054,XGB,,,2021,3.0,0.02,10.0,,
91-180,85,0.237,52.665,0.6811,XGB,,,2021,3.0,0.02,10.0,,
181-270,47,-0.095,46.485,0.9982,XGB,,,2021,3.0,0.02,10.0,,
271-365,0,,,,XGB,,,2021,3.0,0.02,10.0,,
1-7,1,,,,XGB,,,2021,3.0,0.02,20.0,,
8-30,12,-0.419,18.342,0.7322,XGB,,,2021,3.0,0.02,20.0,,
31-90,35,-0.474,15.958,0.6635,XGB,,,2021,3.0,0.02,20.0,,
91-180,85,0.263,52.533,0.6794,XGB,,,2021,3.0,0.02,20.0,,
181-270,47,-0.056,45.927,0.9862,XGB,,,2021,3.0,0.02,20.0,,
271-365,0,,,,XGB,,,2021,3.0,0.02,20.0,,
1-7,1,,,,LGB,,,2021,,0.02,,7.0,10.0
8-30,12,0.053,12.972,0.5178,LGB,,,2021,,0.02,,7.0,10.0
31-90,35,-0.318,14.126,0.5874,LGB,,,2021,,0.02,,7.0,10.0
91-180,85,0.267,52.862,0.6836,LGB,,,2021,,0.02,,7.0,10.0
181-270,47,0.021,44.688,0.9596,LGB,,,2021,,0.02,,7.0,10.0
271-365,0,,,,LGB,,,2021,,0.02,,7.0,10.0
1-7,1,,,,LGB,,,2021,,0.05,,7.0,10.0
8-30,12,-0.567,20.032,0.7996,LGB,,,2021,,0.05,,7.0,10.0
31-90,35,-0.744,17.265,0.7179,LGB,,,2021,,0.05,,7.0,10.0
91-180,85,0.215,53.408,0.6907,LGB,,,2021,,0.05,,7.0,10.0
181-270,47,-0.022,44.159,0.9482,LGB,,,2021,,0.05,,7.0,10.0
271-365,0,,,,LGB,,,2021,,0.05,,7.0,10.0
1-7,1,,,,LGB,,,2021,,0.02,,7.0,20.0
8-30,12,0.071,12.948,0.5169,LGB,,,2021,,0.02,,7.0,20.0
31-90,35,-0.156,12.573,0.5228,LGB,,,2021,,0.02,,7.0,20.0
91-180,85,0.259,52.874,0.6838,LGB,,,2021,,0.02,,7.0,20.0
181-270,47,0.028,44.979,0.9658,LGB,,,2021,,0.02,,7.0,20.0
271-365,0,,,,LGB,,,2021,,0.02,,7.0,20.0
1-7,1,,,,LGB,,,2021,,0.05,,7.0,20.0
8-30,12,-0.177,16.291,0.6503,LGB,,,2021,,0.05,,7.0,20.0
31-90,35,-0.601,17.003,0.707,LGB,,,2021,,0.05,,7.0,20.0
91-180,85,0.143,55.153,0.7133,LGB,,,2021,,0.05,,7.0,20.0
181-270,47,0.056,43.879,0.9422,LGB,,,2021,,0.05,,7.0,20.0
271-365,0,,,,LGB,,,2021,,0.05,,7.0,20.0
1-7,1,,,,LGB,,,2021,,0.02,,7.0,50.0
8-30,12,-0.533,18.904,0.7546,LGB,,,2021,,0.02,,7.0,50.0
31-90,35,-0.316,14.203,0.5906,LGB,,,2021,,0.02,,7.0,50.0
91-180,85,0.167,55.142,0.7131,LGB,,,2021,,0.02,,7.0,50.0
181-270,47,0.036,43.953,0.9438,LGB,,,2021,,0.02,,7.0,50.0
271-365,0,,,,LGB,,,2021,,0.02,,7.0,50.0
1-7,1,,,,LGB,,,2021,,0.05,,7.0,50.0
8-30,12,-1.222,23.871,0.9529,LGB,,,2021,,0.05,,7.0,50.0
31-90,35,-1.273,21.216,0.8822,LGB,,,2021,,0.05,,7.0,50.0
91-180,85,0.127,55.481,0.7175,LGB,,,2021,,0.05,,7.0,50.0
181-270,47,0.009,44.718,0.9602,LGB,,,2021,,0.05,,7.0,50.0
271-365,0,,,,LGB,,,2021,,0.05,,7.0,50.0
1-7,1,,,,LGB,,,2021,,0.02,,15.0,10.0
8-30,12,-0.009,14.038,0.5604,LGB,,,2021,,0.02,,15.0,10.0
31-90,35,-0.452,15.631,0.65,LGB,,,2021,,0.02,,15.0,10.0
91-180,85,0.214,56.788,0.7344,LGB,,,2021,,0.02,,15.0,10.0
181-270,47,0.065,44.166,0.9484,LGB,,,2021,,0.02,,15.0,10.0
271-365,0,,,,LGB,,,2021,,0.02,,15.0,10.0
1-7,1,,,,LGB,,,2021,,0.05,,15.0,10.0
8-30,12,-0.251,16.108,0.643,LGB,,,2021,,0.05,,15.0,10.0
31-90,35,-0.56,16.266,0.6764,LGB,,,2021,,0.05,,15.0,10.0
91-180,85,0.15,58.892,0.7616,LGB,,,2021,,0.05,,15.0,10.0
181-270,47,0.051,44.137,0.9478,LGB,,,2021,,0.05,,15.0,10.0
271-365,0,,,,LGB,,,2021,,0.05,,15.0,10.0
1-7,1,,,,LGB,,,2021,,0.02,,15.0,20.0
8-30,12,-0.348,17.728,0.7076,LGB,,,2021,,0.02,,15.0,20.0
31-90,35,-0.281,14.45,0.6008,LGB,,,2021,,0.02,,15.0,20.0
91-180,85,0.201,53.821,0.696,LGB,,,2021,,0.02,,15.0,20.0
181-270,47,-0.003,44.762,0.9612,LGB,,,2021,,0.02,,15.0,20.0
271-365,0,,,,LGB,,,2021,,0.02,,15.0,20.0
1-7,1,,,,LGB,,,2021,,0.05,,15.0,20.0
8-30,12,-0.285,17.126,0.6836,LGB,,,2021,,0.05,,15.0,20.0
31-90,35,-0.457,15.603,0.6488,LGB,,,2021,,0.05,,15.0,20.0
91-180,85,0.152,53.811,0.6959,LGB,,,2021,,0.05,,15.0,20.0
181-270,47,0.058,43.256,0.9288,LGB,,,2021,,0.05,,15.0,20.0
271-365,0,,,,LGB,,,2021,,0.05,,15.0,20.0
1-7,1,,,,LGB,,,2021,,0.02,,15.0,50.0
8-30,12,-0.475,18.689,0.746,LGB,,,2021,,0.02,,15.0,50.0
31-90,35,-0.447,15.492,0.6442,LGB,,,2021,,0.02,,15.0,50.0
91-180,85,0.136,54.306,0.7023,LGB,,,2021,,0.02,,15.0,50.0
181-270,47,0.067,42.501,0.9126,LGB,,,2021,,0.02,,15.0,50.0
271-365,0,,,,LGB,,,2021,,0.02,,15.0,50.0
1-7,1,,,,LGB,,,2021,,0.05,,15.0,50.0
8-30,12,-0.871,21.488,0.8577,LGB,,,2021,,0.05,,15.0,50.0
31-90,35,-0.591,16.468,0.6847,LGB,,,2021,,0.05,,15.0,50.0
91-180,85,0.117,55.186,0.7137,LGB,,,2021,,0.05,,15.0,50.0
181-270,47,-0.022,46.272,0.9936,LGB,,,2021,,0.05,,15.0,50.0
271-365,0,,,,LGB,,,2021,,0.05,,15.0,50.0
