bin,n,R2,MAE,MASE,model,max_features,min_samples_leaf,anchor_year,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
1-7,0,,,,RF,0.3,10.0,2019,,,,,
8-30,0,,,,RF,0.3,10.0,2019,,,,,
31-90,16,-0.856,22.573,1.3652,RF,0.3,10.0,2019,,,,,
91-180,81,0.279,44.141,0.778,RF,0.3,10.0,2019,,,,,
181-270,49,0.036,43.332,1.1221,RF,0.3,10.0,2019,,,,,
271-365,49,0.085,56.367,0.7954,RF,0.3,10.0,2019,,,,,
1-7,0,,,,RF,0.5,10.0,2019,,,,,
8-30,0,,,,RF,0.5,10.0,2019,,,,,
31-90,16,-0.908,22.691,1.3724,RF,0.5,10.0,2019,,,,,
91-180,81,0.287,44.271,0.7803,RF,0.5,10.0,2019,,,,,
181-270,49,0.031,42.886,1.1105,RF,0.5,10.0,2019,,,,,
271-365,49,0.101,55.68,0.7858,RF,0.5,10.0,2019,,,,,
1-7,0,,,,RF,0.5,20.0,2019,,,,,
8-30,0,,,,RF,0.5,20.0,2019,,,,,
31-90,16,-0.757,22.055,1.3339,RF,0.5,20.0,2019,,,,,
91-180,81,0.286,43.831,0.7726,RF,0.5,20.0,2019,,,,,
181-270,49,0.028,43.551,1.1278,RF,0.5,20.0,2019,,,,,
271-365,49,0.093,56.704,0.8002,RF,0.5,20.0,2019,,,,,
1-7,0,,,,XGB,,,2019,2.0,0.02,5.0,,
8-30,0,,,,XGB,,,2019,2.0,0.02,5.0,,
31-90,16,-0.913,21.706,1.3128,XGB,,,2019,2.0,0.02,5.0,,
91-180,81,0.296,42.476,0.7487,XGB,,,2019,2.0,0.02,5.0,,
181-270,49,0.002,45.715,1.1838,XGB,,,2019,2.0,0.02,5.0,,
271-365,49,0.156,54.096,0.7634,XGB,,,2019,2.0,0.02,5.0,,
1-7,0,,,,XGB,,,2019,2.0,0.02,10.0,,
8-30,0,,,,XGB,,,2019,2.0,0.02,10.0,,
31-90,16,-0.836,21.111,1.2769,XGB,,,2019,2.0,0.02,10.0,,
91-180,81,0.305,42.313,0.7458,XGB,,,2019,2.0,0.02,10.0,,
181-270,49,0.017,45.156,1.1693,XGB,,,2019,2.0,0.02,10.0,,
271-365,49,0.152,54.091,0.7633,XGB,,,2019,2.0,0.02,10.0,,
1-7,0,,,,XGB,,,2019,2.0,0.02,20.0,,
8-30,0,,,,XGB,,,2019,2.0,0.02,20.0,,
31-90,16,-0.958,21.942,1.3271,XGB,,,2019,2.0,0.02,20.0,,
91-180,81,0.288,42.558,0.7501,XGB,,,2019,2.0,0.02,20.0,,
181-270,49,0.014,45.316,1.1735,XGB,,,2019,2.0,0.02,20.0,,
271-365,49,0.147,54.23,0.7653,XGB,,,2019,2.0,0.02,20.0,,
1-7,0,,,,LGB,,,2019,,0.02,,7.0,20.0
8-30,0,,,,LGB,,,2019,,0.02,,7.0,20.0
31-90,16,-1.581,23.831,1.4413,LGB,,,2019,,0.02,,7.0,20.0
91-180,81,0.231,45.959,0.8101,LGB,,,2019,,0.02,,7.0,20.0
181-270,49,0.098,41.815,1.0828,LGB,,,2019,,0.02,,7.0,20.0
271-365,49,0.094,57.117,0.806,LGB,,,2019,,0.02,,7.0,20.0
1-7,0,,,,LGB,,,2019,,0.02,,7.0,10.0
8-30,0,,,,LGB,,,2019,,0.02,,7.0,10.0
31-90,16,-1.967,25.196,1.5239,LGB,,,2019,,0.02,,7.0,10.0
91-180,81,0.289,42.791,0.7542,LGB,,,2019,,0.02,,7.0,10.0
181-270,49,0.071,43.142,1.1171,LGB,,,2019,,0.02,,7.0,10.0
271-365,49,0.105,56.35,0.7952,LGB,,,2019,,0.02,,7.0,10.0
1-7,0,,,,LGB,,,2019,,0.02,,15.0,10.0
8-30,0,,,,LGB,,,2019,,0.02,,15.0,10.0
31-90,16,-2.34,26.919,1.6281,LGB,,,2019,,0.02,,15.0,10.0
91-180,81,0.214,47.164,0.8313,LGB,,,2019,,0.02,,15.0,10.0
181-270,49,0.081,41.743,1.0809,LGB,,,2019,,0.02,,15.0,10.0
271-365,49,0.08,57.528,0.8118,LGB,,,2019,,0.02,,15.0,10.0
