bin,n,R2,MAE,MASE,model,anchor_year
1-7,0,,,,RF_tuned,2018
8-30,0,,,,RF_tuned,2018
31-90,0,,,,RF_tuned,2018
91-180,0,,,,RF_tuned,2018
181-270,0,,,,RF_tuned,2018
271-365,0,,,,RF_tuned,2018
1-7,0,,,,XGB_tuned,2018
8-30,0,,,,XGB_tuned,2018
31-90,0,,,,XGB_tuned,2018
91-180,0,,,,XGB_tuned,2018
181-270,0,,,,XGB_tuned,2018
271-365,0,,,,XGB_tuned,2018
1-7,0,,,,LightGBM_tuned,2018
8-30,0,,,,LightGBM_tuned,2018
31-90,0,,,,LightGBM_tuned,2018
91-180,0,,,,LightGBM_tuned,2018
181-270,0,,,,LightGBM_tuned,2018
271-365,0,,,,LightGBM_tuned,2018
1-7,0,,,,SARIMAX,2018
8-30,0,,,,SARIMAX,2018
31-90,0,,,,SARIMAX,2018
91-180,0,,,,SARIMAX,2018
181-270,0,,,,SARIMAX,2018
271-365,0,,,,SARIMAX,2018
1-7,0,,,,Ensemble_4model_tuned,2018
8-30,0,,,,Ensemble_4model_tuned,2018
31-90,0,,,,Ensemble_4model_tuned,2018
91-180,0,,,,Ensemble_4model_tuned,2018
181-270,0,,,,Ensemble_4model_tuned,2018
271-365,0,,,,Ensemble_4model_tuned,2018
1-7,0,,,,RF_tuned,2019
8-30,0,,,,RF_tuned,2019
31-90,16,-0.856,22.573,1.3652,RF_tuned,2019
91-180,81,0.279,44.141,0.778,RF_tuned,2019
181-270,49,0.036,43.332,1.1221,RF_tuned,2019
271-365,49,0.085,56.367,0.7954,RF_tuned,2019
1-7,0,,,,XGB_tuned,2019
8-30,0,,,,XGB_tuned,2019
31-90,16,-0.836,21.111,1.2769,XGB_tuned,2019
91-180,81,0.305,42.313,0.7458,XGB_tuned,2019
181-270,49,0.017,45.156,1.1693,XGB_tuned,2019
271-365,49,0.152,54.091,0.7633,XGB_tuned,2019
1-7,0,,,,LightGBM_tuned,2019
8-30,0,,,,LightGBM_tuned,2019
31-90,16,-1.581,23.831,1.4413,LightGBM_tuned,2019
91-180,81,0.231,45.959,0.8101,LightGBM_tuned,2019
181-270,49,0.098,41.815,1.0828,LightGBM_tuned,2019
271-365,49,0.094,57.117,0.806,LightGBM_tuned,2019
1-7,0,,,,SARIMAX,2019
8-30,0,,,,SARIMAX,2019
31-90,16,-0.109,15.279,0.9241,SARIMAX,2019
91-180,81,0.328,40.103,0.7069,SARIMAX,2019
181-270,49,0.143,37.473,0.9704,SARIMAX,2019
271-365,49,0.096,56.631,0.7992,SARIMAX,2019
1-7,0,,,,Ensemble_4model_tuned,2019
8-30,0,,,,Ensemble_4model_tuned,2019
31-90,16,-0.586,20.275,1.2263,Ensemble_4model_tuned,2019
91-180,81,0.307,42.544,0.7499,Ensemble_4model_tuned,2019
181-270,49,0.103,39.942,1.0343,Ensemble_4model_tuned,2019
271-365,49,0.118,54.061,0.7629,Ensemble_4model_tuned,2019
1-7,4,-52.863,26.855,1.0998,RF_tuned,2020
8-30,19,0.006,58.911,0.956,RF_tuned,2020
31-90,24,-2.594,23.284,1.1172,RF_tuned,2020
91-180,57,-0.22,16.744,0.9055,RF_tuned,2020
181-270,64,0.137,61.697,1.0066,RF_tuned,2020
271-365,86,0.108,31.875,0.9198,RF_tuned,2020
1-7,4,-68.778,30.561,1.2515,XGB_tuned,2020
8-30,19,0.035,59.909,0.9722,XGB_tuned,2020
31-90,24,-3.719,24.63,1.1817,XGB_tuned,2020
91-180,57,-0.162,16.205,0.8763,XGB_tuned,2020
181-270,64,0.19,57.953,0.9455,XGB_tuned,2020
271-365,86,0.125,30.623,0.8837,XGB_tuned,2020
1-7,4,-57.695,27.797,1.1383,LightGBM_tuned,2020
8-30,19,0.039,59.972,0.9732,LightGBM_tuned,2020
31-90,24,-3.863,25.674,1.2318,LightGBM_tuned,2020
91-180,57,-0.212,16.744,0.9055,LightGBM_tuned,2020
181-270,64,0.191,59.167,0.9653,LightGBM_tuned,2020
271-365,86,0.111,31.759,0.9165,LightGBM_tuned,2020
1-7,4,-46.085,21.494,0.8802,SARIMAX,2020
8-30,19,-0.081,60.957,0.9892,SARIMAX,2020
31-90,24,-0.794,14.621,0.7015,SARIMAX,2020
91-180,57,-0.152,15.38,0.8317,SARIMAX,2020
181-270,64,0.214,56.612,0.9237,SARIMAX,2020
271-365,86,0.004,32.356,0.9337,SARIMAX,2020
1-7,4,-52.557,26.677,1.0924,Ensemble_4model_tuned,2020
8-30,19,0.006,57.833,0.9385,Ensemble_4model_tuned,2020
31-90,24,-2.349,20.372,0.9775,Ensemble_4model_tuned,2020
91-180,57,-0.121,15.517,0.8391,Ensemble_4model_tuned,2020
181-270,64,0.19,58.186,0.9493,Ensemble_4model_tuned,2020
271-365,86,0.101,30.906,0.8919,Ensemble_4model_tuned,2020
1-7,1,,,,RF_tuned,2021
8-30,12,-0.406,18.342,0.7322,RF_tuned,2021
31-90,35,-0.416,15.642,0.6504,RF_tuned,2021
91-180,85,0.216,52.796,0.6828,RF_tuned,2021
181-270,47,0.081,44.51,0.9558,RF_tuned,2021
271-365,0,,,,RF_tuned,2021
1-7,1,,,,XGB_tuned,2021
8-30,12,-0.045,14.267,0.5695,XGB_tuned,2021
31-90,35,-0.17,13.311,0.5535,XGB_tuned,2021
91-180,85,0.241,53.762,0.6953,XGB_tuned,2021
181-270,47,-0.133,47.41,1.018,XGB_tuned,2021
271-365,0,,,,XGB_tuned,2021
1-7,1,,,,LightGBM_tuned,2021
8-30,12,0.071,12.948,0.5169,LightGBM_tuned,2021
31-90,35,-0.156,12.573,0.5228,LightGBM_tuned,2021
91-180,85,0.259,52.874,0.6838,LightGBM_tuned,2021
181-270,47,0.028,44.979,0.9658,LightGBM_tuned,2021
271-365,0,,,,LightGBM_tuned,2021
1-7,1,,,,SARIMAX,2021
8-30,12,-1.633,24.459,0.9763,SARIMAX,2021
31-90,35,-2.79,24.029,0.9992,SARIMAX,2021
91-180,85,0.021,62.79,0.812,SARIMAX,2021
181-270,47,-0.193,47.075,1.0108,SARIMAX,2021
271-365,0,,,,SARIMAX,2021
1-7,1,,,,Ensemble_4model_tuned,2021
8-30,12,0.016,13.255,0.5291,Ensemble_4model_tuned,2021
31-90,35,-0.091,10.462,0.435,Ensemble_4model_tuned,2021
91-180,85,0.207,52.727,0.6819,Ensemble_4model_tuned,2021
181-270,47,-0.008,44.404,0.9535,Ensemble_4model_tuned,2021
271-365,0,,,,Ensemble_4model_tuned,2021
1-7,0,,,,RF_tuned,2022
8-30,0,,,,RF_tuned,2022
31-90,14,-0.434,13.532,1.0572,RF_tuned,2022
91-180,84,-0.791,20.3,1.3213,RF_tuned,2022
181-270,84,-0.297,45.908,1.2155,RF_tuned,2022
271-365,89,0.117,29.9,0.9879,RF_tuned,2022
1-7,0,,,,XGB_tuned,2022
8-30,0,,,,XGB_tuned,2022
31-90,14,-0.447,13.214,1.0324,XGB_tuned,2022
91-180,84,-0.776,20.208,1.3153,XGB_tuned,2022
181-270,84,0.06,39.629,1.0493,XGB_tuned,2022
271-365,89,0.145,28.794,0.9513,XGB_tuned,2022
1-7,0,,,,LightGBM_tuned,2022
8-30,0,,,,LightGBM_tuned,2022
31-90,14,-0.299,12.894,1.0074,LightGBM_tuned,2022
91-180,84,-0.744,20.093,1.3078,LightGBM_tuned,2022
181-270,84,-0.292,45.852,1.2141,LightGBM_tuned,2022
271-365,89,0.044,31.867,1.0529,LightGBM_tuned,2022
1-7,0,,,,SARIMAX,2022
8-30,0,,,,SARIMAX,2022
31-90,14,-1.252,21.065,1.6457,SARIMAX,2022
91-180,84,-0.314,16.103,1.0481,SARIMAX,2022
181-270,84,-0.042,39.054,1.034,SARIMAX,2022
271-365,89,0.064,29.299,0.968,SARIMAX,2022
1-7,0,,,,Ensemble_4model_tuned,2022
8-30,0,,,,Ensemble_4model_tuned,2022
31-90,14,-0.32,13.81,1.0789,Ensemble_4model_tuned,2022
91-180,84,-0.407,17.183,1.1184,Ensemble_4model_tuned,2022
181-270,84,-0.093,41.798,1.1067,Ensemble_4model_tuned,2022
271-365,89,0.118,29.315,0.9685,Ensemble_4model_tuned,2022
