bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,RF_tuned,2018
8-30,7,-0.968,11.527,0.7599,RF_tuned,2018
31-90,33,0.03,14.109,0.859,RF_tuned,2018
91-180,83,-0.779,19.232,1.0553,RF_tuned,2018
181-270,72,0.15,55.832,0.9138,RF_tuned,2018
271-365,67,-0.05,37.227,1.2229,RF_tuned,2018
1-7,1,,,,XGB_tuned,2018
8-30,7,-0.858,10.975,0.7235,XGB_tuned,2018
31-90,33,0.036,13.087,0.7968,XGB_tuned,2018
91-180,83,-0.43,16.671,0.9148,XGB_tuned,2018
181-270,72,0.117,57.202,0.9362,XGB_tuned,2018
271-365,67,0.018,34.195,1.1233,XGB_tuned,2018
1-7,1,,,,LightGBM_tuned,2018
8-30,7,-0.453,9.643,0.6357,LightGBM_tuned,2018
31-90,33,0.088,11.496,0.6999,LightGBM_tuned,2018
91-180,83,-0.508,16.737,0.9184,LightGBM_tuned,2018
181-270,72,0.129,55.103,0.9019,LightGBM_tuned,2018
271-365,67,0.059,30.408,0.9989,LightGBM_tuned,2018
1-7,1,,,,SARIMAX,2018
8-30,7,-2.002,13.715,0.9041,SARIMAX,2018
31-90,33,-0.18,15.353,0.9348,SARIMAX,2018
91-180,83,-1.044,23.07,1.2659,SARIMAX,2018
181-270,72,0.027,64.714,1.0592,SARIMAX,2018
271-365,67,-0.185,44.384,1.458,SARIMAX,2018
1-7,1,,,,Ensemble_4model_tuned,2018
8-30,7,-0.985,11.465,0.7558,Ensemble_4model_tuned,2018
31-90,33,0.047,13.435,0.8179,Ensemble_4model_tuned,2018
91-180,83,-0.627,18.701,1.0262,Ensemble_4model_tuned,2018
181-270,72,0.131,57.617,0.943,Ensemble_4model_tuned,2018
271-365,67,-0.009,35.445,1.1643,Ensemble_4model_tuned,2018
1-7,0,,,,RF_tuned,2019
8-30,8,-4.077,63.709,1.666,RF_tuned,2019
31-90,32,-0.751,23.854,1.0901,RF_tuned,2019
91-180,62,0.176,50.278,0.6612,RF_tuned,2019
181-270,61,0.518,18.976,0.6737,RF_tuned,2019
271-365,66,0.177,20.521,0.776,RF_tuned,2019
1-7,0,,,,XGB_tuned,2019
8-30,8,-3.319,57.59,1.506,XGB_tuned,2019
31-90,32,-0.343,19.719,0.9011,XGB_tuned,2019
91-180,62,0.21,49.481,0.6507,XGB_tuned,2019
181-270,61,0.491,19.13,0.6791,XGB_tuned,2019
271-365,66,0.124,20.793,0.7863,XGB_tuned,2019
1-7,0,,,,LightGBM_tuned,2019
8-30,8,-2.896,54.476,1.4245,LightGBM_tuned,2019
31-90,32,-0.251,18.159,0.8298,LightGBM_tuned,2019
91-180,62,0.184,47.721,0.6276,LightGBM_tuned,2019
181-270,61,0.57,16.798,0.5963,LightGBM_tuned,2019
271-365,66,0.12,20.234,0.7651,LightGBM_tuned,2019
1-7,0,,,,SARIMAX,2019
8-30,8,-2.528,51.76,1.3535,SARIMAX,2019
31-90,32,-0.037,17.857,0.816,SARIMAX,2019
91-180,62,0.224,53.891,0.7087,SARIMAX,2019
181-270,61,0.415,19.317,0.6858,SARIMAX,2019
271-365,66,0.16,22.618,0.8553,SARIMAX,2019
1-7,0,,,,Ensemble_4model_tuned,2019
8-30,8,-3.181,56.884,1.4875,Ensemble_4model_tuned,2019
