bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
1-7,6,0.532,6.713,5.863,0.1595,0.3226,0.834,observed,TFT,BASE,2018,2
8-30,21,-0.434,12.548,8.894,0.191,0.9551,0.389,observed,TFT,BASE,2018,2
31-90,32,0.224,11.332,7.968,0.1752,0.6862,0.541,observed,TFT,BASE,2018,2
91-180,43,-1.757,37.924,28.961,0.4711,1.8277,-0.238,observed,TFT,BASE,2018,2
181-270,0,,,,,,,observed,TFT,BASE,2018,2
271-365,0,,,,,,,observed,TFT,BASE,2018,2
1-7,7,-0.926,35.392,21.914,0.718,0.658,-0.137,gapfilled,TFT,BASE,2018,2
8-30,23,-0.997,11.066,8.517,0.1838,0.9658,0.299,gapfilled,TFT,BASE,2018,2
31-90,60,-1.565,35.386,23.828,0.6852,0.9445,-0.305,gapfilled,TFT,BASE,2018,2
91-180,90,-5.63,23.088,19.248,0.3873,2.4437,-0.409,gapfilled,TFT,BASE,2018,2
181-270,90,-4.825,11.624,9.084,0.1754,1.8668,0.112,gapfilled,TFT,BASE,2018,2
271-365,95,-9.754,34.387,32.096,0.7102,3.1407,0.476,gapfilled,TFT,BASE,2018,2
1-7,6,-7.064,27.867,27.452,0.7471,1.5107,0.91,observed,DLinear,BASE,2018,2
8-30,21,-15.796,42.948,37.789,0.8113,4.0581,0.541,observed,DLinear,BASE,2018,2
31-90,32,-4.321,29.663,26.035,0.5724,2.2419,0.275,observed,DLinear,BASE,2018,2
91-180,43,-2.376,41.963,34.192,0.5562,2.1578,-0.036,observed,DLinear,BASE,2018,2
181-270,0,,,,,,,observed,DLinear,BASE,2018,2
271-365,0,,,,,,,observed,DLinear,BASE,2018,2
1-7,7,-0.294,29.002,27.059,0.8866,0.8125,-0.071,gapfilled,DLinear,BASE,2018,2
8-30,23,-30.431,43.899,37.972,0.8196,4.306,0.578,gapfilled,DLinear,BASE,2018,2
31-90,60,-1.818,37.091,30.244,0.8697,1.1988,-0.198,gapfilled,DLinear,BASE,2018,2
91-180,90,-14.281,35.052,28.703,0.5775,3.6441,-0.173,gapfilled,DLinear,BASE,2018,2
181-270,90,-65.001,39.128,31.675,0.6115,6.5094,0.042,gapfilled,DLinear,BASE,2018,2
271-365,95,-3.416,22.035,17.649,0.3905,1.727,0.225,gapfilled,DLinear,BASE,2018,2
1-7,6,-3.225,20.172,16.829,0.458,0.9261,0.792,observed,LSTM,BASE,2018,2
8-30,21,-7.551,30.643,25.914,0.5563,2.7829,0.638,observed,LSTM,BASE,2018,2
31-90,32,-3.828,28.256,21.658,0.4762,1.865,0.545,observed,LSTM,BASE,2018,2
91-180,43,-2.005,39.593,31.646,0.5148,1.9972,-0.07,observed,LSTM,BASE,2018,2
181-270,0,,,,,,,observed,LSTM,BASE,2018,2
271-365,0,,,,,,,observed,LSTM,BASE,2018,2
1-7,7,-2.145,45.221,32.99,1.0809,0.9906,-0.135,gapfilled,LSTM,BASE,2018,2
8-30,23,-14.893,31.216,26.58,0.5737,3.0142,0.667,gapfilled,LSTM,BASE,2018,2
31-90,60,-3.146,44.987,36.939,1.0622,1.4642,-0.281,gapfilled,LSTM,BASE,2018,2
91-180,90,-10.075,29.84,25.55,0.5141,3.2438,-0.106,gapfilled,LSTM,BASE,2018,2
181-270,90,-34.541,28.713,27.419,0.5293,5.6347,0.035,gapfilled,LSTM,BASE,2018,2
271-365,95,-3.343,21.853,16.901,0.374,1.6539,-0.527,gapfilled,LSTM,BASE,2018,2
1-7,1,,,,,,,observed,TFT,BASE,2018,4
