model,best_config,RMSE (gapfilled),RMSE (observed),MASE (gapfilled),MASE (observed),Correlation (gapfilled),Correlation (observed),R2 (gapfilled),R2 (observed)
TabPFN,BASE+species,35.00485662100456,55.58312483066358,0.944389698630137,0.839973275556774,0.20428767123287672,0.3256058734093166,-0.6758420091324202,-0.08366865921520682
TabICLv2,BASE+ALL,35.267662465753425,56.024455522047354,0.9726886392694064,0.8711472953013566,0.21001223744292238,0.28683459896811897,-0.7841112328767124,-0.15478193325786282
Ensemble_unweighted,BASE+species,25.428654063926942,51.565438608205,0.7493208219178082,0.9160822325507828,0.5202630136986302,0.37174756311605545,-0.1889298630136986,-0.1666048975963954
Ensemble_MASEweighted,BASE+species,25.419967488584472,51.557933838443034,0.7488700456621004,0.9161977294882024,0.5197433789954339,0.37173464357899216,-0.19389826484018266,-0.1665320798895473
XGB,BASE+ALL,25.873895525114158,51.51265249992257,0.7680590502283106,0.918530883119631,0.4768080365296804,0.36012462820113866,-0.5835026484018265,-0.19150398142458205
LightGBM,BASE,26.105685662100456,52.02211021877368,0.7737555799086758,0.9392700213347991,0.4963605479452055,0.3678375779466446,-0.4795293150684932,-0.20621095234541698
TFT,BASE+ALL,36.0951499543379,55.12373158156072,1.1557310867579909,0.9413704351364531,0.14651196347031964,0.22565818724588463,-2.179129497716895,-0.25086291543784567
RF,BASE+species,25.924356529680363,52.34878161556369,0.7963992511415524,0.9634925123525176,0.5290927853881279,0.3709747993425684,-0.6421914155251143,-0.23980352922762965
SARIMAX,BASE,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
LSTM,BASE+species,39.785048949771685,61.16282032775181,1.2368194520547946,1.0860242375817797,0.18505625570776257,0.272284876927613,-2.723609497716895,-0.6215686552272361
DLinear,BASE+bodyweight,42.59032894977169,61.52193648272318,1.7232625022831047,1.3742594414400906,0.18221004566210047,0.2667826866863906,-6.792432694063928,-1.8357513341784846
