bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
1-7,6,0.129,9.161,7.436,0.2024,0.4092,0.839,observed,TabPFN,BASE,2018,2
8-30,21,-0.43,12.533,9.01,0.1934,0.9676,0.595,observed,TabPFN,BASE,2018,2
31-90,32,-0.177,13.948,10.127,0.2227,0.8721,0.041,observed,TabPFN,BASE,2018,2
91-180,43,-0.248,25.517,17.76,0.2889,1.1208,-0.208,observed,TabPFN,BASE,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE,2018,2
1-7,7,-1.018,36.223,24.32,0.7968,0.7302,0.026,gapfilled,TabPFN,BASE,2018,2
8-30,23,-0.939,10.903,8.375,0.1808,0.9498,0.57,gapfilled,TabPFN,BASE,2018,2
31-90,60,-1.11,32.096,22.162,0.6373,0.8784,-0.458,gapfilled,TabPFN,BASE,2018,2
91-180,90,-0.193,9.793,7.368,0.1483,0.9355,-0.307,gapfilled,TabPFN,BASE,2018,2
181-270,90,-0.013,4.847,3.616,0.0698,0.7431,-0.008,gapfilled,TabPFN,BASE,2018,2
271-365,95,-0.805,14.089,8.867,0.1962,0.8677,-0.432,gapfilled,TabPFN,BASE,2018,2
1-7,6,0.72,5.191,4.8,0.1306,0.2642,0.952,observed,TabICLv2,BASE,2018,2
8-30,21,-0.205,11.503,7.771,0.1668,0.8345,0.62,observed,TabICLv2,BASE,2018,2
31-90,32,-0.139,13.725,9.341,0.2054,0.8044,0.235,observed,TabICLv2,BASE,2018,2
91-180,43,-0.416,27.175,19.439,0.3162,1.2268,-0.181,observed,TabICLv2,BASE,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE,2018,2
1-7,7,-0.743,33.669,21.02,0.6887,0.6312,-0.022,gapfilled,TabICLv2,BASE,2018,2
8-30,23,-0.508,9.615,6.791,0.1466,0.7701,0.562,gapfilled,TabICLv2,BASE,2018,2
31-90,60,-0.993,31.192,21.443,0.6166,0.85,-0.228,gapfilled,TabICLv2,BASE,2018,2
91-180,90,-0.342,10.386,7.912,0.1592,1.0045,-0.215,gapfilled,TabICLv2,BASE,2018,2
181-270,90,-1.374,7.421,6.38,0.1232,1.311,0.476,gapfilled,TabICLv2,BASE,2018,2
271-365,95,-0.554,13.073,7.624,0.1687,0.746,-0.345,gapfilled,TabICLv2,BASE,2018,2
1-7,6,0.083,9.396,7.844,0.2135,0.4317,0.85,observed,TabPFN,BASE+species,2018,2
8-30,21,-0.318,12.03,8.552,0.1836,0.9184,0.514,observed,TabPFN,BASE+species,2018,2
31-90,32,-0.141,13.736,10.202,0.2243,0.8785,0.03,observed,TabPFN,BASE+species,2018,2
91-180,43,-0.308,26.119,18.485,0.3007,1.1666,-0.171,observed,TabPFN,BASE+species,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE+species,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE+species,2018,2
1-7,7,-1.036,36.382,24.662,0.8081,0.7405,0.03,gapfilled,TabPFN,BASE+species,2018,2
8-30,23,-0.734,10.312,7.768,0.1677,0.8809,0.49,gapfilled,TabPFN,BASE+species,2018,2
31-90,60,-1.026,31.445,21.333,0.6135,0.8456,-0.484,gapfilled,TabPFN,BASE+species,2018,2
91-180,90,-0.191,9.787,7.368,0.1482,0.9354,-0.285,gapfilled,TabPFN,BASE+species,2018,2
181-270,90,-0.015,4.852,3.485,0.0673,0.7162,0.144,gapfilled,TabPFN,BASE+species,2018,2
271-365,95,-0.793,14.042,8.716,0.1929,0.8529,-0.44,gapfilled,TabPFN,BASE+species,2018,2
1-7,6,0.815,4.222,3.979,0.1083,0.219,0.934,observed,TabICLv2,BASE+species,2018,2
8-30,21,-0.03,10.635,7.343,0.1576,0.7885,0.61,observed,TabICLv2,BASE+species,2018,2
31-90,32,-0.087,13.407,8.998,0.1978,0.7749,0.221,observed,TabICLv2,BASE+species,2018,2
91-180,43,-0.487,27.848,20.178,0.3282,1.2734,-0.149,observed,TabICLv2,BASE+species,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+species,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+species,2018,2
1-7,7,-0.67,32.957,19.42,0.6363,0.5831,0.011,gapfilled,TabICLv2,BASE+species,2018,2
8-30,23,-0.239,8.717,5.994,0.1294,0.6797,0.556,gapfilled,TabICLv2,BASE+species,2018,2
31-90,60,-0.955,30.889,20.682,0.5947,0.8198,-0.254,gapfilled,TabICLv2,BASE+species,2018,2
91-180,90,-0.583,11.28,8.762,0.1763,1.1124,-0.187,gapfilled,TabICLv2,BASE+species,2018,2
181-270,90,-2.364,8.834,7.653,0.1477,1.5727,0.384,gapfilled,TabICLv2,BASE+species,2018,2
271-365,95,-0.409,12.445,7.104,0.1572,0.6952,-0.298,gapfilled,TabICLv2,BASE+species,2018,2
1-7,6,0.129,9.161,7.436,0.2024,0.4092,0.839,observed,TabPFN,BASE+arable,2018,2
8-30,21,-0.43,12.533,9.01,0.1934,0.9676,0.595,observed,TabPFN,BASE+arable,2018,2
31-90,32,-0.177,13.948,10.127,0.2227,0.8721,0.041,observed,TabPFN,BASE+arable,2018,2
91-180,43,-0.248,25.517,17.76,0.2889,1.1208,-0.208,observed,TabPFN,BASE+arable,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE+arable,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE+arable,2018,2
1-7,7,-1.018,36.223,24.32,0.7968,0.7302,0.026,gapfilled,TabPFN,BASE+arable,2018,2
8-30,23,-0.939,10.903,8.375,0.1808,0.9498,0.57,gapfilled,TabPFN,BASE+arable,2018,2
31-90,60,-1.11,32.096,22.162,0.6373,0.8784,-0.458,gapfilled,TabPFN,BASE+arable,2018,2
91-180,90,-0.193,9.793,7.368,0.1483,0.9355,-0.307,gapfilled,TabPFN,BASE+arable,2018,2
181-270,90,-0.013,4.847,3.616,0.0698,0.7431,-0.008,gapfilled,TabPFN,BASE+arable,2018,2
271-365,95,-0.805,14.089,8.867,0.1962,0.8677,-0.432,gapfilled,TabPFN,BASE+arable,2018,2
1-7,6,0.72,5.191,4.8,0.1306,0.2642,0.952,observed,TabICLv2,BASE+arable,2018,2
8-30,21,-0.205,11.503,7.771,0.1668,0.8345,0.62,observed,TabICLv2,BASE+arable,2018,2
31-90,32,-0.139,13.725,9.341,0.2054,0.8044,0.235,observed,TabICLv2,BASE+arable,2018,2
91-180,43,-0.416,27.175,19.439,0.3162,1.2268,-0.181,observed,TabICLv2,BASE+arable,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+arable,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+arable,2018,2
1-7,7,-0.743,33.669,21.02,0.6887,0.6312,-0.022,gapfilled,TabICLv2,BASE+arable,2018,2
8-30,23,-0.508,9.615,6.791,0.1466,0.7701,0.562,gapfilled,TabICLv2,BASE+arable,2018,2
31-90,60,-0.993,31.192,21.443,0.6166,0.85,-0.228,gapfilled,TabICLv2,BASE+arable,2018,2
