bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
1-7,6,-2.723,18.935,18.706,0.5091,1.0294,0.978,observed,RF,BASE,2018,2
8-30,21,-0.259,11.758,11.241,0.2413,1.2072,0.065,observed,RF,BASE,2018,2
31-90,32,-1.185,19.007,15.847,0.3484,1.3646,-0.196,observed,RF,BASE,2018,2
91-180,43,-0.721,29.965,22.916,0.3727,1.4462,0.184,observed,RF,BASE,2018,2
181-270,0,,,,,,,observed,RF,BASE,2018,2
271-365,0,,,,,,,observed,RF,BASE,2018,2
1-7,7,-0.02,25.748,22.844,0.7485,0.6859,0.207,gapfilled,RF,BASE,2018,2
8-30,23,-0.488,9.551,8.768,0.1892,0.9943,0.093,gapfilled,RF,BASE,2018,2
31-90,60,0.381,17.376,11.774,0.3386,0.4667,0.752,gapfilled,RF,BASE,2018,2
91-180,90,-0.579,11.267,9.136,0.1838,1.1599,0.33,gapfilled,RF,BASE,2018,2
181-270,90,-0.257,5.399,3.985,0.0769,0.819,-0.016,gapfilled,RF,BASE,2018,2
271-365,95,0.406,8.083,5.107,0.113,0.4997,0.697,gapfilled,RF,BASE,2018,2
1-7,6,-2.532,18.444,17.909,0.4874,0.9855,0.92,observed,XGB,BASE,2018,2
8-30,21,0.08,10.05,9.227,0.1981,0.9908,0.532,observed,XGB,BASE,2018,2
31-90,32,-0.612,16.328,12.656,0.2783,1.0899,-0.126,observed,XGB,BASE,2018,2
91-180,43,-0.697,29.751,22.603,0.3677,1.4265,0.214,observed,XGB,BASE,2018,2
181-270,0,,,,,,,observed,XGB,BASE,2018,2
271-365,0,,,,,,,observed,XGB,BASE,2018,2
1-7,7,-0.277,28.816,25.123,0.8232,0.7544,-0.088,gapfilled,XGB,BASE,2018,2
8-30,23,0.054,7.618,6.727,0.1452,0.7629,0.525,gapfilled,XGB,BASE,2018,2
31-90,60,0.287,18.66,12.154,0.3495,0.4818,0.729,gapfilled,XGB,BASE,2018,2
91-180,90,-0.651,11.521,9.333,0.1878,1.1848,0.34,gapfilled,XGB,BASE,2018,2
181-270,90,-1.413,7.482,5.73,0.1106,1.1775,-0.245,gapfilled,XGB,BASE,2018,2
271-365,95,0.277,8.914,4.764,0.1054,0.4662,0.533,gapfilled,XGB,BASE,2018,2
1-7,6,-2.183,17.508,16.925,0.4606,0.9314,0.89,observed,LightGBM,BASE,2018,2
8-30,21,-0.009,10.526,9.791,0.2102,1.0515,0.419,observed,LightGBM,BASE,2018,2
31-90,32,-0.652,16.528,12.852,0.2826,1.1067,-0.227,observed,LightGBM,BASE,2018,2
91-180,43,-0.628,29.14,22.006,0.3579,1.3888,0.272,observed,LightGBM,BASE,2018,2
181-270,0,,,,,,,observed,LightGBM,BASE,2018,2
271-365,0,,,,,,,observed,LightGBM,BASE,2018,2
