bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
1-7,6,-3.388,20.557,20.304,0.5526,1.1173,0.977,RF,BASE+ALL,2018,2
8-30,21,-0.149,11.233,10.701,0.2297,1.1492,0.246,RF,BASE+ALL,2018,2
31-90,32,-1.376,19.823,16.51,0.363,1.4217,-0.21,RF,BASE+ALL,2018,2
91-180,43,-0.708,29.851,22.734,0.3698,1.4347,0.187,RF,BASE+ALL,2018,2
181-270,0,,,,,,,RF,BASE+ALL,2018,2
271-365,0,,,,,,,RF,BASE+ALL,2018,2
1-7,6,-3.315,20.386,19.929,0.5424,1.0967,0.916,XGB,BASE+ALL,2018,2
8-30,21,0.119,9.834,9.053,0.1944,0.9722,0.557,XGB,BASE+ALL,2018,2
31-90,32,-0.915,17.797,13.922,0.3061,1.1988,-0.204,XGB,BASE+ALL,2018,2
91-180,43,-0.557,28.497,21.169,0.3443,1.3359,0.13,XGB,BASE+ALL,2018,2
181-270,0,,,,,,,XGB,BASE+ALL,2018,2
271-365,0,,,,,,,XGB,BASE+ALL,2018,2
1-7,6,-2.472,18.286,17.621,0.4796,0.9697,0.868,LightGBM,BASE+ALL,2018,2
8-30,21,0.085,10.022,9.242,0.1984,0.9925,0.526,LightGBM,BASE+ALL,2018,2
31-90,32,-0.702,16.777,13.184,0.2899,1.1353,-0.196,LightGBM,BASE+ALL,2018,2
91-180,43,-0.554,28.474,21.264,0.3459,1.3419,0.326,LightGBM,BASE+ALL,2018,2
181-270,0,,,,,,,LightGBM,BASE+ALL,2018,2
271-365,0,,,,,,,LightGBM,BASE+ALL,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,SARIMAX,BASE+ALL,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,SARIMAX,BASE+ALL,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,SARIMAX,BASE+ALL,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,SARIMAX,BASE+ALL,2018,2
181-270,0,,,,,,,SARIMAX,BASE+ALL,2018,2
271-365,0,,,,,,,SARIMAX,BASE+ALL,2018,2
1-7,6,-2.324,17.892,17.683,0.4812,0.9731,0.961,Ensemble_unweighted,BASE+ALL,2018,2
8-30,21,-0.341,12.134,11.324,0.2431,1.2161,0.569,Ensemble_unweighted,BASE+ALL,2018,2
31-90,32,-1.252,19.296,16.556,0.364,1.4256,-0.157,Ensemble_unweighted,BASE+ALL,2018,2
91-180,43,-1.113,33.199,26.412,0.4296,1.6668,0.128,Ensemble_unweighted,BASE+ALL,2018,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,2
1-7,6,-2.343,17.943,17.73,0.4825,0.9757,0.96,Ensemble_MASEweighted,BASE+ALL,2018,2
8-30,21,-0.32,12.041,11.252,0.2416,1.2083,0.569,Ensemble_MASEweighted,BASE+ALL,2018,2
31-90,32,-1.231,19.208,16.443,0.3615,1.416,-0.159,Ensemble_MASEweighted,BASE+ALL,2018,2
91-180,43,-1.091,33.024,26.208,0.4263,1.654,0.132,Ensemble_MASEweighted,BASE+ALL,2018,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,2
1-7,1,,,,,,,RF,BASE+ALL,2018,4
8-30,7,-0.78,11.4,11.011,0.7258,1.5745,0.597,RF,BASE+ALL,2018,4
31-90,33,-0.081,16.672,14.959,0.9108,1.2261,0.457,RF,BASE+ALL,2018,4
91-180,83,-0.589,24.177,17.832,0.9785,1.4432,0.218,RF,BASE+ALL,2018,4
181-270,72,0.084,76.279,55.881,0.9146,0.7998,0.313,RF,BASE+ALL,2018,4
271-365,67,0.017,61.445,33.409,1.0975,1.087,0.15,RF,BASE+ALL,2018,4
1-7,1,,,,,,,XGB,BASE+ALL,2018,4
8-30,7,-0.078,8.872,7.684,0.5065,1.0988,0.505,XGB,BASE+ALL,2018,4
31-90,33,-0.068,16.57,14.24,0.867,1.1672,0.342,XGB,BASE+ALL,2018,4
91-180,83,-0.305,21.908,15.159,0.8318,1.227,0.181,XGB,BASE+ALL,2018,4
181-270,72,0.07,76.865,59.05,0.9665,0.8452,0.294,XGB,BASE+ALL,2018,4
271-365,67,0.052,60.346,32.26,1.0597,1.0496,0.246,XGB,BASE+ALL,2018,4
1-7,1,,,,,,,LightGBM,BASE+ALL,2018,4
8-30,7,-0.527,10.556,9.709,0.64,1.3884,0.657,LightGBM,BASE+ALL,2018,4
31-90,33,-0.046,16.399,14.401,0.8768,1.1804,0.35,LightGBM,BASE+ALL,2018,4
91-180,83,-0.391,22.625,15.462,0.8484,1.2514,0.164,LightGBM,BASE+ALL,2018,4
181-270,72,0.147,73.608,55.25,0.9043,0.7908,0.388,LightGBM,BASE+ALL,2018,4
271-365,67,0.071,59.751,32.054,1.053,1.0429,0.299,LightGBM,BASE+ALL,2018,4
1-7,1,,,,,,,SARIMAX,BASE+ALL,2018,4
8-30,7,-1.881,14.501,13.479,0.8885,1.9275,0.555,SARIMAX,BASE+ALL,2018,4
31-90,33,-0.161,17.28,15.233,0.9274,1.2486,0.327,SARIMAX,BASE+ALL,2018,4
91-180,83,-0.926,26.617,22.108,1.2131,1.7893,0.213,SARIMAX,BASE+ALL,2018,4
181-270,72,0.034,78.363,64.108,1.0493,0.9176,0.32,SARIMAX,BASE+ALL,2018,4
271-365,67,-0.17,67.054,43.147,1.4174,1.4038,0.114,SARIMAX,BASE+ALL,2018,4
1-7,1,,,,,,,Ensemble_unweighted,BASE+ALL,2018,4
8-30,7,-0.676,11.061,10.471,0.6902,1.4973,0.66,Ensemble_unweighted,BASE+ALL,2018,4
31-90,33,-0.053,16.456,14.694,0.8946,1.2044,0.39,Ensemble_unweighted,BASE+ALL,2018,4
91-180,83,-0.482,23.35,17.289,0.9487,1.3993,0.206,Ensemble_unweighted,BASE+ALL,2018,4
181-270,72,0.109,75.231,58.025,0.9497,0.8305,0.334,Ensemble_unweighted,BASE+ALL,2018,4
271-365,67,0.021,61.329,34.206,1.1237,1.1129,0.194,Ensemble_unweighted,BASE+ALL,2018,4
1-7,1,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,4
8-30,7,-0.659,11.006,10.413,0.6864,1.489,0.661,Ensemble_MASEweighted,BASE+ALL,2018,4
31-90,33,-0.053,16.451,14.683,0.8939,1.2035,0.389,Ensemble_MASEweighted,BASE+ALL,2018,4
91-180,83,-0.476,23.304,17.212,0.9445,1.3931,0.205,Ensemble_MASEweighted,BASE+ALL,2018,4
181-270,72,0.11,75.223,57.993,0.9492,0.8301,0.334,Ensemble_MASEweighted,BASE+ALL,2018,4
271-365,67,0.023,61.277,34.128,1.1211,1.1104,0.196,Ensemble_MASEweighted,BASE+ALL,2018,4
1-7,0,,,,,,,RF,BASE+ALL,2018,9
8-30,0,,,,,,,RF,BASE+ALL,2018,9
31-90,0,,,,,,,RF,BASE+ALL,2018,9
91-180,0,,,,,,,RF,BASE+ALL,2018,9
181-270,0,,,,,,,RF,BASE+ALL,2018,9
271-365,0,,,,,,,RF,BASE+ALL,2018,9
1-7,0,,,,,,,XGB,BASE+ALL,2018,9
8-30,0,,,,,,,XGB,BASE+ALL,2018,9
31-90,0,,,,,,,XGB,BASE+ALL,2018,9
91-180,0,,,,,,,XGB,BASE+ALL,2018,9
181-270,0,,,,,,,XGB,BASE+ALL,2018,9
