bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
1-7,6,-2.723,18.935,18.706,0.5091,1.0294,0.978,RF,BASE,2018,2
8-30,21,-0.259,11.758,11.241,0.2413,1.2072,0.065,RF,BASE,2018,2
31-90,32,-1.185,19.007,15.847,0.3484,1.3646,-0.196,RF,BASE,2018,2
91-180,43,-0.721,29.965,22.916,0.3727,1.4462,0.184,RF,BASE,2018,2
181-270,0,,,,,,,RF,BASE,2018,2
271-365,0,,,,,,,RF,BASE,2018,2
1-7,6,-2.532,18.444,17.909,0.4874,0.9855,0.92,XGB,BASE,2018,2
8-30,21,0.08,10.05,9.227,0.1981,0.9908,0.532,XGB,BASE,2018,2
31-90,32,-0.612,16.328,12.656,0.2783,1.0899,-0.126,XGB,BASE,2018,2
91-180,43,-0.697,29.751,22.603,0.3677,1.4265,0.214,XGB,BASE,2018,2
181-270,0,,,,,,,XGB,BASE,2018,2
271-365,0,,,,,,,XGB,BASE,2018,2
1-7,6,-2.183,17.508,16.925,0.4606,0.9314,0.89,LightGBM,BASE,2018,2
8-30,21,-0.009,10.526,9.791,0.2102,1.0515,0.419,LightGBM,BASE,2018,2
31-90,32,-0.652,16.528,12.852,0.2826,1.1067,-0.227,LightGBM,BASE,2018,2
91-180,43,-0.628,29.14,22.006,0.3579,1.3888,0.272,LightGBM,BASE,2018,2
181-270,0,,,,,,,LightGBM,BASE,2018,2
271-365,0,,,,,,,LightGBM,BASE,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,SARIMAX,BASE,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,SARIMAX,BASE,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,SARIMAX,BASE,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,SARIMAX,BASE,2018,2
181-270,0,,,,,,,SARIMAX,BASE,2018,2
271-365,0,,,,,,,SARIMAX,BASE,2018,2
1-7,6,-1.94,16.826,16.604,0.4519,0.9137,0.961,Ensemble_unweighted,BASE,2018,2
8-30,21,-0.427,12.518,11.64,0.2499,1.25,0.476,Ensemble_unweighted,BASE,2018,2
31-90,32,-1.099,18.629,15.965,0.351,1.3748,-0.132,Ensemble_unweighted,BASE,2018,2
91-180,43,-1.189,33.792,27.137,0.4414,1.7126,0.149,Ensemble_unweighted,BASE,2018,2
181-270,0,,,,,,,Ensemble_unweighted,BASE,2018,2
271-365,0,,,,,,,Ensemble_unweighted,BASE,2018,2
1-7,6,-1.953,16.865,16.638,0.4528,0.9156,0.96,Ensemble_MASEweighted,BASE,2018,2
8-30,21,-0.406,12.427,11.569,0.2484,1.2424,0.477,Ensemble_MASEweighted,BASE,2018,2
31-90,32,-1.077,18.531,15.844,0.3483,1.3644,-0.134,Ensemble_MASEweighted,BASE,2018,2
91-180,43,-1.168,33.631,26.954,0.4384,1.7011,0.154,Ensemble_MASEweighted,BASE,2018,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE,2018,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE,2018,2
1-7,1,,,,,,,RF,BASE,2018,4
8-30,7,-0.86,11.651,11.25,0.7416,1.6087,0.511,RF,BASE,2018,4
31-90,33,0.045,15.667,13.789,0.8395,1.1302,0.533,RF,BASE,2018,4
91-180,83,-0.79,25.665,19.423,1.0658,1.572,0.232,RF,BASE,2018,4
181-270,72,0.149,73.553,55.814,0.9135,0.7989,0.391,RF,BASE,2018,4
271-365,67,-0.048,63.463,37.022,1.2161,1.2046,0.065,RF,BASE,2018,4
1-7,1,,,,,,,XGB,BASE,2018,4
8-30,7,-0.089,8.916,7.835,0.5165,1.1204,0.605,XGB,BASE,2018,4
31-90,33,0.03,15.787,12.084,0.7357,0.9905,0.244,XGB,BASE,2018,4
91-180,83,-0.349,22.279,15.765,0.8651,1.276,0.218,XGB,BASE,2018,4
181-270,72,0.071,76.832,57.067,0.934,0.8168,0.291,XGB,BASE,2018,4
271-365,67,0.066,59.894,30.811,1.0121,1.0025,0.276,XGB,BASE,2018,4
1-7,1,,,,,,,LightGBM,BASE,2018,4
8-30,7,-0.453,10.297,9.643,0.6357,1.3789,0.618,LightGBM,BASE,2018,4
31-90,33,0.088,15.309,11.496,0.6999,0.9423,0.323,LightGBM,BASE,2018,4
91-180,83,-0.508,23.556,16.737,0.9184,1.3546,0.183,LightGBM,BASE,2018,4
181-270,72,0.129,74.379,55.103,0.9019,0.7887,0.376,LightGBM,BASE,2018,4
271-365,67,0.059,60.12,30.408,0.9989,0.9894,0.262,LightGBM,BASE,2018,4
1-7,1,,,,,,,SARIMAX,BASE,2018,4
8-30,7,-1.881,14.501,13.479,0.8885,1.9275,0.555,SARIMAX,BASE,2018,4
31-90,33,-0.161,17.28,15.233,0.9274,1.2486,0.327,SARIMAX,BASE,2018,4
91-180,83,-0.926,26.617,22.108,1.2131,1.7893,0.213,SARIMAX,BASE,2018,4
181-270,72,0.034,78.363,64.108,1.0493,0.9176,0.32,SARIMAX,BASE,2018,4
271-365,67,-0.17,67.054,43.147,1.4174,1.4038,0.114,SARIMAX,BASE,2018,4
1-7,1,,,,,,,Ensemble_unweighted,BASE,2018,4
8-30,7,-0.687,11.097,10.552,0.6956,1.5089,0.659,Ensemble_unweighted,BASE,2018,4
31-90,33,0.052,15.612,12.947,0.7882,1.0612,0.406,Ensemble_unweighted,BASE,2018,4
91-180,83,-0.582,24.126,18.238,1.0008,1.4761,0.222,Ensemble_unweighted,BASE,2018,4
181-270,72,0.122,74.682,57.455,0.9404,0.8224,0.35,Ensemble_unweighted,BASE,2018,4
271-365,67,0.009,61.716,34.215,1.1239,1.1132,0.167,Ensemble_unweighted,BASE,2018,4
1-7,1,,,,,,,Ensemble_MASEweighted,BASE,2018,4
8-30,7,-0.67,11.041,10.493,0.6917,1.5005,0.661,Ensemble_MASEweighted,BASE,2018,4
31-90,33,0.054,15.599,12.905,0.7857,1.0578,0.402,Ensemble_MASEweighted,BASE,2018,4
91-180,83,-0.576,24.079,18.168,0.9969,1.4704,0.222,Ensemble_MASEweighted,BASE,2018,4
181-270,72,0.122,74.689,57.393,0.9394,0.8215,0.35,Ensemble_MASEweighted,BASE,2018,4
271-365,67,0.011,61.645,34.093,1.1199,1.1093,0.169,Ensemble_MASEweighted,BASE,2018,4
1-7,0,,,,,,,RF,BASE,2018,9
8-30,0,,,,,,,RF,BASE,2018,9
31-90,0,,,,,,,RF,BASE,2018,9
91-180,0,,,,,,,RF,BASE,2018,9
181-270,0,,,,,,,RF,BASE,2018,9
271-365,0,,,,,,,RF,BASE,2018,9
1-7,0,,,,,,,XGB,BASE,2018,9
