model,config,RMSE (gapfilled),RMSE (observed),MASE (gapfilled),MASE (observed),Correlation (gapfilled),Correlation (observed),R2 (gapfilled),R2 (observed)
Ensemble_MASEweighted,BASE,25.3844599086758,51.507150961718494,0.7506767853881279,0.9169845423715905,0.5224456621004567,0.37502619299505974,-0.19557004566210046,-0.16497034951925427
Ensemble_MASEweighted,BASE+ALL,25.487062283105026,51.72759045346538,0.7574575707762558,0.92194953845122,0.5201344292237443,0.37186086386268363,-0.2536379908675798,-0.16759175124122963
Ensemble_MASEweighted,BASE+arable,25.448880182648402,51.57422824550199,0.7535266118721461,0.9199749857368873,0.5198524200913243,0.37165648649053196,-0.20973771689497717,-0.16876394631945119
Ensemble_MASEweighted,BASE+bodyweight,25.55882210045662,51.75274670638301,0.7572505022831051,0.9208258243738339,0.5202845662100456,0.371661398942713,-0.2188752511415526,-0.16953595586887504
Ensemble_MASEweighted,BASE+flow,25.435698082191784,51.64983781347429,0.7520665753424658,0.9224863761153188,0.5195276712328767,0.3737237051394297,-0.19013625570776257,-0.17162478056703945
Ensemble_MASEweighted,BASE+mgmt,25.49807378995434,51.674236862137604,0.7620334794520549,0.925360094909971,0.5223556164383562,0.367151808357601,-0.257150502283105,-0.16951543270184255
Ensemble_MASEweighted,BASE+species,25.419967488584472,51.557933838443034,0.7488700456621004,0.9161977294882024,0.5197433789954339,0.37173464357899216,-0.19389826484018266,-0.1665320798895473
Ensemble_unweighted,BASE,25.39253406392694,51.513946552633186,0.7511158721461186,0.916933560000075,0.5228182648401827,0.37488586670753843,-0.190372602739726,-0.16515756971676565
Ensemble_unweighted,BASE+ALL,25.494612785388128,51.73300468053368,0.7577505570776255,0.9217478522219315,0.5207291324200913,0.37181572231541704,-0.24677716894977167,-0.1677341660737675
Ensemble_unweighted,BASE+arable,25.45540292237443,51.57997449723363,0.7538377351598174,0.9198257286763996,0.5203417351598174,0.3717174743778035,-0.20410575342465753,-0.16875568587986695
Ensemble_unweighted,BASE+bodyweight,25.56488694063927,51.75811536974762,0.7575171506849315,0.9206797851875631,0.5207678538812786,0.3716936165105903,-0.21305242009132414,-0.16957330580196286
Ensemble_unweighted,BASE+flow,25.443624657534247,51.65612612638515,0.7524771324200914,0.9223420772914487,0.5199019178082193,0.3736989975200567,-0.18510283105022834,-0.1716148045359712
Ensemble_unweighted,BASE+mgmt,25.503060821917806,51.67599566851982,0.7622092237442922,0.9250685496302908,0.5229537899543379,0.36722543308310535,-0.2499347945205479,-0.16936184428888207
Ensemble_unweighted,BASE+species,25.428654063926942,51.565438608205,0.7493208219178082,0.9160822325507828,0.5202630136986302,0.37174756311605545,-0.1889298630136986,-0.1666048975963954
LightGBM,BASE,26.105685662100456,52.02211021877368,0.7737555799086758,0.9392700213347991,0.4963605479452055,0.3678375779466446,-0.4795293150684932,-0.20621095234541698
LightGBM,BASE+ALL,26.38883415525114,52.763994623504665,0.7898065570776256,0.9623809038495109,0.4871068493150685,0.3684751238741239,-0.6406491324200912,-0.22512264788499686
LightGBM,BASE+arable,26.22073168949772,52.23893580405015,0.7785848219178082,0.9463968701269987,0.4909950684931507,0.3646714141505108,-0.5012584474885845,-0.22796595803899788
LightGBM,BASE+bodyweight,26.194396347031965,52.23002786090457,0.7786862831050229,0.9446639778136892,0.49374538812785396,0.36868997432156386,-0.5204805479452055,-0.21541081656823344
LightGBM,BASE+flow,26.16983178082192,52.4020005289575,0.771449698630137,0.9493586379657006,0.4905181735159817,0.3657612883598933,-0.43174557077625575,-0.22000182771785654
LightGBM,BASE+mgmt,26.1290202739726,52.1251276106413,0.7896919634703196,0.9508247184350858,0.49110447488584474,0.3579165681310722,-0.627579908675799,-0.21150827705593253
LightGBM,BASE+species,26.112511415525113,52.15867275028241,0.7690706484018264,0.9416374337411257,0.48579086757990864,0.36256309085461413,-0.4505908675799087,-0.21766037857389775
RF,BASE,25.851796164383565,52.169890977212276,0.7996830867579909,0.9670560174425062,0.5293612785388128,0.3741699205862644,-0.5925079452054793,-0.24051300084721264
RF,BASE+ALL,26.06929406392694,52.567950273759834,0.8075683835616438,0.9687792979205131,0.5300467579908675,0.3725732705075712,-0.7486776255707763,-0.23618802332360658
RF,BASE+arable,25.921314885844748,52.22438406093511,0.7996662100456622,0.9664064920913219,0.5275901369863014,0.37011090852225725,-0.6326054794520548,-0.2359249930499682
RF,BASE+bodyweight,26.069171689497715,52.541425472242054,0.8046575159817351,0.9702293188122357,0.5247517808219178,0.3674406856079889,-0.6366235616438355,-0.24099675934717854
RF,BASE+flow,26.09033753424658,52.56757883679364,0.8119692968036529,0.9804660803145436,0.5274454794520549,0.3720299677906719,-0.6050531506849315,-0.2584231485776808
RF,BASE+mgmt,25.998422831050227,52.30798575052146,0.8091530776255708,0.9687821524361133,0.5318608219178083,0.36828136421288926,-0.7316060273972602,-0.22828540591894858
RF,BASE+species,25.924356529680363,52.34878161556369,0.7963992511415524,0.9634925123525176,0.5290927853881279,0.3709747993425684,-0.6421914155251143,-0.23980352922762965
SARIMAX,BASE,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
SARIMAX,BASE+ALL,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
SARIMAX,BASE+arable,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
SARIMAX,BASE+bodyweight,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
SARIMAX,BASE+flow,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
SARIMAX,BASE+mgmt,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
SARIMAX,BASE+species,29.210556894977167,53.71964818392962,0.9430734794520548,0.97428618710822,0.4627167123287671,0.3427392071875247,-1.0018171689497717,-0.3595429299866632
XGB,BASE,25.71679433789954,51.51015288071826,0.7607848036529681,0.920640350331062,0.48258264840182646,0.36759243302919187,-0.5016372602739726,-0.18383888337718016
XGB,BASE+ALL,25.873895525114158,51.51265249992257,0.7680590502283106,0.918530883119631,0.4768080365296804,0.36012462820113866,-0.5835026484018265,-0.19150398142458205
XGB,BASE+arable,25.856754885844747,51.56963336252975,0.7694902648401827,0.9259056000352777,0.47886484018264835,0.3659825579489227,-0.5286361643835616,-0.18158478558851482
XGB,BASE+bodyweight,25.970072146118724,51.78181042504465,0.7741138082191781,0.9271676312424244,0.47837570776255706,0.36101677788149755,-0.5378273972602738,-0.19029016058791556
XGB,BASE+flow,25.823365662100457,51.58591511906472,0.7671314337899543,0.9261238536431197,0.4757861187214612,0.3647686892837475,-0.5323570776255708,-0.19163158952851883
XGB,BASE+mgmt,26.18900255707763,52.1668697842628,0.7792974611872145,0.9398643055777341,0.47843634703196347,0.3576675917118029,-0.6266971689497717,-0.2170774085053225
XGB,BASE+species,25.868297899543382,51.46754326348357,0.7614998173515982,0.9201363050129092,0.4795269406392695,0.3622697103909173,-0.4986747031963471,-0.18335461324298957
