feature,VIF
fx_SWC_roll14,13060.0
fx_SWC_roll7,6790.6
fx_SWC_lag7,2197.0
fx_TS_roll14,1849.5
fx_SWC_mean,1493.6
fx_TS_roll7,1180.4
fx_SWC_lag14,1132.3
fx_TA_mean,606.5
fx_SWC_lag21,522.7
fx_TA_max,345.8
fx_TS_mean,341.9
fx_TS_lag7,313.4
fx_SWC_lag28,303.2
fx_TS_lag14,181.8
fx_TS_lag21,107.2
fx_TA_min,90.6
fx_TS_lag28,80.3
fx_PPFD_mean,69.2
fx_RN_mean,43.3
ar_ch4_drm7,26.8
fx_SWIN_mean,23.7
fx_DOY_cos,14.0
fx_WS_mean,11.8
fx_is_growing,11.6
fx_VPD_mean,10.2
fx_USTAR_mean,9.4
ar_ch4_dlag3,5.6
ar_ch4_dlag7,5.2
fx_grazing_active,5.1
ar_ch4_dlag2,4.9
fx_lsu_dens,4.8
ar_ch4_dlag1,4.7
fx_DOY_sin,3.3
fx_is_winter,3.3
fx_days_since_grazing,2.2
ar_ch4_dlag14,2.2
fx_wd_sin,1.7
fx_wd_cos,1.7
fx_PRECIP_sum,1.5
ar_fc_dlag1,1.5
fx_SHF_mean,1.1
