variable,tower,n,min,max,mean,median,mean_median_ratio,bound,n_beyond_bound,pct_beyond_bound
SWIN_1_1_1,2,36958,-5.59,1066.54,121.99,4.21,28.98,"[0,1400]",16733,45.276
SWIN_1_1_1,4,52909,-5.76,995.62,129.05,8.11,15.92,"[0,1400]",23166,43.785
SWIN_1_1_1,9,50153,-5.56,1011.72,134.78,10.28,13.11,"[0,1400]",21913,43.692
TA_0_0_1,2,47220,-39.61,33.08,10.14,13.81,0.73,"[-20,40]",3227,6.834
TA_0_0_1,4,55012,-6.21,34.89,13.7,14.0,0.98,"[-20,40]",0,0.0
TA_0_0_1,9,52564,-4.47,33.82,14.17,14.51,0.98,"[-20,40]",0,0.0
PPFD_1_1_1,2,37462,-6.69,1946.75,218.58,12.32,17.74,"[0,2500]",14262,38.071
PPFD_1_1_1,4,52909,-4.76,1775.51,230.3,17.07,13.49,"[0,2500]",11686,22.087
PPFD_1_1_1,9,50153,-64.75,1827.8,241.73,21.57,11.21,"[0,2500]",4292,8.558
RN_1_1_1,2,36958,-97.17,741.71,56.45,-4.48,-12.59,"[-200,1000]",0,0.0
RN_1_1_1,4,52909,-92.35,689.41,60.15,-4.4,-13.66,"[-200,1000]",0,0.0
RN_1_1_1,9,50153,-96.59,703.96,63.4,-3.63,-17.46,"[-200,1000]",0,0.0
WS_0_0_1,2,50563,0.03,1370.58,4.06,2.07,1.96,"[0,40]",312,0.617
WS_0_0_1,4,55012,0.01,1277.23,3.34,1.65,2.03,"[0,40]",265,0.482
WS_0_0_1,9,52564,0.03,703.53,3.08,1.94,1.59,"[0,40]",230,0.438
SHF_1_1_1,2,26585,-53.93,178.96,-1.43,-2.39,0.6,"[-200,200]",0,0.0
SHF_1_1_1,4,52909,-22.24,46.69,-0.06,-0.23,0.27,"[-200,200]",0,0.0
SHF_1_1_1,9,50153,-22.69,106.57,-0.28,-0.85,0.33,"[-200,200]",0,0.0
Precipitation (mm),2,50997,0.0,4.65,0.02,0.0,,"[0,100]",0,0.0
Precipitation (mm),4,53984,0.0,4.55,0.03,0.0,,"[0,100]",0,0.0
Precipitation (mm),9,38328,0.0,3.8,0.03,0.0,,"[0,100]",0,0.0
Soil Temperature @ 15cm Depth (oC),2,52768,1.0,20.0,9.9,9.35,1.06,"[-10,35]",0,0.0
Soil Temperature @ 15cm Depth (oC),4,40217,1.62,20.0,10.35,9.81,1.05,"[-10,35]",0,0.0
Soil Temperature @ 15cm Depth (oC),9,48413,0.5,21.62,10.96,10.29,1.06,"[-10,35]",0,0.0
Soil Moisture @ 10cm Depth (%),2,49775,12.53,40.67,34.26,38.31,0.89,"[0,100]",0,0.0
Soil Moisture @ 10cm Depth (%),4,39604,17.15,42.98,35.0,38.38,0.91,"[0,100]",0,0.0
Soil Moisture @ 10cm Depth (%),9,46304,20.82,39.62,33.91,36.22,0.94,"[0,100]",0,0.0
