tower,scenario,R2,RMSE,MAE,MBE
2,vs,0.5740481961947477,88.49006571194093,31.25384142251714,1.804050196648427
2,s,0.7301917892608962,90.4171160680605,32.29542882220963,-1.878985852003314
2,m,0.7061037343358382,75.29403904717009,29.9937892086228,2.6759763235126393
2,l,0.21959174555666,74.35120718883311,34.13365890455648,11.881129198694222
2,m1,0.552066960220085,62.41088315914769,31.040503169910927,7.020004737871647
4,vs,0.4275538510808019,94.72552229812338,40.28813773438274,4.149027728584793
4,s,0.42398099944206463,102.67927854606303,42.880276859131854,3.7221464603879184
4,m,0.4024057762174396,104.32795558734932,44.23337830000772,2.8359370838112223
4,l,0.2660809891616784,100.40395972772157,45.554910223667434,6.773057932993419
4,m1,0.33033407846878177,91.09072889847619,40.24977006497438,2.295701598648522
9,vs,0.46093670424163097,101.32879346135199,46.6608332069803,1.1735177837892041
9,s,0.3716551023492612,112.12130609855909,49.29680263484016,-0.30703261777296476
9,m,0.4244633461843902,113.52560630920492,50.33485698248496,1.2114909824963382
9,l,0.23729996730382374,107.25292915779374,49.212048135428304,-0.4047607463182804
9,m1,0.41849651504626395,102.05929994941904,49.35649054619431,0.6758590342059688
