variable,tower,config,n,min,max,mean,median
WS_0_0_1,2,E_production,70153,0.028,32.199,2.703,2.402
TA_0_0_1,2,E_production,70153,-7.237,32.117,10.562,10.363
WS_0_0_1,4,E_production,70153,0.028,32.199,2.703,2.402
TA_0_0_1,4,E_production,70153,-7.237,32.117,10.562,10.363
WS_0_0_1,9,E_production,70153,0.028,32.199,2.703,2.402
TA_0_0_1,9,E_production,70153,-7.237,32.117,10.562,10.363
WS_0_0_1,2,A_baseline,50563,0.03,1370.584,4.061,2.074
TA_0_0_1,2,A_baseline,47220,-39.607,33.077,10.139,13.807
WS_0_0_1,4,A_baseline,55012,0.014,1277.227,3.342,1.649
TA_0_0_1,4,A_baseline,55012,-6.208,34.889,13.698,13.999
WS_0_0_1,9,A_baseline,52564,0.025,703.53,3.08,1.942
TA_0_0_1,9,A_baseline,52564,-4.469,33.817,14.173,14.509
WS_0_0_1,2,B_truncate,50251,0.03,39.824,2.485,2.061
TA_0_0_1,2,B_truncate,43993,-19.731,33.077,13.774,14.276
WS_0_0_1,4,B_truncate,54747,0.014,39.692,2.048,1.636
TA_0_0_1,4,B_truncate,55012,-6.208,34.889,13.698,13.999
WS_0_0_1,9,B_truncate,52334,0.025,39.608,2.366,1.934
TA_0_0_1,9,B_truncate,52564,-4.469,33.817,14.173,14.509
WS_0_0_1,2,C_winsorize,50563,0.03,10.624,2.496,2.074
TA_0_0_1,2,C_winsorize,47220,2.123,33.077,13.134,13.807
WS_0_0_1,4,C_winsorize,55012,0.014,8.342,2.025,1.649
TA_0_0_1,4,C_winsorize,55012,6.509,34.889,13.982,13.999
WS_0_0_1,9,C_winsorize,52564,0.025,9.644,2.357,1.942
TA_0_0_1,9,C_winsorize,52564,7.467,33.817,14.456,14.509
WS_0_0_1,2,D_hampel,50563,0.03,135.807,2.47,2.039
TA_0_0_1,2,D_hampel,47220,-39.607,33.077,10.128,13.782
WS_0_0_1,4,D_hampel,55012,0.014,114.742,2.018,1.621
TA_0_0_1,4,D_hampel,55012,-6.208,34.889,13.701,14.009
WS_0_0_1,9,D_hampel,52564,0.025,140.014,2.333,1.929
TA_0_0_1,9,D_hampel,52564,-4.469,33.817,14.179,14.512
WS_0_0_1,2,D2_hampel_wide_T2,50563,0.03,135.807,2.47,2.039
TA_0_0_1,2,D2_hampel_wide_T2,47220,-39.607,32.723,10.24,13.876
