family,horizon,tower,delta_R2
species,1,4,0.0001419551050353407
species,1,9,-0.004097606706436219
species,14,4,0.009689810057268544
species,14,9,-0.02363640284393409
arable,1,4,0.0024132375634351444
arable,1,9,0.00027253108166547246
arable,14,4,0.0030483045550601107
arable,14,9,-0.00047927258724556054
flow,1,4,-0.003317199431797757
flow,1,9,0.008432147148621838
flow,14,4,-0.010939000233830543
flow,14,9,-0.004221813947540731
mgmt,1,4,-0.000906637579111691
mgmt,1,9,-0.008588187301557748
mgmt,14,4,-0.008131823711338027
mgmt,14,9,-0.010323954597919904
bodyweight,1,4,-0.05291428543835608
bodyweight,1,9,0.005476645715206563
bodyweight,14,4,-0.04686035617707751
bodyweight,14,9,-0.0003382847215249729
