config,horizon,tower,n_test,RMSE,MAE,R2
BASE,1,4,567,54.77038964553666,32.28097145886786,0.3647112397488702
BASE,1,9,458,51.446244484010315,29.809996566927932,0.3848980440210247
BASE+species,1,4,567,54.76427008914211,32.313665152723225,0.36485319485390555
BASE+species,1,9,458,51.61731901733351,29.81266159726702,0.38080043731458846
BASE+arable,1,4,567,54.666263986897356,32.16501012625427,0.36712447731230535
BASE+arable,1,9,458,51.43484616712119,29.7103473344067,0.38517057510269015
BASE+flow,1,4,567,54.91319695222649,33.82552261925777,0.36139404031707245
BASE+flow,1,9,458,51.09240129063116,30.158558453721163,0.3933301911696465
BASE+mgmt,1,4,567,54.809457855570905,32.777421954581406,0.3638046021697585
BASE+mgmt,1,9,458,51.80415134901834,30.115316190925466,0.37630985671946693
BASE+bodyweight,1,4,567,57.0057337234141,33.24444505868209,0.31179695431051413
BASE+bodyweight,1,9,458,51.2167030106712,29.509722569584824,0.39037468973623124
BASE+ALL,1,4,567,56.68049029205699,35.18615732014714,0.31962756957885263
BASE+ALL,1,9,458,52.15441696571349,31.29832342600906,0.3678473787524803
SWAP_species_for_lsu,1,4,567,54.429312649057714,32.10573543277339,0.37259899442656563
SWAP_species_for_lsu,1,9,458,52.00395365964469,30.265030069456735,0.37148958496816864
BASE,14,4,567,58.320645305994866,35.42009667168245,0.27968219156467344
BASE,14,9,458,52.502696496036116,30.89406618474517,0.3593763441457347
BASE+species,14,4,567,57.92704864363365,34.798035973258386,0.289372001621942
BASE+species,14,9,458,53.46249135055778,30.97253852788613,0.3357399413018006
BASE+arable,14,4,567,58.19711124158299,35.23165609918807,0.28273049611973355
BASE+arable,14,9,458,52.522332360534,30.6473484841041,0.35889707155848916
BASE+flow,14,4,567,58.761815617427864,37.002803929325495,0.2687431913308429
BASE+flow,14,9,458,52.67541305469221,31.73379018483476,0.355154530198194
BASE+mgmt,14,4,567,58.648918615623344,36.24329897116898,0.2715503678533354
BASE+mgmt,14,9,458,52.924058618228884,31.048305876214265,0.3490523895478148
BASE+bodyweight,14,4,567,60.18778507256002,35.80708921575185,0.23282183538759593
BASE+bodyweight,14,9,458,52.516556830290824,30.396667909132198,0.35903805942420974
BASE+ALL,14,4,567,60.34718569626427,38.09389478572209,0.2287528831331247
BASE+ALL,14,9,458,53.151895284295065,32.012718513852235,0.3434357013360534
SWAP_species_for_lsu,14,4,567,57.546769473288485,34.97347748033525,0.2986716295741423
SWAP_species_for_lsu,14,9,458,53.33407507356108,31.149573440225875,0.3389271985574013
