track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,1,4,persist,151.252,53.739,-0.092,1.078,7109,0.0,-0.038,1.0908,1.0,1.1924,3.0518,446
A,1,4,clim,145.675,60.133,-0.013,0.459,7109,0.037,0.0,1.2206,1.119,1.4327,4.0992,446
A,1,4,RF,134.929,53.002,0.131,2.727,7109,0.108,0.074,1.0758,0.9863,1.2669,3.3236,446
A,1,4,XGB,135.701,55.195,0.121,3.382,7109,0.103,0.068,1.1204,1.0271,1.306,3.4795,446
A,1,9,persist,138.12,53.948,-0.021,0.32,5848,0.0,0.005,0.9984,1.0,1.1681,2.8099,325
A,1,9,clim,138.811,65.52,-0.031,1.924,5848,-0.005,0.0,1.2126,1.2145,1.4104,4.2192,325
A,1,9,RF,125.825,55.136,0.153,2.418,5848,0.089,0.094,1.0204,1.022,1.2593,3.2397,325
A,1,9,XGB,129.944,59.165,0.096,5.791,5848,0.059,0.064,1.095,1.0967,1.2852,3.6131,325
A,1,2,persist,108.479,31.993,-0.102,1.247,2880,0.0,0.025,0.8813,1.0,0.9955,3.294,178
A,1,2,clim,111.302,44.388,-0.16,4.344,2880,-0.026,0.0,1.2228,1.3875,1.2363,4.0108,178
A,1,2,RF,99.809,34.992,0.067,-8.253,2880,0.08,0.103,0.964,1.0938,1.1584,2.0501,178
A,1,2,XGB,106.329,40.538,-0.059,-4.683,2880,0.02,0.045,1.1167,1.2671,1.2506,2.8178,178
A,6,4,persist,179.163,67.776,-0.532,3.487,7109,0.0,-0.23,1.3757,1.0,1.3871,4.5262,446
A,6,4,clim,145.675,60.133,-0.013,0.459,7109,0.187,0.0,1.2206,0.8872,1.4327,4.0992,446
A,6,4,RF,142.792,60.77,0.027,10.227,7109,0.203,0.02,1.2335,0.8966,1.3518,4.2527,446
A,6,4,XGB,143.301,61.393,0.02,10.371,7109,0.2,0.016,1.2462,0.9058,1.3646,4.3145,446
A,6,9,persist,170.668,72.234,-0.559,1.846,5848,0.0,-0.229,1.3369,1.0,1.3838,4.4411,325
A,6,9,clim,138.811,65.52,-0.031,1.924,5848,0.187,0.0,1.2126,0.9071,1.4104,4.2192,325
A,6,9,RF,132.63,61.99,0.059,9.105,5848,0.223,0.045,1.1473,0.8582,1.3184,3.8078,325
A,6,9,XGB,138.348,65.958,-0.024,10.916,5848,0.189,0.003,1.2207,0.9131,1.3471,4.2017,325
