feature,mean_abs_shap
fx_lsu_dens,31.840099132928074
ar_ch4_lag1,9.084479162399573
ar_ch4_lag24,7.3339224612362095
fx_mgmt_manure,4.9423330595500214
fx_WS_0_0_1,4.081702504269455
fx_VPD_0_0_1,2.690965220919189
ar_ch4_lag48,2.2543331489043705
ar_ch4_lag2,2.1351867652516527
fx_USTAR_0_0_1,2.0726468957338313
ar_fc_t,1.7784375454861159
ar_ch4_rmean24,1.748358595556794
ar_ch4_lag168,1.724546254190967
fx_PPFD_1_1_1,1.686447441645336
fx_mgmt_cut,1.5640854807493025
ar_reco_t,1.5016371939178783
fx_hs,1.4855514120408495
ar_fc_lag168,1.4262951903262575
ar_ch4_rmean168,1.3684518354398718
ar_ch4_lag12,1.3022894734499402
fx_ds,1.2370689390843683
fx_SHF_1_1_1,1.0735839044553899
fx_SWIN_1_1_1,1.0712946420135028
ar_reco_lag24,1.0579132152262176
ar_ch4_lag3,1.0262958009850969
fx_RN_1_1_1,0.954927669563515
fx_Soil Moisture @ 10cm Depth (%),0.9340929703628723
ar_gpp_lag24,0.9338459594715349
fx_TA_0_0_1,0.9253049765927948
ar_gpp_t,0.9014081811513427
fx_hc,0.807385908832491
ar_fc_lag24,0.7953410242691302
ar_reco_lag168,0.7859983283399082
ar_ch4_rstd24,0.7079616210658398
ar_ch4_lag6,0.660265869503725
fx_dc,0.6124736060495264
fx_Soil Temperature @ 15cm Depth (oC),0.4734607249851584
ar_gpp_lag168,0.3739043448126084
fx_Precipitation (mm),0.29453526990968903
is_t9,0.10581353167392527
is_t4,0.09672172035749307
is_t2,0.053865234454152845
fx_graze,0.03156438041738122
