method,model,horizon,family,value
perm,RF,1,ch4_ar,12.752
perm,LSTM,1,ch4_ar,53.018
perm,RF,1,flux_lag,2.111
perm,LSTM,1,flux_lag,8.392
perm,RF,1,met,2.022
perm,LSTM,1,met,8.683
perm,RF,1,planned,2.606
perm,LSTM,1,planned,-8.88
perm,RF,1,calendar,0.087
perm,LSTM,1,calendar,-3.209
perm,RF,1,tower,0.0
perm,LSTM,1,tower,0.0
perm,RF,24,ch4_ar,3.857
perm,LSTM,24,ch4_ar,-0.013
perm,RF,24,flux_lag,-0.822
perm,LSTM,24,flux_lag,-0.225
perm,RF,24,met,2.658
perm,LSTM,24,met,39.524
perm,RF,24,planned,5.363
perm,LSTM,24,planned,7.162
perm,RF,24,calendar,0.721
perm,LSTM,24,calendar,7.957
perm,RF,24,tower,0.0
perm,LSTM,24,tower,0.0
perm,RF,48,ch4_ar,1.773
perm,LSTM,48,ch4_ar,0.253
perm,RF,48,flux_lag,0.16
perm,LSTM,48,flux_lag,0.014
perm,RF,48,met,3.466
perm,LSTM,48,met,37.607
perm,RF,48,planned,8.782
perm,LSTM,48,planned,7.475
perm,RF,48,calendar,0.834
perm,LSTM,48,calendar,13.976
perm,RF,48,tower,0.0
perm,LSTM,48,tower,0.0
