anchor_year,eval_tower,model,bin,date,feature,shap_value
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag1,-0.3288015196014695
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag2,0.4627404247686827
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag3,0.4147423784890498
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag7,0.07570890516961941
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag14,0.12757967887768454
2018,2,RF,1-7,2018-12-18,ar_ch4_drm7,-0.2035759096090475
2018,2,RF,1-7,2018-12-18,fx_WS_mean,3.4957146637198013
2018,2,RF,1-7,2018-12-18,fx_USTAR_mean,5.23995732626696
2018,2,RF,1-7,2018-12-18,fx_TA_mean,-0.20598167025182543
2018,2,RF,1-7,2018-12-18,fx_TA_min,-0.0633312762222928
2018,2,RF,1-7,2018-12-18,fx_TA_max,-0.46068564877446155
2018,2,RF,1-7,2018-12-18,fx_VPD_mean,-0.37825678004871927
2018,2,RF,1-7,2018-12-18,fx_SWIN_mean,0.6398486655745577
2018,2,RF,1-7,2018-12-18,fx_RN_mean,-0.07235261789954947
2018,2,RF,1-7,2018-12-18,fx_PPFD_mean,-0.27344154930859105
2018,2,RF,1-7,2018-12-18,fx_SWC_mean,-0.3874278468731748
2018,2,RF,1-7,2018-12-18,fx_TS_mean,0.14010276057378784
2018,2,RF,1-7,2018-12-18,fx_SHF_mean,-0.2217148605204978
2018,2,RF,1-7,2018-12-18,fx_PRECIP_sum,8.274931631957612
2018,2,RF,1-7,2018-12-18,fx_wd_sin,0.43496214335526195
2018,2,RF,1-7,2018-12-18,fx_wd_cos,0.6917989748767162
2018,2,RF,1-7,2018-12-18,fx_SWC_lag7,0.04387052267753978
2018,2,RF,1-7,2018-12-18,fx_TS_lag7,0.193127404937843
2018,2,RF,1-7,2018-12-18,fx_SWC_lag14,0.042360438666808505
2018,2,RF,1-7,2018-12-18,fx_TS_lag14,0.13385301361855678
2018,2,RF,1-7,2018-12-18,fx_SWC_lag21,-0.08708297930197535
2018,2,RF,1-7,2018-12-18,fx_TS_lag21,0.18646678319303286
2018,2,RF,1-7,2018-12-18,fx_SWC_lag28,0.16171972124528422
2018,2,RF,1-7,2018-12-18,fx_TS_lag28,0.1165075587801455
2018,2,RF,1-7,2018-12-18,fx_SWC_roll7,-0.2612223373017282
2018,2,RF,1-7,2018-12-18,fx_TS_roll7,-0.10755447695246219
2018,2,RF,1-7,2018-12-18,fx_SWC_roll14,-0.11937639521423114
2018,2,RF,1-7,2018-12-18,fx_TS_roll14,-0.05543871772741723
