target,tower,n_test,rf_r2,rf_rmse,clim_r2,clim_rmse,winner
fx_WS_mean,2,730,0.4072,1.18,0.0376,1.504,RF
fx_WS_mean,4,730,0.4146,1.173,0.0376,1.504,RF
fx_WS_mean,9,730,0.2679,1.312,0.0376,1.504,RF
fx_VPD_mean,2,730,0.1629,3.389,0.1046,3.505,RF
fx_VPD_mean,4,730,0.0835,2.751,-0.0986,3.012,RF
fx_VPD_mean,9,730,-0.2475,1.876,-0.9498,2.345,RF
fx_PPFD_mean,2,730,0.0371,107.096,-0.0342,110.991,RF
fx_PPFD_mean,4,730,0.8748,50.481,0.5452,96.204,RF
fx_PPFD_mean,9,730,0.6091,80.652,0.3599,103.206,RF
fx_RN_mean,2,730,0.0388,37.634,0.0807,36.804,Climatology
fx_RN_mean,4,730,0.812,22.186,0.6164,31.691,RF
fx_RN_mean,9,730,0.4961,32.056,0.3648,35.991,RF
fx_TS_mean,2,730,0.6949,1.724,0.5685,2.051,RF
fx_TS_mean,4,730,-2.8358,3.002,-2.2851,2.778,Climatology
fx_TS_mean,9,730,-1.6296,3.61,-1.4137,3.459,Climatology
fx_SWC_mean,2,730,0.4423,6.267,0.2421,7.306,RF
fx_SWC_mean,4,730,-2.111,6.287,-1.1363,5.21,Climatology
fx_SWC_mean,9,730,-0.317,3.883,-0.4281,4.043,RF
