bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
1-7,6,-0.484,11.955,10.107,0.2751,0.5562,0.862,TabPFN,2018,2,A_removal
8-30,21,-0.281,11.862,7.704,0.1654,0.8273,0.141,TabPFN,2018,2,A_removal
31-90,32,-0.249,14.373,9.418,0.2071,0.811,0.01,TabPFN,2018,2,A_removal
91-180,43,-0.437,27.378,19.69,0.3203,1.2426,-0.058,TabPFN,2018,2,A_removal
181-270,0,,,,,,,TabPFN,2018,2,A_removal
271-365,0,,,,,,,TabPFN,2018,2,A_removal
1-7,6,0.781,4.594,3.86,0.1051,0.2124,0.901,TabICLv2,2018,2,A_removal
8-30,21,-0.359,12.215,8.0,0.1717,0.8591,-0.327,TabICLv2,2018,2,A_removal
31-90,32,-0.122,13.618,8.94,0.1966,0.7698,-0.001,TabICLv2,2018,2,A_removal
91-180,43,-0.553,28.462,20.891,0.3398,1.3184,-0.117,TabICLv2,2018,2,A_removal
181-270,0,,,,,,,TabICLv2,2018,2,A_removal
271-365,0,,,,,,,TabICLv2,2018,2,A_removal
1-7,6,-1.014,13.927,11.921,0.3244,0.656,0.912,TabPFN,2018,2,B_resample
8-30,21,-0.611,13.303,9.219,0.1979,0.99,0.045,TabPFN,2018,2,B_resample
31-90,32,-0.445,15.457,10.613,0.2333,0.9139,-0.121,TabPFN,2018,2,B_resample
91-180,43,-0.374,26.774,18.864,0.3068,1.1905,-0.144,TabPFN,2018,2,B_resample
181-270,0,,,,,,,TabPFN,2018,2,B_resample
271-365,0,,,,,,,TabPFN,2018,2,B_resample
1-7,6,0.439,7.347,5.635,0.1533,0.3101,0.958,TabICLv2,2018,2,B_resample
8-30,21,-0.574,13.147,8.92,0.1915,0.9579,0.011,TabICLv2,2018,2,B_resample
31-90,32,-0.426,15.357,10.846,0.2385,0.934,-0.013,TabICLv2,2018,2,B_resample
91-180,43,-0.533,28.275,20.466,0.3329,1.2916,-0.055,TabICLv2,2018,2,B_resample
181-270,0,,,,,,,TabICLv2,2018,2,B_resample
271-365,0,,,,,,,TabICLv2,2018,2,B_resample
1-7,1,,,,,,,TabPFN,2018,4,A_removal
8-30,7,-0.268,9.62,5.91,0.3896,0.8451,0.224,TabPFN,2018,4,A_removal
