bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
1-7,0,,,,,,,TabPFN,2021,2,A_removal
8-30,0,,,,,,,TabPFN,2021,2,A_removal
31-90,0,,,,,,,TabPFN,2021,2,A_removal
91-180,0,,,,,,,TabPFN,2021,2,A_removal
181-270,0,,,,,,,TabPFN,2021,2,A_removal
271-365,0,,,,,,,TabPFN,2021,2,A_removal
1-7,0,,,,,,,TabICLv2,2021,2,A_removal
8-30,0,,,,,,,TabICLv2,2021,2,A_removal
31-90,0,,,,,,,TabICLv2,2021,2,A_removal
91-180,0,,,,,,,TabICLv2,2021,2,A_removal
181-270,0,,,,,,,TabICLv2,2021,2,A_removal
271-365,0,,,,,,,TabICLv2,2021,2,A_removal
1-7,0,,,,,,,TabPFN,2021,2,B_resample
8-30,0,,,,,,,TabPFN,2021,2,B_resample
31-90,0,,,,,,,TabPFN,2021,2,B_resample
91-180,0,,,,,,,TabPFN,2021,2,B_resample
181-270,0,,,,,,,TabPFN,2021,2,B_resample
271-365,0,,,,,,,TabPFN,2021,2,B_resample
1-7,0,,,,,,,TabICLv2,2021,2,B_resample
8-30,0,,,,,,,TabICLv2,2021,2,B_resample
31-90,0,,,,,,,TabICLv2,2021,2,B_resample
91-180,0,,,,,,,TabICLv2,2021,2,B_resample
181-270,0,,,,,,,TabICLv2,2021,2,B_resample
271-365,0,,,,,,,TabICLv2,2021,2,B_resample
1-7,3,-1.679,3.959,3.23,1.3012,0.3651,0.407,TabPFN,2021,4,A_removal
8-30,19,-0.001,17.292,12.712,1.0002,0.8485,0.009,TabPFN,2021,4,A_removal
31-90,50,-0.078,21.289,12.916,0.9947,0.7482,0.225,TabPFN,2021,4,A_removal
91-180,90,-0.064,102.545,51.681,0.7964,0.7081,0.259,TabPFN,2021,4,A_removal
181-270,88,0.058,97.971,62.117,0.916,0.8708,0.497,TabPFN,2021,4,A_removal
271-365,91,0.209,29.067,18.451,0.8857,0.8313,0.507,TabPFN,2021,4,A_removal
1-7,3,-39.89,15.468,15.187,6.1184,1.7167,-0.359,TabICLv2,2021,4,A_removal
8-30,19,-0.08,17.96,14.019,1.103,0.9358,0.002,TabICLv2,2021,4,A_removal
31-90,50,-0.137,21.863,13.385,1.0308,0.7753,-0.011,TabICLv2,2021,4,A_removal
91-180,90,-0.112,104.809,54.938,0.8466,0.7528,0.246,TabICLv2,2021,4,A_removal
181-270,88,-0.048,103.357,69.454,1.0242,0.9736,0.099,TabICLv2,2021,4,A_removal
271-365,91,-0.639,41.844,26.775,1.2853,1.2064,0.381,TabICLv2,2021,4,A_removal
1-7,3,-0.42,2.883,2.542,1.0243,0.2874,0.271,TabPFN,2021,4,B_resample
8-30,19,0.004,17.254,12.675,0.9973,0.8461,0.163,TabPFN,2021,4,B_resample
31-90,50,-0.073,21.246,12.973,0.999,0.7515,0.222,TabPFN,2021,4,B_resample
91-180,90,-0.068,102.728,51.231,0.7895,0.702,0.326,TabPFN,2021,4,B_resample
181-270,88,0.012,100.369,62.757,0.9255,0.8797,0.43,TabPFN,2021,4,B_resample
271-365,91,0.219,28.89,18.451,0.8857,0.8313,0.516,TabPFN,2021,4,B_resample
