bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
1-7,7,-1.137,37.275,26.238,0.8597,0.7878,-0.113,TabPFN,2018,2,A_removal,0.8571428571428571
8-30,23,-0.594,9.886,6.695,0.1445,0.7593,0.088,TabPFN,2018,2,A_removal,0.9130434782608695
31-90,60,-0.887,30.347,21.305,0.6127,0.8445,0.196,TabPFN,2018,2,A_removal,0.5333333333333333
91-180,90,-0.376,10.519,7.987,0.1607,1.014,-0.153,TabPFN,2018,2,A_removal,0.4777777777777778
181-270,90,-4.16,10.941,9.52,0.1838,1.9564,0.182,TabPFN,2018,2,A_removal,0.0
271-365,95,-0.452,12.634,8.225,0.182,0.8049,-0.28,TabPFN,2018,2,A_removal,0.0
1-7,7,-0.707,33.317,19.65,0.6438,0.59,-0.061,TabICLv2,2018,2,A_removal,0.8571428571428571
8-30,23,-0.678,10.143,6.851,0.1479,0.7769,-0.359,TabICLv2,2018,2,A_removal,0.9130434782608695
31-90,60,-0.793,29.582,19.821,0.57,0.7856,-0.017,TabICLv2,2018,2,A_removal,0.5333333333333333
91-180,90,-0.708,11.717,9.266,0.1864,1.1764,-0.173,TabICLv2,2018,2,A_removal,0.4777777777777778
181-270,90,-10.074,16.027,14.939,0.2884,3.0699,0.287,TabICLv2,2018,2,A_removal,0.0
271-365,95,-0.053,10.761,7.4,0.1637,0.7242,0.183,TabICLv2,2018,2,A_removal,0.0
1-7,7,-1.211,37.918,27.692,0.9073,0.8315,-0.065,TabPFN,2018,2,B_resample,0.8571428571428571
8-30,23,-1.16,11.507,8.683,0.1874,0.9847,0.005,TabPFN,2018,2,B_resample,0.9130434782608695
31-90,60,-1.062,31.726,23.327,0.6708,0.9246,0.314,TabPFN,2018,2,B_resample,0.5333333333333333
91-180,90,-0.338,10.373,7.814,0.1572,0.992,-0.24,TabPFN,2018,2,B_resample,0.4777777777777778
181-270,90,-4.407,11.199,9.75,0.1882,2.0037,0.126,TabPFN,2018,2,B_resample,0.0
271-365,95,-0.649,13.464,9.012,0.1994,0.8819,-0.304,TabPFN,2018,2,B_resample,0.0
1-7,7,-0.761,33.842,21.261,0.6966,0.6384,-0.061,TabICLv2,2018,2,B_resample,0.8571428571428571
8-30,23,-1.086,11.31,8.317,0.1795,0.9432,-0.016,TabICLv2,2018,2,B_resample,0.9130434782608695
31-90,60,-1.061,31.715,23.231,0.6681,0.9208,0.258,TabICLv2,2018,2,B_resample,0.5333333333333333
91-180,90,-0.818,12.09,9.516,0.1915,1.2082,-0.125,TabICLv2,2018,2,B_resample,0.4777777777777778
181-270,90,-5.431,12.214,11.283,0.2178,2.3186,0.442,TabICLv2,2018,2,B_resample,0.0
271-365,95,-0.47,12.714,8.46,0.1872,0.8279,-0.208,TabICLv2,2018,2,B_resample,0.0
1-7,7,-1.25,31.963,23.748,1.6306,0.7306,-0.198,TabPFN,2018,4,A_removal,0.14285714285714285
8-30,23,-0.636,15.093,11.601,1.0077,0.7152,0.836,TabPFN,2018,4,A_removal,0.30434782608695654
31-90,60,-0.983,26.381,19.146,1.313,0.8918,0.51,TabPFN,2018,4,A_removal,0.55
91-180,90,-0.035,14.428,9.899,0.6583,0.8061,0.074,TabPFN,2018,4,A_removal,0.9222222222222223
181-270,90,-0.442,66.411,45.601,0.8584,0.6817,0.423,TabPFN,2018,4,A_removal,0.8
271-365,95,-0.038,39.961,25.819,0.9611,0.7731,0.621,TabPFN,2018,4,A_removal,0.7052631578947368
1-7,7,-1.161,31.322,22.855,1.5692,0.7032,-0.024,TabICLv2,2018,4,A_removal,0.14285714285714285
8-30,23,-0.897,16.254,12.452,1.0817,0.7676,0.828,TabICLv2,2018,4,A_removal,0.30434782608695654
31-90,60,-0.771,24.926,17.104,1.1729,0.7966,0.038,TabICLv2,2018,4,A_removal,0.55
91-180,90,-2.377,26.062,20.598,1.3697,1.6772,-0.223,TabICLv2,2018,4,A_removal,0.9222222222222223
181-270,90,-0.362,64.539,44.444,0.8367,0.6644,0.21,TabICLv2,2018,4,A_removal,0.8
271-365,95,-0.084,40.841,26.665,0.9927,0.7985,0.412,TabICLv2,2018,4,A_removal,0.7052631578947368
1-7,7,-1.731,35.213,27.98,1.9211,0.8608,-0.234,TabPFN,2018,4,B_resample,0.14285714285714285
8-30,23,-1.187,17.455,13.491,1.1719,0.8317,0.79,TabPFN,2018,4,B_resample,0.30434782608695654
31-90,60,-1.049,26.813,19.66,1.3482,0.9157,0.506,TabPFN,2018,4,B_resample,0.55
91-180,90,-0.131,15.084,11.018,0.7326,0.8971,-0.034,TabPFN,2018,4,B_resample,0.9222222222222223
181-270,90,-0.539,68.612,48.256,0.9084,0.7214,0.343,TabPFN,2018,4,B_resample,0.8
271-365,95,-0.137,41.832,27.272,1.0152,0.8166,0.582,TabPFN,2018,4,B_resample,0.7052631578947368
1-7,7,-1.302,32.327,24.391,1.6747,0.7504,0.1,TabICLv2,2018,4,B_resample,0.14285714285714285
8-30,23,-0.955,16.501,12.528,1.0883,0.7723,0.819,TabICLv2,2018,4,B_resample,0.30434782608695654
31-90,60,-0.995,26.456,18.788,1.2884,0.8751,-0.511,TabICLv2,2018,4,B_resample,0.55
91-180,90,-3.043,28.516,22.651,1.5062,1.8444,-0.211,TabICLv2,2018,4,B_resample,0.9222222222222223
181-270,90,-0.471,67.081,46.878,0.8825,0.7008,0.19,TabICLv2,2018,4,B_resample,0.8
271-365,95,-0.116,41.435,27.092,1.0085,0.8113,0.454,TabICLv2,2018,4,B_resample,0.7052631578947368
1-7,7,-0.62,73.477,45.461,1.5977,1.0,,TabPFN,2018,9,A_removal,0.0
8-30,23,-0.438,55.288,30.52,1.6103,1.0,,TabPFN,2018,9,A_removal,0.0
31-90,60,-0.723,57.134,37.012,1.5078,1.0,,TabPFN,2018,9,A_removal,0.0
91-180,90,-1.875,18.897,15.261,2.0306,1.0,,TabPFN,2018,9,A_removal,0.0
181-270,90,-2.849,111.056,95.57,1.1969,1.0,,TabPFN,2018,9,A_removal,0.0
271-365,95,-1.168,40.378,29.639,1.5457,1.0,,TabPFN,2018,9,A_removal,0.0
1-7,7,-0.62,73.477,45.461,1.5977,1.0,0.565,TabICLv2,2018,9,A_removal,0.0
