bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
1-7,7,-9.585,8.504,8.137,4.0269,0.8105,0.424,TabPFN,2021,2,A_removal,0.0
8-30,23,-2.374,22.029,18.236,1.5128,0.8404,-0.468,TabPFN,2021,2,A_removal,0.0
31-90,60,-1.503,24.676,19.177,1.5999,0.8915,0.098,TabPFN,2021,2,A_removal,0.0
91-180,90,-2.916,25.519,22.135,1.767,1.0013,0.201,TabPFN,2021,2,A_removal,0.0
181-270,90,-1.917,30.704,24.347,1.3131,0.9283,-0.423,TabPFN,2021,2,A_removal,0.0
271-365,95,-0.198,8.787,6.207,0.9491,0.774,0.492,TabPFN,2021,2,A_removal,0.0
1-7,7,-4.993,6.398,5.949,2.9439,0.5925,0.541,TabICLv2,2021,2,A_removal,0.0
8-30,23,-1.765,19.94,16.021,1.3291,0.7383,0.249,TabICLv2,2021,2,A_removal,0.0
31-90,60,-1.361,23.969,18.34,1.5301,0.8526,0.164,TabICLv2,2021,2,A_removal,0.0
91-180,90,-2.502,24.133,21.145,1.688,0.9565,0.467,TabICLv2,2021,2,A_removal,0.0
181-270,90,-1.492,28.378,22.167,1.1956,0.8452,-0.516,TabICLv2,2021,2,A_removal,0.0
271-365,95,0.315,6.641,4.699,0.7184,0.5859,0.577,TabICLv2,2021,2,A_removal,0.0
1-7,7,-6.131,6.98,6.529,3.2312,0.6503,0.358,TabPFN,2021,2,B_resample,0.0
8-30,23,-1.908,20.45,16.724,1.3874,0.7707,0.303,TabPFN,2021,2,B_resample,0.0
31-90,60,-1.268,23.49,17.598,1.4682,0.8181,0.071,TabPFN,2021,2,B_resample,0.0
91-180,90,-2.274,23.336,19.622,1.5665,0.8876,0.297,TabPFN,2021,2,B_resample,0.0
181-270,90,-1.64,29.208,22.755,1.2273,0.8676,-0.38,TabPFN,2021,2,B_resample,0.0
271-365,95,-0.067,8.29,5.8,0.8867,0.7232,0.524,TabPFN,2021,2,B_resample,0.0
1-7,7,-8.244,7.947,7.566,3.7443,0.7536,0.674,TabICLv2,2021,2,B_resample,0.0
8-30,23,-2.277,21.709,17.968,1.4906,0.8281,-0.23,TabICLv2,2021,2,B_resample,0.0
31-90,60,-1.14,22.816,17.208,1.4357,0.8,0.477,TabICLv2,2021,2,B_resample,0.0
91-180,90,-2.475,24.041,20.611,1.6454,0.9324,0.303,TabICLv2,2021,2,B_resample,0.0
181-270,90,-1.908,30.658,24.112,1.3005,0.9193,-0.491,TabICLv2,2021,2,B_resample,0.0
271-365,95,0.099,7.621,5.287,0.8083,0.6592,0.679,TabICLv2,2021,2,B_resample,0.0
1-7,7,-1.021,2.634,2.084,1.3014,0.1906,0.189,TabPFN,2021,4,A_removal,0.42857142857142855
8-30,23,-0.107,9.741,7.42,0.9952,0.5477,0.028,TabPFN,2021,4,A_removal,0.8260869565217391
31-90,60,-0.244,14.509,9.227,1.0044,0.5564,0.343,TabPFN,2021,4,A_removal,0.8333333333333334
91-180,90,-0.085,74.197,40.369,0.6785,0.586,0.359,TabPFN,2021,4,A_removal,1.0
181-270,90,0.071,79.711,50.935,0.8183,0.7535,0.562,TabPFN,2021,4,A_removal,0.9777777777777777
271-365,95,0.331,26.854,15.895,0.7301,0.6226,0.703,TabPFN,2021,4,A_removal,0.9578947368421052
1-7,7,-68.889,15.487,15.259,9.5298,1.396,0.17,TabICLv2,2021,4,A_removal,0.42857142857142855
8-30,23,-0.039,9.439,7.729,1.0368,0.5705,0.157,TabICLv2,2021,4,A_removal,0.8260869565217391
31-90,60,-0.337,15.042,9.806,1.0675,0.5913,0.087,TabICLv2,2021,4,A_removal,0.8333333333333334
91-180,90,-0.186,77.562,44.289,0.7444,0.6429,0.311,TabICLv2,2021,4,A_removal,1.0
181-270,90,-0.066,85.381,57.945,0.9309,0.8572,0.129,TabICLv2,2021,4,A_removal,0.9777777777777777
271-365,95,-0.176,35.618,22.67,1.0413,0.8879,0.567,TabICLv2,2021,4,A_removal,0.9578947368421052
1-7,7,-0.022,1.872,1.477,0.9224,0.1351,0.372,TabPFN,2021,4,B_resample,0.42857142857142855
8-30,23,-0.096,9.694,7.459,1.0004,0.5506,0.169,TabPFN,2021,4,B_resample,0.8260869565217391
31-90,60,-0.236,14.462,9.213,1.0029,0.5555,0.317,TabPFN,2021,4,B_resample,0.8333333333333334
91-180,90,-0.102,74.758,40.356,0.6783,0.5858,0.422,TabPFN,2021,4,B_resample,1.0
181-270,90,0.009,82.337,51.911,0.834,0.7679,0.491,TabPFN,2021,4,B_resample,0.9777777777777777
271-365,95,0.342,26.646,16.047,0.7371,0.6285,0.709,TabPFN,2021,4,B_resample,0.9578947368421052
1-7,7,-13.217,6.985,6.716,4.1943,0.6144,0.327,TabICLv2,2021,4,B_resample,0.42857142857142855
8-30,23,-0.169,10.012,7.482,1.0036,0.5523,-0.009,TabICLv2,2021,4,B_resample,0.8260869565217391
31-90,60,-0.501,15.939,10.535,1.1468,0.6352,0.12,TabICLv2,2021,4,B_resample,0.8333333333333334
91-180,90,-0.296,81.084,47.552,0.7992,0.6903,0.296,TabICLv2,2021,4,B_resample,1.0
181-270,90,-0.063,85.26,57.371,0.9217,0.8487,0.204,TabICLv2,2021,4,B_resample,0.9777777777777777
271-365,95,0.423,24.956,16.413,0.7539,0.6429,0.663,TabICLv2,2021,4,B_resample,0.9578947368421052
1-7,7,-0.272,11.079,9.89,0.8686,0.5308,0.928,TabPFN,2021,9,A_removal,0.14285714285714285
8-30,23,-0.724,17.402,13.351,0.859,0.7778,-0.21,TabPFN,2021,9,A_removal,0.5217391304347826
31-90,60,-0.386,10.67,7.581,0.3979,0.6877,0.438,TabPFN,2021,9,A_removal,0.5833333333333334
91-180,90,-0.071,69.617,46.299,0.7228,0.5636,0.684,TabPFN,2021,9,A_removal,0.9444444444444444
181-270,90,-0.472,43.082,32.418,1.1659,0.6379,0.561,TabPFN,2021,9,A_removal,0.5222222222222223
271-365,95,0.06,12.554,9.356,0.5558,0.6094,0.478,TabPFN,2021,9,A_removal,0.0
1-7,7,-0.497,12.02,9.893,0.8688,0.5309,0.927,TabICLv2,2021,9,A_removal,0.14285714285714285
8-30,23,-0.44,15.904,13.324,0.8573,0.7763,-0.356,TabICLv2,2021,9,A_removal,0.5217391304347826
31-90,60,-0.148,9.71,6.787,0.3563,0.6158,0.349,TabICLv2,2021,9,A_removal,0.5833333333333334
91-180,90,-0.652,86.453,61.87,0.9659,0.7532,0.358,TabICLv2,2021,9,A_removal,0.9444444444444444
181-270,90,-0.458,42.887,33.126,1.1914,0.6518,0.609,TabICLv2,2021,9,A_removal,0.5222222222222223
271-365,95,-0.092,13.533,9.642,0.5728,0.628,0.12,TabICLv2,2021,9,A_removal,0.0
1-7,7,-0.872,13.439,10.97,0.9634,0.5887,0.929,TabPFN,2021,9,B_resample,0.14285714285714285
8-30,23,-0.477,16.11,12.764,0.8212,0.7436,-0.281,TabPFN,2021,9,B_resample,0.5217391304347826
31-90,60,-0.361,10.573,7.433,0.3902,0.6743,-0.323,TabPFN,2021,9,B_resample,0.5833333333333334
91-180,90,-0.201,73.711,50.008,0.7807,0.6088,0.687,TabPFN,2021,9,B_resample,0.9444444444444444
181-270,90,-0.983,50.013,39.522,1.4214,0.7776,0.406,TabPFN,2021,9,B_resample,0.5222222222222223
271-365,95,-0.072,13.413,9.871,0.5864,0.6429,0.353,TabPFN,2021,9,B_resample,0.0
1-7,7,-0.818,13.247,10.865,0.9543,0.5831,0.943,TabICLv2,2021,9,B_resample,0.14285714285714285
8-30,23,-0.305,15.142,12.111,0.7793,0.7056,0.286,TabICLv2,2021,9,B_resample,0.5217391304347826
31-90,60,-0.979,12.75,9.648,0.5065,0.8753,0.179,TabICLv2,2021,9,B_resample,0.5833333333333334
91-180,90,-0.358,78.401,54.868,0.8566,0.6679,0.501,TabICLv2,2021,9,B_resample,0.9444444444444444
181-270,90,-0.479,43.193,32.833,1.1809,0.646,0.602,TabICLv2,2021,9,B_resample,0.5222222222222223
271-365,95,-0.24,14.423,11.544,0.6858,0.7519,-0.22,TabICLv2,2021,9,B_resample,0.0
1-7,7,-2.012,4.536,3.585,1.7741,0.3571,0.112,TFT,2021,2,A_removal,0.0
8-30,23,-1.868,20.309,17.032,1.413,0.7849,0.116,TFT,2021,2,A_removal,0.0
31-90,60,-1.17,22.976,15.002,1.2516,0.6974,-0.233,TFT,2021,2,A_removal,0.0
91-180,90,-1.391,19.941,16.047,1.281,0.7259,0.303,TFT,2021,2,A_removal,0.0
181-270,90,-0.231,19.943,17.866,0.9636,0.6812,0.134,TFT,2021,2,A_removal,0.0
271-365,95,-10.943,27.74,24.899,3.8069,3.1047,0.395,TFT,2021,2,A_removal,0.0
1-7,7,-26.688,13.754,11.546,5.7139,1.15,0.483,DLinear,2021,2,A_removal,0.0
8-30,23,-2.646,22.897,17.285,1.434,0.7966,-0.139,DLinear,2021,2,A_removal,0.0
31-90,60,-0.877,21.37,14.307,1.1936,0.6651,-0.17,DLinear,2021,2,A_removal,0.0
91-180,90,-1.511,20.434,15.699,1.2533,0.7102,0.001,DLinear,2021,2,A_removal,0.0
181-270,90,-1.007,25.472,20.016,1.0795,0.7631,-0.016,DLinear,2021,2,A_removal,0.0
271-365,95,-5.176,19.947,16.937,2.5895,2.1119,0.381,DLinear,2021,2,A_removal,0.0
1-7,7,-77.47,23.154,21.891,10.8335,2.1804,0.439,LSTM,2021,2,A_removal,0.0
8-30,23,-23.477,59.33,52.907,4.3892,2.4383,-0.454,LSTM,2021,2,A_removal,0.0
31-90,60,-1.982,26.934,20.126,1.6791,0.9356,-0.426,LSTM,2021,2,A_removal,0.0
91-180,90,-2.598,24.46,21.023,1.6783,0.951,0.258,LSTM,2021,2,A_removal,0.0
181-270,90,-1.791,30.033,26.679,1.4389,1.0172,-0.009,LSTM,2021,2,A_removal,0.0
271-365,95,-4.733,19.219,15.877,2.4274,1.9797,0.414,LSTM,2021,2,A_removal,0.0
1-7,7,-14.224,7.228,6.673,4.1678,0.6105,-0.181,TFT,2021,4,A_removal,0.42857142857142855
8-30,23,-1.674,15.142,11.97,1.6055,0.8835,-0.03,TFT,2021,4,A_removal,0.8260869565217391
31-90,60,-0.559,16.246,12.147,1.3223,0.7325,0.171,TFT,2021,4,A_removal,0.8333333333333334
91-180,90,-0.111,75.07,51.627,0.8677,0.7494,0.294,TFT,2021,4,A_removal,1.0
181-270,90,0.107,78.172,56.307,0.9046,0.833,0.37,TFT,2021,4,A_removal,0.9777777777777777
271-365,95,-0.237,36.522,22.518,1.0344,0.882,0.606,TFT,2021,4,A_removal,0.9578947368421052
1-7,7,-19.174,8.321,7.565,4.7245,0.6921,0.351,DLinear,2021,4,A_removal,0.42857142857142855
8-30,23,-5.588,23.767,21.175,2.8402,1.563,0.23,DLinear,2021,4,A_removal,0.8260869565217391
