bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
1-7,6,-1.16,14.421,14.33,0.39,0.7886,0.99,RF,2018,2,A_removal
8-30,21,-0.656,13.485,12.045,0.2586,1.2935,0.238,RF,2018,2,A_removal
31-90,32,-0.918,17.808,15.4,0.3386,1.3261,-0.234,RF,2018,2,A_removal
91-180,43,-1.193,33.821,26.963,0.4386,1.7016,0.012,RF,2018,2,A_removal
181-270,0,,,,,,,RF,2018,2,A_removal
271-365,0,,,,,,,RF,2018,2,A_removal
1-7,6,-1.91,16.742,16.37,0.4455,0.9008,0.959,XGB,2018,2,A_removal
8-30,21,-0.009,10.526,9.723,0.2087,1.0441,0.495,XGB,2018,2,A_removal
31-90,32,-0.32,14.777,11.286,0.2481,0.9719,-0.19,XGB,2018,2,A_removal
91-180,43,-0.7,29.776,22.504,0.366,1.4202,0.131,XGB,2018,2,A_removal
181-270,0,,,,,,,XGB,2018,2,A_removal
271-365,0,,,,,,,XGB,2018,2,A_removal
1-7,6,-1.89,16.685,16.504,0.4492,0.9082,0.97,LightGBM,2018,2,A_removal
8-30,21,-0.011,10.536,9.582,0.2057,1.029,0.537,LightGBM,2018,2,A_removal
31-90,32,-0.398,15.207,11.762,0.2586,1.0129,-0.165,LightGBM,2018,2,A_removal
91-180,43,-0.856,31.113,23.857,0.3881,1.5056,0.1,LightGBM,2018,2,A_removal
181-270,0,,,,,,,LightGBM,2018,2,A_removal
271-365,0,,,,,,,LightGBM,2018,2,A_removal
1-7,6,-0.603,12.426,11.007,0.2995,0.6057,0.784,SARIMAX,2018,2,A_removal
8-30,21,-0.876,14.355,13.339,0.2864,1.4325,-0.499,SARIMAX,2018,2,A_removal
31-90,32,-0.728,16.903,14.928,0.3282,1.2855,-0.124,SARIMAX,2018,2,A_removal
91-180,43,-2.185,40.761,34.458,0.5605,2.1746,-0.129,SARIMAX,2018,2,A_removal
181-270,0,,,,,,,SARIMAX,2018,2,A_removal
271-365,0,,,,,,,SARIMAX,2018,2,A_removal
1-7,6,-1.255,14.737,14.497,0.3945,0.7978,0.964,Ensemble_unweighted,2018,2,A_removal
8-30,21,-0.319,12.038,11.14,0.2392,1.1963,0.466,Ensemble_unweighted,2018,2,A_removal
31-90,32,-0.517,15.836,13.166,0.2895,1.1337,-0.211,Ensemble_unweighted,2018,2,A_removal
91-180,43,-1.173,33.663,26.754,0.4352,1.6884,0.013,Ensemble_unweighted,2018,2,A_removal
181-270,0,,,,,,,Ensemble_unweighted,2018,2,A_removal
271-365,0,,,,,,,Ensemble_unweighted,2018,2,A_removal
1-7,6,-1.273,14.797,14.559,0.3962,0.8012,0.964,Ensemble_MASEweighted,2018,2,A_removal
8-30,21,-0.308,11.987,11.095,0.2382,1.1915,0.469,Ensemble_MASEweighted,2018,2,A_removal
