bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
1-7,3,-1.027,3.444,2.69,1.0837,0.3041,0.991,RF,2021,4,A_removal
8-30,19,-0.188,18.837,14.619,1.1503,0.9758,0.175,RF,2021,4,A_removal
31-90,50,-0.049,20.998,16.576,1.2765,0.9602,0.122,RF,2021,4,A_removal
91-180,90,0.09,94.809,55.888,0.8613,0.7658,0.322,RF,2021,4,A_removal
181-270,88,0.186,91.07,68.146,1.0049,0.9553,0.459,RF,2021,4,A_removal
271-365,91,-0.448,39.326,30.018,1.4409,1.3525,0.436,RF,2021,4,A_removal
1-7,3,-1.059,3.471,2.861,1.1525,0.3234,,XGB,2021,4,A_removal
8-30,19,-0.008,17.355,13.023,1.0247,0.8693,-0.035,XGB,2021,4,A_removal
31-90,50,-0.03,20.809,15.733,1.2116,0.9114,0.008,XGB,2021,4,A_removal
91-180,90,0.071,95.811,55.083,0.8488,0.7547,0.301,XGB,2021,4,A_removal
181-270,88,0.302,84.322,62.87,0.9271,0.8813,0.649,XGB,2021,4,A_removal
271-365,91,-0.394,38.593,30.037,1.4419,1.3534,0.417,XGB,2021,4,A_removal
1-7,3,-0.732,3.184,2.766,1.1142,0.3126,-0.89,LightGBM,2021,4,A_removal
8-30,19,-0.051,17.717,13.25,1.0426,0.8845,-0.292,LightGBM,2021,4,A_removal
31-90,50,-0.002,20.525,15.317,1.1795,0.8872,0.095,LightGBM,2021,4,A_removal
91-180,90,0.069,95.89,55.043,0.8482,0.7542,0.3,LightGBM,2021,4,A_removal
181-270,88,0.282,85.535,62.223,0.9176,0.8722,0.558,LightGBM,2021,4,A_removal
271-365,91,-0.638,41.823,31.854,1.5291,1.4352,0.406,LightGBM,2021,4,A_removal
1-7,3,-0.748,3.198,2.722,1.0967,0.3077,0.617,SARIMAX,2021,4,A_removal
8-30,19,-0.004,17.32,12.949,1.0189,0.8644,-0.01,SARIMAX,2021,4,A_removal
31-90,50,-0.06,21.114,13.037,1.004,0.7552,-0.2,SARIMAX,2021,4,A_removal
91-180,90,0.097,94.477,61.156,0.9424,0.8379,0.315,SARIMAX,2021,4,A_removal
181-270,88,0.21,89.732,66.296,0.9776,0.9293,0.474,SARIMAX,2021,4,A_removal
271-365,91,-0.118,34.551,25.141,1.2069,1.1328,0.519,SARIMAX,2021,4,A_removal
1-7,3,-0.875,3.312,2.76,1.1118,0.3119,0.999,Ensemble_unweighted,2021,4,A_removal
8-30,19,-0.03,17.546,13.344,1.0499,0.8907,0.014,Ensemble_unweighted,2021,4,A_removal
31-90,50,0.004,20.465,14.931,1.1499,0.8649,0.09,Ensemble_unweighted,2021,4,A_removal
91-180,90,0.087,94.964,56.387,0.8689,0.7726,0.311,Ensemble_unweighted,2021,4,A_removal
